Scots	Icelandic	probability
b	b̥	0.977
d	d̥	0.362
d	ð	0.36
d	d̥_ʏ	0.069
d	ð_ʏ	0.064
e	-	0.394
e	ʏ	0.394
e	a	0.211
f	f	0.73
f	v_ʏ	0.181
f	f_j	0.075
h	h	0.714
h	ç	0.269
i	u	1.0
iː	aːu̯	1.0
j	ɡ̊	0.359
j	ˈɑːu̯	0.201
j	ˈiː	0.174
j	j	0.125
j	-	0.074
k	k	0.594
k	ʰk	0.187
k	c	0.096
k	-	0.063
k	cʰ	0.06
kʰ	kʰ	0.897
kʰ	cʰ	0.103
l	l	0.614
l	l̥	0.127
l	l_j	0.114
l	t_l̥	0.093
m	m	0.579
m	m_ʏ	0.36
n	n	0.673
n	t_n̥	0.1
n	n̥	0.09
n	-	0.051
p	p	0.629
p	ʰp	0.255
p	v	0.116
r	r	0.461
r	r̥	0.372
r	r_t	0.132
s	s	0.948
t	t	0.451
t	t_ʏ	0.266
t	t_j	0.083
t	r̥	0.052
tʰ	tʰ	0.978
v	v	0.555
v	m	0.307
v	-	0.139
w	v	0.597
w	ˈɔ	0.162
w	-	0.139
x	ʰt_ʏ	0.471
x	ʰt	0.297
x	r̥	0.159
z	s	1.0
ç	ɡ̊	1.0
ð	ð	0.838
ð	nː	0.094
ð	θ	0.068
ŋ	ŋ	0.925
ŋ	ɲ	0.075
ə	ɪ	0.427
ə	ʏ	0.364
ə	a	0.079
əi̯	ʏ	0.416
əi̯	ɑu̯	0.311
əi̯	-	0.273
ɡ	ɡ̊	0.462
ɡ	ɟ̊	0.303
ɡ	ɡ̊ː	0.159
ɡ	ɟ̊ː	0.076
ɪ	ʏ	0.601
ɪ	i	0.298
ɪ	-	0.101
ɫ	l	0.685
ɫ	l̥	0.315
ɹ	r	1.0
ʃ	s_c	0.705
ʃ	s_k	0.295
ʍ	-	0.74
ʍ	ç	0.26
ʧ	cʰ	0.65
ʧ	k	0.35
ˈa	ˈou̯	1.0
ˈaːɪ̯	ˈɪ	0.682
ˈaːɪ̯	ˈuː	0.318
ˈe	ˈɛːi̯	0.216
ˈe	ˈiː	0.108
ˈe	ˈaː	0.104
ˈe	ˈɛi̯	0.094
ˈe	ˈɛ	0.091
ˈe	ˈɛː	0.082
ˈe	-	0.052
ˈei̯	ˈœːy̯	0.178
ˈei̯	ˈɛːi̯	0.168
ˈei̯	-	0.133
ˈei̯	ˈœː	0.124
ˈei̯	j	0.099
ˈei̯	ˈaːi̯	0.075
ˈei̯	ɛ	0.061
ˈei̯	ˈa	0.055
ˈeː	ˈaː	0.342
ˈeː	ˈaːu̯	0.342
ˈeː	ˈɛːi̯	0.226
ˈeː	ˈau̯	0.089
ˈi	ˈœːy̯	0.466
ˈi	ˈɛː	0.286
ˈi	ˈaː	0.161
ˈi	ˈuː	0.058
ˈiː	ˈai̯	0.212
ˈiː	j_ˈoːu̯	0.126
ˈiː	j_ˈɛː	0.11
ˈiː	ˈaːi̯	0.107
ˈiː	ˈɑːu̯	0.089
ˈiː	j_ˈuː	0.064
ˈiː	ˈɛː	0.059
ˈoe̯	ˈɛ	1.0
ˈø	ˈoːu̯	0.575
ˈø	ˈɑːu̯	0.226
ˈø	ˈaːi̯	0.075
ˈø	ˈɔu̯	0.072
ˈø	ˈœ	0.051
ˈɑ	ˈa	0.504
ˈɑ	ˈɑu̯	0.18
ˈɑ	ˈaː	0.129
ˈɑ	ˈɛ	0.113
ˈɑ	ˈɔ	0.075
ˈɑː	ˈa	0.362
ˈɑː	ˈœ	0.15
ˈɑː	j	0.122
ˈɑː	ˈaː	0.077
ˈɑː	ˈaːi̯	0.072
ˈɑː	ˈɑu̯	0.072
ˈɑː	ˈœː	0.06
ˈɔ	ˈɔ	0.529
ˈɔ	ˈɪ	0.101
ˈɔ	ˈɔː	0.071
ˈɔ	ˈaːu̯	0.07
ˈɔ	ˈu	0.062
ˈɔ	ˈɪː	0.057
ˈəi̯	ˈiː	0.524
ˈəi̯	ˈɪ	0.322
ˈəi̯	ʏ	0.058
ˈɛ	ˈa	0.362
ˈɛ	-	0.138
ˈɛ	ˈaːi̯	0.078
ˈɛ	ˈʏː	0.076
ˈɛ	ˈɛ	0.068
ˈɛ	j	0.061
ˈɛ	ˈɑːu̯	0.058
ˈɪ	ˈɪ	0.212
ˈɪ	ˈi	0.167
ˈɪ	ˈɛ	0.101
ˈɪ	ˈɪː	0.086
ˈɪ	ˈiː	0.075
ˈɪ	ˈoːu̯	0.074
ˈʉ	ˈuː	0.348
ˈʉ	-	0.152
ˈʉ	r̥	0.13
ˈʉ	ˈʏ_ɡ̊	0.09
ˈʉ	ˈiː_r̥	0.088
ˈʉ	ˈʏ	0.079
ˈʉː	ˈuː	1.0
ˈʌ	ˈʏ	0.507
ˈʌ	ˈʏː	0.158
ˈʌ	ˈɛ	0.113
ˈʌ	ˈu	0.098
ˈʌ	ˈɔː	0.098
ˈʌʉ̯	ˈou̯	0.397
ˈʌʉ̯	ˈi	0.306
ˈʌʉ̯	ˈʏ	0.191
ˈʌʉ̯	ˈoːu̯	0.106
θ	θ	0.692
θ	ð_ʏ	0.148
θ	nː	0.133
