Elfdalian	Elfdalian	probability
ˈʏː	ˈaɪ̯_ə	1.0
ˈʉ_nː	n	1.0
ˈɪ	ˈɪ	1.0
ˈɑːu̯	ˈɔɪ̯	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈɪ	1.0
ˈyœ̯	v_ˈɪ	1.0
ˈo	-	1.0
ˈiːe̯	ˈɛɪ̯	1.0
ʨː	-	1.0
ʥː	k	1.0
ʥ	ɡ	1.0
ʏ	-	1.0
ʉ_ŋ	ɪ	1.0
ɽ_#>	ɫ_#>	1.0
ɽ	ɫ	1.0
ɣ_ɛ	ɡ	1.0
ɡː	-	1.0
ɡ	ɡ	1.0
ɛ_n	n	1.0
ɛ	ə	1.0
ɔ̃	ʦ_n	1.0
ɑ̃	-	1.0
sː	d_z	1.0
s_k	ʃ	1.0
s_j	z_ˈɛ	1.0
s_#>	z_#>	1.0
rː	k_n	1.0
r_t	ʀ_ʦ	1.0
r_#>	#>	1.0
pʰ	f	1.0
p_ɑ	f_n	1.0
p	f	1.0
n_d	n_t	1.0
mː	m	1.0
l̥	ʃ_ɫ	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈɪ	1.0
f	f	1.0
d_#>	d_#>	1.0
b	b	1.0
a	n	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
<#	<#_h	0.905
r	ʀ	0.902
ð	t	0.889
w	v	0.889
n	n	0.864
ˈɑ	ˈa	0.786
ˈʉː	-	0.778
ˈœː	ˈɔɪ̯	0.778
ŋ	ŋ	0.778
m	m	0.765
ɔ	n	0.75
k	χ	0.75
#>	n_#>	0.75
ˈʉ	ˈʊ	0.667
ʉ	-	0.667
ɣ	ɡ	0.667
s_ʨ	ʃ	0.667
d	d	0.667
ˈɔ	ˈa	0.6
nː	n	0.6
ˈɪː	ˈɪ	0.583
ˈæ	ˈɛ	0.571
v	b	0.571
ˈɑː	ˈɔ	0.545
ˈʉːə̯	ˈʊ	0.538
t	s	0.52
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈɔ̃ː	ˈa	0.5
ˈɔ̃ː	-	0.5
ˈoː	ˈɔɪ̯	0.5
tː	χ_t	0.5
j	-	0.5
t	t	0.48
ˈɑː	ˈa	0.455
ɑ	n	0.444
ˈɔː	ˈɔ	0.429
ˈæ	ˈa	0.429
tʰ	ʦ	0.421
tʰ	d	0.421
ˈɛ	ˈɛ	0.417
ˈɔ	ˈɔ	0.4
nː	n_ə	0.4
s	ʃ	0.394
s	z	0.394
ˈʉə̯	ˈɔ_ʀ	0.333
ˈʉə̯	v_ˈɔ	0.333
ˈʉə̯	-	0.333
ˈɛ	-	0.333
ʉ	n	0.333
ɣ	χ	0.333
s_ʨ	ʧ	0.333
d	t	0.333
ˈʉːə̯	-	0.308
ˈɔː	ˈa_ɫ	0.286
ˈɔː	-	0.286
v	f	0.286
ˈɪː	ˈaɪ̯	0.25
ˈɛ	ˈɛɪ̯	0.25
ˈoː	ˈɔ	0.25
ˈoː	-	0.25
ɔ	ə	0.25
ɑ	-	0.25
tː	s	0.25
tː	-	0.25
k	k	0.25
j	ˈɪ	0.25
j	ˈɛ	0.25
#>	d_#>	0.25
ˈʉː	ˈɔɪ̯	0.222
ˈœː	-	0.222
ŋ	-	0.222
ˈɑ	ˈɔ	0.214
ˈʉ	ˈɔɪ̯	0.167
ˈʉ	v_ˈɔ	0.167
ˈɪː	-	0.167
ɑ	ə_n	0.167
tʰ	t	0.158
ˈʉːə̯	ˈɪ	0.154
s	s	0.152
v	-	0.143
n	-	0.136
m	ɛ_m	0.118
m	ə_m	0.118
ð	-	0.111
w	v_ˈɛɪ̯	0.111
r	ə_ʀ	0.098
<#	<#_j	0.095
s	t	0.061
ɑ	ɡ_n	0.056
ɑ	ə	0.056
