Bavarian	Bavarian	probability
ˈou̯	ˈu	1.0
ˈiː	ˈeː	1.0
ˈiɐ̯	ˈeː	1.0
ˈau̯	ˈuː	1.0
ˈai̯_#>	ˈɛːi̯_#>	1.0
ʦ	t	1.0
ʋ	β	1.0
ɡ̊_s	s	1.0
ɡ̊_r	ɣ_ʀ	1.0
ɡ̊_a	k	1.0
ɡ̊_#>	ɣ̊_#>	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɐ_ʦ	ʀ_t	1.0
ɐ_n	ʀ_ə	1.0
ç	k	1.0
x_d̥	x	1.0
r_ˈai̯	ʀ	1.0
n_#>	#>	1.0
l_#>	ə_l_#>	1.0
l	l	1.0
kʰ	k	1.0
j_#>	l_#>	1.0
i	ə_k	1.0
h	ɦ	1.0
f_ˈu	v	1.0
f_ə	ə_v̥	1.0
f_#>	p_#>	1.0
eɐ̯	i	1.0
d̥_r	d_ʀ	1.0
d̥_a	ʀ	1.0
d̥_#>	#>	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
a_#>	#>	1.0
<#_ˈe	<#_ˈeː	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
b̥	b	0.905
f	v	0.875
m	m	0.862
x	k	0.8
r	ʀ	0.8
ɐ	ʀ	0.733
ˈa	-	0.714
n	n	0.703
ˈoɐ̯	ˈɛː	0.692
ˈaː	-	0.667
ŋ	ŋ	0.625
n_a	n_ə	0.6
ʃ_d̥	s_t	0.556
ɡ̊	ɣ	0.524
d̥	d̥	0.509
β	v	0.5
β	-	0.5
ˈɑː	ˈɑ	0.5
ˈɑː	ˈaː	0.5
ˈɑ	ˈaː	0.5
d̥_n	j_ə	0.5
d̥_n	d_ə	0.5
#>	n_#>	0.5
ʃ	s	0.476
ɡ̊	k	0.476
ˈu	ˈʊː	0.474
j	l	0.462
ˈuɐ̯	ˈʊː	0.455
a	ə	0.455
ˈai̯	ˈiː	0.444
ʃ_d̥	s	0.444
ˈi	ˈɪː	0.435
a	ə_ʀ	0.424
s	t	0.405
ˈeː	ˈeː	0.4
n_a	n	0.4
d̥	d	0.382
ˈuɐ̯	ˈoː	0.364
s	z	0.357
ˈoː	ˈɒː	0.333
ˈoː	ˈoː	0.333
ˈoː	-	0.333
ˈaː	ˈɔː	0.333
ʃ	ʃ	0.333
ˈɒː	ˈaː	0.308
j	l_ə	0.308
ˈɑ	ˈɑ	0.3
n	ə	0.297
ˈa	ˈaː	0.286
ˈe	ˈeː	0.278
ˈai̯	-	0.278
ˈeː	ˈi	0.267
ɐ	ʀ_ə	0.267
ˈo	ˈɔ	0.261
ŋ	ɣ_ə	0.25
ˈɒː	ˈɒː	0.231
ˈɒː	ˈɑ	0.231
ˈɒː	-	0.231
ˈo	ˈʊː	0.217
ˈu	ˈœ	0.211
ˈɑ	ˈɑː	0.2
ˈeː	n	0.2
x	x	0.2
r	-	0.2
ʃ	z	0.19
s	z̥	0.19
ˈuɐ̯	ˈøː	0.182
ˈe	ˈɪ	0.167
ˈe	ˈæː	0.167
ˈe	-	0.167
ˈai̯	ˈœi̯	0.167
#>	ɣ̊_#>	0.167
#>	v̥_#>	0.167
#>	j_#>	0.167
ˈoɐ̯	ˈi	0.154
ˈoɐ̯	-	0.154
j	j	0.154
ˈeː	ˈyː	0.133
ˈo	ˈɔː	0.13
ˈo	-	0.13
ˈi	ˈɛː	0.13
ˈi	ˈøː	0.13
ˈi	ˈeː	0.13
ŋ	ɡ_ə	0.125
f	p	0.125
a	ʀ	0.121
ˈe	ˈɛ	0.111
ˈe	ˈɑ	0.111
ˈai̯	ʀ	0.111
ˈu	ˈoː	0.105
ˈu	-	0.105
b̥	-	0.095
ˈo	ˈɑː	0.087
ˈo	ˈɑ	0.087
ˈo	ˈaː	0.087
ˈi	ˈʏ	0.087
ˈi	ˈɪ	0.087
j	w	0.077
m	v_ə	0.069
m	v	0.069
d̥	t	0.055
d̥	j_ə	0.055
ˈu	ˈʊ	0.053
ˈu	ˈœː	0.053
