Elfdalian	Old Frisian	probability
ˈʏ	ˈe	1.0
ˈʉ̃ːə̯	-	1.0
ˈʉə̯	ˈo	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɛː	ˈe	1.0
ˈɔ̃ː	-	1.0
ˈɔ	ˈa	1.0
ˈœ	ˈe	1.0
ˈyːœ̯	ˈeː	1.0
ˈiːe̯	ˈɛː	1.0
ʥː	ɡː	1.0
ʥ	j	1.0
ʏ	ə	1.0
ɽ	l	1.0
ɪ	ə	1.0
ɔ̃	iː	1.0
ɔ	ə	1.0
ɑ̃	ˈeː_t	1.0
w	w	1.0
tʰ	θ	1.0
rː	ˈuː_ɣ	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
mː	mː	1.0
m	m	1.0
l̥	s_l	1.0
l	l	1.0
kː	ŋ_k	1.0
j_ˈʉːə̯	ˈi̯aː	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
s	s	0.969
t	t	0.956
r	r	0.938
ð	d	0.937
n	n	0.935
f	f	0.907
v	v	0.9
ɛ	ə	0.892
ˈɪ	ˈi	0.889
ɑ	ə	0.877
ɡ	ɡ	0.869
ʉ	ə	0.846
ʨ	k	0.8
k	k	0.778
ŋ	ŋ	0.77
ˈɑːu̯	ˈuː	0.753
ˈæ	ˈe	0.744
ˈɔː	ˈeː	0.74
ˈo	-	0.719
lː	l	0.662
ˈʉ	ˈu	0.625
ˈɛ	ˈe	0.624
ˈʉː	-	0.622
tː	t	0.603
ˈoː	ˈaː	0.577
ˈæː	-	0.575
ˈɑːi̯	ˈiː	0.543
ˈʏː	ə	0.515
ˈœː	ˈaː	0.505
ɡː	ɡː	0.5
ɡː	-	0.5
nː	nː	0.492
ˈʏː	ˈi̯uː	0.485
ˈɑːi̯	-	0.457
ɣ	ɣ	0.442
ˈæː	ˈɛː	0.425
ˈoː	-	0.423
tː	x_t	0.397
ˈɪː	ˈi	0.392
ˈɪː	ˈiː	0.382
ˈɑː	ˈe	0.379
ˈɑ	ˈa	0.369
ˈʉːə̯	ˈoː	0.366
j	-	0.358
ɣ	j	0.344
lː	lː	0.338
ˈɑː	ˈa	0.327
ˈɑ	ˈɔː	0.316
ˈʉːə̯	-	0.315
ˈɑː	-	0.295
j	ˈe	0.293
ˈo	ˈa	0.281
ˈɔː	ˈa_l	0.26
ˈæ	-	0.256
ˈʉːə̯	l	0.252
ˈœː	ˈɛː	0.248
ˈœː	-	0.248
ˈɑːu̯	-	0.247
nː	r	0.247
ŋ	-	0.23
ˈɪː	-	0.226
k	x	0.222
j	ˈi	0.219
ɣ	-	0.214
ˈʉː	ˈu	0.213
ʨ	ʦ	0.2
ˈʉ	-	0.176
ˈɑ	-	0.176
ˈʉː	ˈuː	0.165
ʉ	i	0.154
ˈɛ	ˈo	0.143
ˈɑ	ˈe	0.138
ˈɛ	-	0.137
ɡ	-	0.131
nː	θ	0.131
nː	r_n	0.131
j	ˈi̯uː	0.129
ˈɪ	-	0.111
ɛ	-	0.108
ˈʉ	ˈe	0.1
v	bː	0.1
ˈʉ	w	0.098
ˈɛ	ˈɛː	0.096
f	f_ˈo	0.093
ɑ	-	0.084
ˈʉːə̯	ˈi̯aː	0.066
n	-	0.065
ð	dː	0.063
