Mainland North Frisian	Mainland North Frisian	probability
ˈɛ_#>	ˈiː_#>	1.0
ˈɔ	-	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈu	-	1.0
ɡ	x	1.0
ɛi̯	aɪ̯	1.0
ə_ʀ	ɐ	1.0
ə_v̥	ʋ	1.0
ç	ç	1.0
z̥	d̥	1.0
x_t	ç	1.0
x	x	1.0
w	ˈaɪ̯_ɡ	1.0
v̥_#>	#>	1.0
v̥	v	1.0
tʲ	t	1.0
s_l	ʃ_l	1.0
s_#>	z̥_#>	1.0
p	p	1.0
m	m	1.0
lʲ	d̥	1.0
k_ə	k	1.0
k	k	1.0
j_ə	ɡ	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
dʲ_ə	d_n	1.0
dʲ	d̥	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
l	l	0.919
b	b	0.909
d	d	0.81
ˈɒː	-	0.8
n	n	0.767
ŋ	ŋ	0.75
t	t	0.739
v	v	0.692
ˈɛ	ˈøː	0.667
ˈɔu̯	-	0.667
ˈyː	ˈaʊ̯	0.667
n_ə	n_n	0.667
ə	n	0.649
s	s	0.647
ʃ	ʃ	0.643
nʲ	n	0.625
ˈaː	-	0.6
ˈai̯	-	0.6
ˈɛː	-	0.571
ˈiː	ˈaɪ̯	0.542
ˈʊ	ˈʊ	0.5
ˈɔː	-	0.5
ˈɒ	ˈa	0.5
ˈi	ˈɪ	0.5
ˈi	ˈiː	0.5
z	t	0.5
z	-	0.5
ˈɛː	ˈɪɛ̯	0.429
ˈɛi̯	ˈɔː	0.429
ʀ	r	0.405
ˈaː	ˈuə̯	0.4
ˈai̯	ˈɪ	0.4
ˈʏ	ˈuː	0.385
ˈuː	ˈaʊ̯	0.385
ˈuː	-	0.385
ˈeː	-	0.385
ˈa	ˈɪ	0.375
nʲ	n_d̥	0.375
ʃ	ʃ_k	0.357
ˈɛ	-	0.333
ˈɔu̯	ˈɔː	0.333
ˈyː	-	0.333
n_ə	n	0.333
j	x	0.333
j	l	0.333
j	-	0.333
ˈœ	ˈa	0.312
ˈœ	-	0.312
ˈeː	ˈɛ	0.308
ˈeː	ˈa	0.308
ˈʊ	-	0.3
ˈɒ	ˈɛ	0.3
ˈɛi̯	ˈøː	0.286
ˈɛi̯	ˈaɪ̯	0.286
ʀ	-	0.286
ˈœ	ˈoː	0.25
ˈa	-	0.25
ŋ	-	0.25
ʀ	ɐ	0.238
s	ʃ	0.235
ˈʏ	ˈʊ	0.231
ˈʏ	-	0.231
ˈuː	ˈa	0.231
v	ʋ	0.231
ə	-	0.216
ˈiː	ˈeː	0.208
ˈɔː	ˈɪə̯	0.2
ˈɔː	ˈa	0.2
ˈɒː	ˈɒː	0.2
ˈɒ	-	0.2
t	d	0.174
ˈiː	-	0.167
ˈʏ	ˈʏ	0.154
ə	ə	0.135
ˈœ	l	0.125
ˈa	ˈʊ	0.125
ˈa	ˈɛ	0.125
ˈa	ˈa	0.125
s	z	0.118
ˈʊ	ˈɛ	0.1
ˈʊ	ˈa	0.1
ˈɔː	ˈyə̯	0.1
n	n_d̥	0.1
d	ɡ	0.095
d	t	0.095
b	-	0.091
t	-	0.087
ˈiː	ˈiː	0.083
l	ˈɪɛ̯_l	0.081
v	-	0.077
ʀ	ˈɔː_ɐ	0.071
n	ˈɪ_n	0.067
n	-	0.067
