Afrikaans	Icelandic	probability
b	b̥	1.0
d	d̥	0.479
d	θ	0.395
d	ð	0.093
f	f	0.642
f	v	0.269
f	-	0.088
i	r̥	0.794
i	aːu̯	0.206
j	-	0.552
j	a	0.19
j	θ	0.157
j	r̥	0.101
k	k	0.323
k	kʰ	0.23
k	c	0.186
k	cʰ	0.062
m	m	0.964
n	n	0.522
n	-	0.168
n	n̥	0.148
n	nː	0.147
p	p	0.629
p	ʰp	0.229
p	v	0.142
r	r	0.522
r	r̥	0.397
r	-	0.07
s	s	0.899
s	-	0.077
t	t	0.389
t	ð	0.201
t	tʰ	0.112
t	-	0.101
t	d̥	0.1
t	ʰt	0.084
v	v	0.621
v	-	0.184
v	kʰ_v	0.143
w	v	0.651
w	ˈoːu̯	0.16
w	ˈou̯	0.096
w	-	0.093
ŋ	ŋ	0.664
ŋ	n̥	0.204
ŋ	-	0.066
ŋ	ɲ	0.066
ə	ɪ	0.272
ə	ʏ	0.233
ə	-	0.225
ə	a	0.091
ə	ɡ̊_ʏ	0.069
ɦ	h	0.791
ɦ	ç	0.209
ɫ	l	0.68
ɫ	l̥	0.254
ˈa	ˈa	0.457
ˈa	ˈɑu̯	0.118
ˈa	ˈɛ	0.118
ˈa	ˈaː	0.104
ˈa	ˈœ	0.103
ˈa	ˈaːi̯	0.069
ˈi	j	0.457
ˈi	ˈiː	0.21
ˈi	ˈai̯	0.138
ˈi	ˈɛː	0.073
ˈi	ˈoːu̯	0.05
ˈoːɪ̯	ˈœːy̯	1.0
ˈu	ˈoːu̯	0.422
ˈu	ˈaːi̯	0.291
ˈu	ˈai̯	0.184
ˈu	ˈiː	0.063
ˈyː	ˈuː	0.474
ˈyː	ˈʏː	0.317
ˈyː	ʏ	0.136
ˈyː	ˈiː	0.073
ˈæ	ˈɛ	0.554
ˈæ	ˈɪ	0.18
ˈæ	ˈɛː	0.134
ˈæ	ˈɔu̯	0.087
ˈæː	ˈa	0.5
ˈæː	ˈɛ	0.5
ˈœ	ˈɪ	0.726
ˈœ	ˈɔ	0.209
ˈœ	ˈʏ	0.066
ˈœu̯	ˈʏ	0.453
ˈœu̯	ˈa	0.41
ˈœu̯	ˈɔ	0.137
ˈœɪ̯	ˈuː	0.744
ˈœɪ̯	ˈi	0.103
ˈœɪ̯	ˈiː	0.103
ˈœɪ̯	ˈʏ	0.05
ˈɑː	ˈɑːu̯	0.185
ˈɑː	ˈa	0.181
ˈɑː	ˈaː	0.173
ˈɑː	ˈaːu̯	0.147
ˈɑː	ˈau̯	0.084
ˈɔ	ˈu	0.286
ˈɔ	ˈɔ	0.235
ˈɔ	ˈʏ	0.204
ˈɔ	ˈoːu̯	0.084
ˈɔ	ˈɔː	0.084
ˈɔː	ˈœ	0.656
ˈɔː	-	0.344
ˈə	ˈi	0.402
ˈə	ˈɪ	0.285
ˈə	ˈɪː	0.106
ˈə	ˈɛ	0.073
ˈə	ˈɛː	0.054
ˈə	ˈiː	0.053
ˈəɪ̯	ˈiː	0.607
ˈəɪ̯	ˈɛːi̯	0.18
ˈəɪ̯	ˈɛː	0.075
ˈəɪ̯	ˈɪ	0.052
ˈɛ	ˈaːi̯	0.344
ˈɛ	ˈai̯	0.205
ˈɛ	ˈɛ	0.192
ˈɛ	ˈa	0.191
ˈɛ	ˈɛː	0.068
ˈɛː	ˈɛːi̯	0.428
ˈɛː	ˈɪ	0.373
ˈɛː	ˈaː	0.2
ˈɪ	ˈœ	0.656
ˈɪ	ˈu	0.344
ˈɪø̯	ˈɔː	0.6
ˈɪø̯	ˈʏː	0.241
ˈɪø̯	ˈɛː	0.159
ˈɪə̯	ˈɛː	0.258
ˈɪə̯	j	0.187
ˈɪə̯	ˈɪː	0.168
ˈɪə̯	ˈɛi̯	0.102
ˈɪə̯	ˈɛ	0.092
ˈɪə̯	ˈœː	0.066
ˈɪə̯	ˈɛːi̯	0.066
ˈɪə̯	ˈʏː	0.053
ˈʊə̯	ˈɔ	0.28
ˈʊə̯	ˈœːy̯	0.179
ˈʊə̯	ˈɛːi̯	0.114
ˈʊə̯	ˈa	0.071
ˈʊə̯	ˈou̯	0.071
ˈʊə̯	ˈʏː	0.071
ˈʊə̯	ˈɪ	0.058
χ	ɡ̊	0.27
χ	-	0.201
χ	ɣ	0.142
χ	ɟ̊	0.138
χ	ɡ̊ː	0.09
χ	ʰt	0.066
