Gallurese	Gallurese	probability
ˈɛ_ɖː	ˈɛ_t	1.0
ˈɔ_l	ˈɔ	1.0
ˈi_tː	ˈe_t	1.0
ˈa_i	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	s	1.0
ʧ_i	ʦ	1.0
ʧ	-	1.0
ʦː	-	1.0
ʃː	j_ʃ	1.0
ɲː	ɲ	1.0
ɡ_u	k	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z	z	1.0
w	-	1.0
v	b	1.0
u_#>	#>	1.0
tː_i	j_t	1.0
tː	t	1.0
t_a	t_ɔ	1.0
sː_u	j_ʃ	1.0
sː	s	1.0
s_i	s_e	1.0
s	s	1.0
rː	r	1.0
r_ˈa	ɾ_ˈɛ	1.0
r_u	e	1.0
p_a	β	1.0
o	u	1.0
nː	n_d	1.0
n_u	ŋ	1.0
n_t_u_#>	n_#>	1.0
n_t_i_#>	n_#>	1.0
n_i	ŋ	1.0
n_a	ɔ	1.0
mː	m	1.0
m_u	m_u	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l_u	w	1.0
l_t	t	1.0
kː	k	1.0
k_a	k_a	1.0
fː	f	1.0
f	h	1.0
e	-	1.0
d_ˈe	ð_e	1.0
d_u	t	1.0
cː	ʎ	1.0
c	k_l	1.0
bː	-	1.0
a_r	ɾ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
k	k	0.95
ˈa	ˈa	0.918
p	p	0.906
b	b	0.8
ˈɛ	ˈe	0.786
ˈi	ˈi	0.769
ɟ	ʒ	0.75
t	t	0.727
a	ɔ	0.717
n	n	0.632
r	ɾ	0.629
ˈu	ˈy	0.621
d	d	0.591
ˈi_#>	ˈi_#>	0.556
ˈe	ˈɛ	0.556
ɡ	ɡ	0.538
ɟː	ʒ	0.5
ɟː	-	0.5
p_u	s	0.5
p_u	p_ˈu	0.5
<#	<#_ˈa	0.5
<#	<#_a	0.5
#>	s_#>	0.5
j	l	0.467
ɡ	ɣ	0.462
ˈi_#>	e_#>	0.444
ˈo	ˈu	0.429
i	-	0.42
ˈɔ	ˈu	0.395
ˈu	ˈu	0.379
l	r	0.36
ˈɔ	ˈɔ	0.342
l	w	0.32
d	-	0.318
u	u	0.31
ɖː	t	0.308
ɖː	l	0.308
#>	e_#>	0.3
ˈo	w_ˈe	0.286
i	e	0.28
t	ð	0.273
j	-	0.267
ɟ	ɡ	0.25
u	w	0.241
ˈi	ˈe	0.231
ɖː	ɾ	0.231
ˈe	ˈe	0.222
ˈɛ	ˈɛ	0.214
n	-	0.211
r	-	0.2
l	l	0.2
b	β	0.2
#>	ɔ_#>	0.2
a	a	0.183
u	e	0.172
r	r	0.171
n	ŋ	0.158
ɖː	ʎ	0.154
ˈo	ˈɔ	0.143
ˈo	w	0.143
j	z	0.133
j	j	0.133
ˈɔ	w_ˈe	0.132
l	-	0.12
ˈe	j_ˈɛ	0.111
ˈe	j_ˈe	0.111
u	i	0.103
i	i	0.1
p	β	0.094
d	ð	0.091
ˈa	ˈɛ	0.082
i	s	0.08
ˈɔ	ˈa_w	0.079
u	ɔ	0.069
u	j	0.069
a	e	0.067
i	ˈe	0.06
i	w	0.06
ˈɔ	ˈa	0.053
