Swabian	Swabian	probability
ˈʌ	ˈi	1.0
ˈɪ	ˈɘ̟	1.0
ˈɛ_ʕ	ˈɑ	1.0
ˈɔə̯	ˈi	1.0
ˈɔ	-	1.0
ˈuː	ˈʏ	1.0
ˈuə̯	ˈʏ	1.0
ˈu_ɡ	ˈɘ̟_k	1.0
ˈiə̯	ˈi	1.0
ˈeə̯	ˈɑ	1.0
ˈa_ʕ	ˈi̯ø	1.0
ʦ	ʦ	1.0
ʣ	ʦ	1.0
ʃ_d	s_t	1.0
ʁ	r	1.0
ɪ	-	1.0
ɡ_a	n	1.0
x	x	1.0
t	t	1.0
p͡f	-	1.0
kʰ	k	1.0
j	j	1.0
i	-	1.0
h	h	1.0
f	f	1.0
eə̯	ɑ	1.0
d_ʁ	t_r	1.0
b_a	n	1.0
b_#>	b̥_#>	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʁ	<#_r	1.0
#>	n_#>	1.0
ʃ	ʃ	0.955
n	n	0.933
ʋ	v	0.905
a	a	0.903
m	m	0.9
ʌ	ɛ_r	0.818
ˈɔe̯	ˈa	0.8
ˈao̯	ˈɑi̯	0.786
l	w	0.786
ˈo	ˈu	0.733
ˈɔː	-	0.714
b	b	0.714
ˈɛː	ˈɑ	0.667
ˈəi̯	ˈai̯	0.667
ʕ	r	0.667
ç	x	0.625
s	s	0.605
ˈe	ˈɘ̟	0.6
ˈaː	ˈɔ	0.6
ˈoː	ˈu	0.583
d	t	0.574
ˈi	ˈɘ̟	0.538
ˈu	ˈʏ	0.5
ˈu	-	0.5
ˈiː	ˈei̯	0.5
ˈiː	-	0.5
ˈa	ˈɑ	0.5
ˈeː	-	0.429
ŋ	ŋ_ɡ̊	0.429
ɡ	ɡ	0.419
ˈe	-	0.4
ˈaː	ˈɑ_n	0.4
ˈae̯	-	0.4
ˈa	ˈɔ	0.4
s	z	0.395
ç	ç	0.375
ˈɛː	-	0.333
ˈəi̯	ˈɑi̯	0.333
ʕ	ˈʏ_r	0.333
ˈɛ	ˈɛ	0.3
ˈɛ	ˈɘ̟	0.3
ˈae̯	ˈɑi̯	0.3
ˈae̯	ˈai̯	0.3
ˈɔː	ˈɔ	0.286
ˈeː	ˈɘ̟	0.286
ˈeː	ˈei̯	0.286
ŋ	ŋ_ɟ	0.286
ŋ	ŋ	0.286
ˈo	-	0.267
ɡ	ɡ̊	0.258
ˈoː	-	0.25
ˈi	ˈi	0.231
ˈao̯	-	0.214
d	d	0.213
ˈɛ	ˈɑ	0.2
ˈɛ	ˈa	0.2
ˈɔe̯	-	0.2
ɡ	k	0.194
b	v	0.19
d	d̥	0.18
ˈoː	ˈø	0.167
ˈi	-	0.154
l	l	0.119
ˈa	ˈɛ	0.1
m	n	0.1
ɡ	ɟ	0.097
a	n	0.097
ʋ	v_ˈɛ	0.095
b	p	0.095
ʌ	ə	0.091
ʌ	r	0.091
ˈi	ˈɪ	0.077
n	ŋ	0.067
