Scots	Northern Low Saxon	probability
b	b	1.0
d	d	0.925
d	-	0.048
d	t	0.032
d_ə	ɐ	1.0
e	n	0.415
e	-	0.362
f	f	1.0
h	h	1.0
i	i	0.125
j	ʒ	0.362
j	ˈiː	0.239
j	ɡ	0.158
j	ˈaɪ̯	0.158
k	ɡ	0.733
k	kʰ	0.169
k	k	0.087
k_s	s	1.0
kʰ	kʰ	0.922
kʰ	f	0.05
l	l	0.911
l	ɡ_l	0.049
l	l_ɡ	0.037
m	m	0.939
m	z	0.061
n	n	0.925
n	-	0.059
p	b	0.615
p	p	0.183
p	b_m	0.159
r	-	0.368
r	r	0.313
r	ɐ	0.278
r	ɐ_n	0.033
r_t	d	0.5
s	s	0.425
s	z	0.324
s	ʃ	0.21
s	-	0.035
t	d	0.542
t	t	0.201
t	-	0.143
t	d_n	0.099
tʰ	tʰ	0.874
tʰ	b	0.112
v	m	0.803
v	f	0.122
w	v	0.933
w	-	0.059
w	r	0.035
x	x	0.654
x	ç	0.309
z	z	0.265
z	n	0.265
z	s	0.152
ð	d	0.607
ð	n	0.18
ð	-	0.086
ð	l	0.086
ŋ	ŋ	1.0
ə	ɐ	0.696
ə	-	0.202
ə	ˈœː	0.063
ə	ə	0.048
əi̯	ɪ	1.0
ɡ	ɡ	0.584
ɡ	-	0.276
ɡ	ç	0.074
ɡ	j	0.058
ɪ	-	0.402
ɪ	l	0.175
ɫ	l	1.0
ɹ	r	0.25
ʃ	ʃ	1.0
ʍ	v	1.0
ʧ	kʰ	0.201
ʧ	ɡ	0.175
ˈa	ˈœ	0.5
ˈaːɪ̯	ˈuː	0.379
ˈaːɪ̯	ˈiː	0.19
ˈe	ˈoː	0.289
ˈe	ˈaɪ̯	0.167
ˈe	ˈa	0.134
ˈe	ˈɪ	0.131
ˈe	ˈaʊ̯	0.097
ˈei̯	ˈaʊ̯	0.326
ˈei̯	ˈoː	0.17
ˈei̯	ˈɔʏ̯	0.109
ˈei̯	-	0.072
ˈei̯	ˈaɪ̯	0.072
ˈeː	ˈɛ	0.548
ˈeː	ˈoː	0.196
ˈeː	ˈa	0.122
ˈi	ˈeɪ̯	0.268
ˈi	ˈiː	0.167
ˈi	ˈø	0.167
ˈi	ˈaʊ̯	0.117
ˈi	ˈɔʏ̯	0.104
ˈiː	ˈɔʏ̯	0.162
ˈiː	ˈaɪ̯	0.162
ˈiː	ˈaɪ̯_n	0.137
ˈiː	ˈaʊ̯	0.127
ˈiː	ˈiː	0.104
ˈø	ˈaʊ̯	0.587
ˈø	ˈoː	0.149
ˈø	ˈeː	0.149
ˈø	ˈuː	0.103
ˈɑ	ˈa	0.647
ˈɑ	ˈø	0.125
ˈɑ	ˈoː	0.106
ˈɑ	ˈɪ	0.076
ˈɑː	ˈa	0.372
ˈɑː	ˈaʊ̯	0.174
ˈɑː	ˈaɪ̯	0.151
ˈɑː	ˈaː	0.115
ˈɑː	ˈeː	0.091
ˈɔ	ˈɔ	0.384
ˈɔ	ˈaʊ̯	0.264
ˈɔ	ˈʊ	0.174
ˈɔ	ˈøː	0.148
ˈəi̯	ˈiː	0.484
ˈəi̯	ˈɪ	0.172
ˈəi̯	ˈeː	0.099
ˈəi̯	ˈyː	0.078
ˈəi̯	ˈɔʏ̯	0.077
ˈɛ	ˈa	0.214
ˈɛ	ˈaɪ̯	0.209
ˈɛ	ˈeː	0.182
ˈɛ	ˈɛ	0.084
ˈɛ	ˈɪ	0.069
ˈɛ_r	ˈaː	1.0
ˈɪ	ˈɪ	0.401
ˈɪ	ˈʏ	0.126
ˈɪ	ˈa	0.126
ˈɪ	ˈaʊ̯	0.098
ˈɪ	-	0.059
ˈʉ	ˈuː	0.569
ˈʉ	ˈʊ	0.23
ˈʉ	-	0.085
ˈʉ	ˈoː	0.058
ˈʉ	ˈaʊ̯	0.055
ˈʌ	ˈʊ	0.708
ˈʌ	ˈʏ	0.124
ˈʌ	ˈaː	0.124
ˈʌʉ̯	ˈʊ_l	0.461
ˈʌʉ̯	ˈøː	0.304
ˈʌʉ̯	ˈaɪ̯	0.175
θ	d	0.852
θ	n	0.092
θ	-	0.058
