Piedmontese	Spanish	probability
f	f	1.0
ə	-	1.0
ʧ	ɟ͡ʝ	1.0
j	x_o	0.151
r	ɾ_o	0.11
r	ɾ	0.631
t	t_o	0.081
v	β_o	0.071
z	-	0.181
ɡ	ɣ	0.11
ˈø	o	0.161
e	ˈe	0.072
e	ˈe_ɾ	0.302
j	ʝ	0.072
j	x	0.172
s	s_o	0.052
s	θ	0.342
t	ʧ_o	0.062
t	ʧ_e	0.072
ɲ	ɲ	0.862
ˈe	ˈe	0.492
ˈi	j	0.22
ˈɔ	o	0.182
ˈɔ	ˈo	0.332
ˈɛ	ˈe	0.452
e	e	0.523
i	i	0.613
j	ɾ	0.23
s	e_s	0.093
t	t	0.403
ɡ	ɣ_o	0.173
ʤ	ɟ͡ʝ	0.113
ˈa	ˈa	0.893
ˈi	ˈe	0.093
ˈu	w_ˈe	0.223
ˈy	ˈu	0.723
ˈø	w_ˈe	0.403
d	-	0.194
e	-	0.054
k	k	0.924
l	ʝ_o	0.114
r	r	0.174
u	e	0.114
w	-	0.454
ŋ	n	0.484
ˈa	ˈa_ð	0.074
ˈe	e	0.064
ˈe	j_ˈe	0.084
ˈe	ˈa_ɾ	0.334
m	m_b	0.055
r	-	0.085
v	β	0.375
v	b	0.485
ˈu	ˈu	0.115
b	β	0.386
d	d	0.496
j	ˈe	0.056
j	l	0.06
k	k_o	0.076
m	m	0.926
u	o	0.886
w	w	0.546
ŋ	ŋ	0.196
ˈɔ	w_ˈe	0.486
a	a	0.877
b	b	0.57
i	o	0.197
l	l	0.677
ɡ	ɡ	0.717
ˈi	ˈi	0.627
ˈy	ˈo	0.277
ˈø	ˈu	0.057
ˈø	ˈo	0.337
d	ð	0.268
n	-	0.088
p	p_j	0.058
s	s	0.408
t	ð	0.228
ŋ	-	0.058
ɲ	ɲ_o	0.138
ʤ	-	0.488
i	e	0.19
j	-	0.259
l	l_o	0.099
l	-	0.109
n	n	0.869
p	p	0.919
t	t_e	0.119
z	θ	0.789
ŋ	n_o	0.219
ʤ	x	0.399
ˈi	ˈu	0.059
ˈu	ˈo	0.649
ˈɛ	ˈi	0.069
ˈɛ	j_ˈe	0.479
