Middle High German	Swabian	probability
ˈɑː_n	n	1.0
ˈɑː	ˈɔː	1.0
ˈɑ_n	ˈaː	1.0
ˈøː	ˈeː	1.0
ˈøy̯	-	1.0
ˈæː	ˈɛː	1.0
ˈyə̯	ˈiə̯	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈao̯	1.0
ˈeː	ˈae̯	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ_r	ɡ_ʁ	1.0
ɡ	ɡ	1.0
ɛ	eə̯	1.0
ə_r	ʌ	1.0
ə_n	a	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_s	ɡ_s	1.0
v	f	1.0
tː	d	1.0
s̻ː	s	1.0
s̻	s	1.0
s_t	ʃ_d	1.0
s	s	1.0
r_n	ʕ_n	1.0
p͡f	b̥͡f	1.0
p	b	1.0
oː	a	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	e	1.0
l_t	l_d	1.0
l_d̥	l_d	1.0
l	l	1.0
kː	ɡ	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j	j	1.0
i	ɪ	1.0
fː	f	1.0
f	f	1.0
d̥	d	1.0
d	d	1.0
b	b	0.967
ə	-	0.966
t	d	0.954
w	ʋ	0.919
ˈuː	ˈao̯	0.878
ˈei̯	ˈɔe̯	0.789
n	n	0.779
h	h	0.764
ˈo	ˈo	0.747
ˈɑ	ˈa	0.699
ˈuə̯	ˈuə̯	0.699
ˈu	ˈo	0.679
ˈiː	ˈəi̯	0.664
ˈe	ˈɛ	0.59
ˈɛ	ˈɛ	0.581
xː	ç	0.57
ˈyː	ˈəi̯	0.5
ˈyː	ˈae̯	0.5
ˈy	-	0.49
ˈiə̯	ˈiə̯	0.466
r	ʕ	0.464
x	ç	0.439
xː	x	0.43
ˈi	ˈi	0.426
ˈe	-	0.41
x	x	0.362
r	ʁ	0.351
ˈiː	ˈae̯	0.336
ˈu	ˈu	0.321
ˈiə̯	ˈiː	0.267
ˈiə̯	ˈi	0.267
ˈy	ˈu	0.258
ˈy	ˈi	0.252
h	-	0.236
ˈi	ˈe	0.234
ˈɛ	ˈɛː	0.207
x	-	0.2
r	ʌ	0.185
ˈi	ˈɪ	0.167
ˈo	ˈoː	0.159
ˈuə̯	ˈuː	0.157
ˈuə̯	ˈɔə̯	0.144
n	-	0.14
ˈɑ	ˈaː	0.132
ˈei̯	-	0.129
ˈuː	-	0.122
ˈɑ	ˈɔː	0.113
ˈo	ˈɔ	0.095
ˈi	-	0.093
ˈɛ	-	0.091
ˈei̯	ˈae̯	0.082
w	-	0.081
n	a	0.081
ˈi	ˈiː	0.08
ˈɛ	ˈeː	0.061
ˈɛ	ˈeə̯	0.061
ˈɑ	ˈɛ	0.055
