Pennsylvania German	Old Norse	probability
b	b	0.986
d	θ	0.416
d	d	0.278
d	ð	0.248
eː	ɑː	1.0
f	f	0.598
f	p	0.195
f	v	0.113
h	h	0.889
h	ç	0.111
j	-	0.497
j	ɣ	0.258
j	ɟ	0.245
k	ɣ	0.323
k	kː	0.19
k	cː	0.132
k	ɡː	0.125
k	k	0.101
k	ɟː	0.082
kʰ	kʰ	0.945
l	l	0.834
l	lː	0.105
m	m	0.807
m	mː	0.067
m	-	0.054
m	v	0.052
n	n	0.624
n	-	0.188
n	nː	0.148
p	v	0.551
p	f	0.301
p	p	0.148
s	s	0.551
s	t	0.377
t	ð	0.392
t	d	0.22
t	t	0.156
t	r_ð	0.1
t	r	0.065
v	v	0.762
v	x	0.147
v	-	0.091
x	tː	0.392
x	k	0.362
x	j	0.135
x	r	0.067
ç	k	0.349
ç	ɣ	0.221
ç	ɡ	0.142
ç	s	0.124
ç	tː	0.078
ç	ð	0.051
ŋ	ŋ	1.0
ɑ	r	0.408
ɑ	i	0.297
ɑ	rː	0.133
ɑ	ˈɔ_r	0.078
ə	ɑ	0.576
ə	a	0.16
ə	-	0.148
ɡ	ɡ	0.564
ɡ	ɟ	0.343
ɡ	kʰ	0.092
ɣ	ɣ	0.418
ɣ	ʝː	0.303
ɣ	-	0.279
ɪ	-	0.388
ɪ	i	0.189
ɪ	ŋ	0.165
ɪ	u	0.143
ɪ	ɑ	0.116
ɾ	r	0.917
ʃ	s	0.971
ʋ	v	0.711
ʋ	-	0.16
ʋ	x_w	0.062
ʦ	tʰ	0.704
ʦ	t	0.182
ʦ	tː	0.063
ʦ	d	0.05
ˈa	ˈɑ	0.491
ˈa	ˈa	0.099
ˈa	ˈɑː	0.091
ˈa	ˈɔ	0.066
ˈa	-	0.055
ˈa	ˈy	0.054
ˈa	ˈiː	0.052
ˈaɪ̯	ˈiː	0.643
ˈaɪ̯	ˈyː	0.14
ˈaɪ̯	ˈɛ	0.056
ˈaʊ̯	ˈuː	0.766
ˈaʊ̯	ˈøy̯	0.126
ˈaʊ̯	ˈu	0.061
ˈaː	ˈo	0.539
ˈaː	ˈɑ	0.461
ˈeː	ˈɛi̯	0.472
ˈeː	j	0.161
ˈeː	ˈøy̯	0.097
ˈeː	ˈɑː	0.077
ˈeː	ˈe	0.051
ˈiː	j	0.348
ˈiː	j_ˈoː	0.225
ˈiː	ˈøː	0.21
ˈiː	ˈeː	0.097
ˈiː	ˈyː	0.063
ˈiː	ˈoː	0.057
ˈoː	ˈɑː	0.565
ˈoː	ˈɑu̯	0.158
ˈoː	ˈo	0.128
ˈoː	ˈɒu̯	0.077
ˈoː	ˈøy̯	0.072
ˈuː	ˈoː	0.616
ˈuː	ˈøː	0.219
ˈuː	ˈuː	0.111
ˈuː	ˈyː	0.054
ˈɔ	ˈu	0.319
ˈɔ	ˈo	0.257
ˈɔ	ˈi	0.134
ˈɔ	ˈy	0.134
ˈɔ	ˈoː	0.092
ˈɔ	ˈɔ	0.065
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈɑ	0.367
ˈɔː	ˈɑu̯	0.166
ˈɔː	ˈɑː	0.133
ˈɔː	ˈøy̯	0.103
ˈɔː	ˈe	0.075
ˈɔː	ˈɔ	0.052
ˈɛ	ˈe	0.247
ˈɛ	ˈɛ	0.232
ˈɛ	j	0.118
ˈɛ	ˈy	0.098
ˈɛ	ˈɑ	0.093
ˈɛ	ˈu	0.085
ˈɛ	ˈeː	0.051
ˈɛː	j	0.306
ˈɛː	ˈe	0.273
ˈɛː	ˈɛ	0.196
ˈɛː	ˈu	0.113
ˈɛː	ˈɑ	0.113
ˈɪ	ˈi	0.546
ˈɪ	ˈy	0.143
ˈɪ	ˈe	0.079
ˈɪ	ˈu	0.063
ˈʊ	ˈu	0.827
ˈʊ	ˈɔː	0.075
