Alsatian	Old High German	probability
ˈəi̯	ˈei̯	1.0
ˈɔi̯	ˈou̯_w	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈœ	ˈou̯_ɡ	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈo	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈuː	1.0
ˈo	ˈo	1.0
ˈaː	ˈɑ_ɡ	1.0
ˈai̯	ˈou̯	1.0
ʁ_n	r_n	1.0
ʁ	r	1.0
ɡ̊	ɡ	1.0
ŋ	ŋ_ɡ	1.0
w	w	1.0
p͡f	p͡f	1.0
p	p	1.0
n_d̥	n_t	1.0
h	h	1.0
eː	ɛ_h	1.0
e	m	1.0
b̥	b	1.0
f	f	0.984
t	t	0.968
l	l	0.962
m	m	0.955
n	n	0.893
ˈu	ˈu	0.882
ʦ	ʦ	0.869
ʋ	w	0.816
kʰ	kʰ	0.795
j	ɡ	0.777
ˈi	ˈi	0.764
d̥	d	0.716
ˈæː	ˈɛ	0.696
ˈʊː	ˈuo̯	0.671
x	x	0.667
s	s	0.643
ˈei̯	ˈiː	0.579
ˈoː	ˈɑː	0.533
ˈeː	-	0.46
i	u	0.429
ˈei̯	-	0.421
k	kː_ɑ	0.398
ˈe	ˈɛ	0.385
ˈe	ˈe	0.374
ʃ	s	0.36
ə	ɑ	0.359
ʃ	s_k	0.349
ˈoː	ˈoː	0.344
x	xː_ɑ	0.333
ˈʊː	ˈou̯	0.329
ˈeː	ˈoː	0.309
k	kː	0.307
ˈæː	-	0.304
ə	ɑ_n	0.298
k	x	0.295
i	ɡ	0.286
i	ɑ_ɡ	0.286
d̥	t	0.284
ˈiː	ˈio̯	0.279
ˈe	ˈu	0.242
s	s̻	0.232
ˈeː	ˈeː	0.231
j	j	0.223
ʃ	x	0.209
kʰ	k	0.205
ˈiː	ˈiu̯	0.201
ˈiː	ˈi	0.201
ˈiː	ˈiː	0.181
ˈiː	ˈuo̯	0.139
ʦ	-	0.131
ə	e_n	0.127
s	s̻ː	0.125
ˈoː	-	0.123
ˈu	ˈo	0.118
n	nː	0.107
ə	ɛ	0.103
ˈi	ˈiː	0.088
ʋ	-	0.084
ˈi	-	0.083
ʃ	-	0.082
ʋ	ɑ	0.079
ˈi	ˈiu̯	0.064
ə	n	0.059
