Neapolitan	Franco-Provençal	probability
b	b	1.0
bː	b	1.0
e	-	1.0
f	f	1.0
lː	-	1.0
r	ʁ	1.0
rː	-	1.0
sː	-	1.0
ŋ	-	1.0
ʃː	s	1.0
ʎː	ʎ	1.0
ʤ	ð	1.0
ʦ	s	1.0
d	ð	0.071
j	-	0.391
k	ʃ	0.351
kː	t	0.571
p	p	0.771
tː	t_ʁ	0.51
ɾ	j	0.061
k	-	0.352
mː	-	0.822
ɲː	ɲ	0.252
ʃ	s	0.512
ˈa	ˈɑ̃	0.252
ˈu	ˈoː	0.072
ˈu	w_ˈɛː	0.082
ˈu	ˈu	0.222
ˈɛ	ˈi	0.092
n	-	0.3
t	ð	0.063
ˈi	ˈɛː	0.133
ˈo	ˈɔ	0.323
ˈu	w	0.203
ˈu	ˈo	0.203
ˈɛ	ˈe	0.163
u	-	0.694
w	w	0.534
ɡ	ɡ	0.844
ɾ	-	0.294
ʃ	z	0.184
ˈe	ˈɛː	0.624
ˈi	ˈi	0.384
ˈɔ	ˈe	0.164
a	a	0.875
i	j	0.255
l	-	0.055
l	l	0.945
t	t	0.375
ə	ə	0.145
ʃ	-	0.305
ˈa	ˈɛː	0.085
ˈa	ˈe	0.085
ˈɔ	ˈo	0.055
ˈɛ	ˈɛ	0.285
d	d	0.886
i	-	0.626
j	p	0.106
j	j	0.356
nː	-	0.956
s	s	0.986
t	-	0.536
u	o	0.306
v	-	0.246
v	v	0.706
w	-	0.466
ə	o	0.066
ɡ	-	0.156
ɲː	ˈɛ̃	0.36
ɾ	ʁ	0.456
ˈa	-	0.096
ˈe	ˈɛ	0.376
j	l	0.127
k	k	0.297
n	n	0.7
ˈi	ˈɛ	0.107
ˈo	w	0.677
ˈu	ˈø	0.217
ˈɔ	ˈoː	0.437
ˈɛ	ˈø	0.097
a	-	0.088
m	m	0.98
mː	m	0.178
ə	a	0.198
ə	-	0.538
ɲː	-	0.388
ˈa	ˈa	0.268
ˈi	ˈe	0.168
ˈi	-	0.208
ˈɛ	-	0.348
i	ə	0.119
kː	-	0.429
p	v	0.209
tː	-	0.49
ɾ	ð	0.189
ˈa	ˈaː	0.119
ˈɔ	ˈɔ	0.309
