Western Lombard	Western Lombard	probability
ˈɑː_r	ˈa_r	1.0
ˈɑː_d	ˈa_d	1.0
ˈœ	ˈø	1.0
ˈỹ	ˈy	1.0
ˈy	-	1.0
ˈũ_#>	ˈu_#>	1.0
ˈoː	ˈo	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_#>	#>	1.0
ˈe	ˈe	1.0
ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
z	z	1.0
w	w	1.0
s_a	s_a	1.0
s	s	1.0
r_s	r_s	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l_s	l_s	1.0
k	k	1.0
ĩ	-	1.0
f	f	1.0
ẽ	e_n	1.0
b	b	1.0
ã	-	1.0
a_s	a_s	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
r	r	0.967
a	a	0.962
t	t	0.96
l	l	0.931
ˈɑː	ˈa	0.917
ˈɛ	ˈɛ	0.882
j	j	0.857
d	d	0.857
ˈøː	ˈø	0.846
n	n	0.838
ˈiː	ˈi	0.833
u	o	0.8
ʒ	z	0.778
y	-	0.75
ˈuː	ˈu	0.727
ˈɔ	ˈɔ	0.722
ʤ	ʤ	0.714
<#_ˈa	<#_ˈa	0.714
e	e	0.7
v	-	0.692
ˈũ	ˈo_n	0.6
ˈi	ˈi	0.583
ˈu	ˈu	0.5
ˈu	ˈo	0.5
ˈẽ	ˈe	0.5
ˈeː	ˈe	0.5
i	i	0.5
i	e	0.5
ʧ	ʧ	0.476
ˈyː	ˈy	0.471
ˈã	ˈa	0.462
ʧ	s	0.429
ˈi	ˈe	0.417
ˈyː	ˈø	0.412
ˈũ	ˈu	0.4
ˈã	ˈa_n	0.308
v	ʋ	0.308
ʤ	z	0.286
<#_ˈa	<#	0.286
ˈɔ	ˈo	0.278
ˈuː	ˈo	0.273
ˈẽ	ˈɛ_ŋ	0.25
ˈẽ	ˈɛ_n	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈi	0.25
y	y	0.25
ˈã	ˈa_ŋ	0.231
ʒ	ʤ	0.222
u	-	0.2
ˈiː	ˈe	0.167
e	-	0.167
n	-	0.162
ˈøː	-	0.154
j	-	0.143
d	-	0.143
e	i	0.133
ˈɛ	-	0.118
ˈyː	ˈu	0.118
ʧ	-	0.095
ˈɑː	ˈa_t	0.083
l	-	0.069
