Palatine German	Palatine German	probability
β_ə	m	1.0
ˈɛ̃ː	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ɣ	1.0
ˈɑːɪ̯	-	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈõː	ˈœː_n	1.0
ˈo	ˈɒː	1.0
ˈĩː	ˈɔʏ̯_n	1.0
ˈiː_s	ˈɔʏ̯_t	1.0
ˈi	ˈae̯	1.0
ˈẽː	ˈae̯_n	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_d̥	ç	1.0
ɪ	ɪ	1.0
ɡ̊_ə	k_n	1.0
ɡ̊_s	s	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
n_ˈɑː	n_ˈɒː	1.0
n_ɡ̊	ɡ̊	1.0
n_ə	n_n	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
eː	ae̯	1.0
d̥_ˈiː	d_ˈae̯	1.0
n	n	0.93
f	f	0.929
ɐ	æ	0.895
β	v	0.857
ˈuː	ˈaʊ̯	0.818
r	r	0.818
ə	n	0.8
f_#>	p_#>	0.75
#>	n_#>	0.714
ˈɑ	ˈa	0.688
ˈu	ˈʊ	0.647
ˈɪ	ˈɪ	0.645
ˈɛː	ˈae̯	0.615
b̥	b	0.6
ʃ	ʃ	0.587
ˈiː	ˈae̯	0.583
ˈɔ	ˈɔ	0.545
ʣ̥	tʰ	0.533
ˈoː	ˈɒː	0.5
r_ə	æ_n	0.5
r_ə	d_n	0.5
s	z	0.487
ˈaɪ̯	ˈiː	0.478
ʣ̥	t	0.467
ɡ̊	ɡ	0.45
x	x	0.429
d̥	d̥	0.378
d̥	d	0.365
ˈɑː	ˈaʊ̯	0.357
x	k	0.357
ˈɛ	ˈɛ	0.35
ˈoː	ˈaʊ̯	0.312
ˈɑː	-	0.286
#>	ç_#>	0.286
ˈɔ	ˈuː	0.273
ˈeː	ˈeː	0.273
ˈeː	ˈae̯	0.273
b̥	v̥	0.267
s	t	0.256
ˈiː	ˈiː	0.25
ɡ̊	ç	0.25
f_#>	#>	0.25
ˈu	-	0.235
ˈɛː	ˈɛ	0.231
d̥	t	0.216
ˈɑː	ˈa	0.214
x	ɡ	0.214
s	z̥	0.205
ˈɛ	ˈɛː	0.2
ɡ̊	j	0.2
ə	-	0.2
ˈɪ	ˈʏ	0.194
ˈoː	ˈoː	0.188
ˈɔ	-	0.182
ˈuː	ˈɔʏ̯	0.182
ˈeː	-	0.182
r	ɾ	0.182
ˈaɪ̯	ˈɪ	0.174
ˈaɪ̯	ˈyː	0.174
ʃ	ç	0.174
ˈiː	ˈɪ	0.167
ˈɛː	-	0.154
ʃ	k	0.152
ˈɛ	-	0.15
β	w	0.143
ˈɑː	ˈaː	0.143
ˈu	ˈɔ	0.118
ˈɛ	ˈœː	0.1
ˈɛ	ˈœ	0.1
ˈɛ	ˈiː	0.1
ɡ̊	k	0.1
b̥	p	0.1
ˈɪ	-	0.097
ˈɑ	ˈɒː	0.094
ˈɑ	-	0.094
ˈeː	ˈɛɪ̯	0.091
ˈeː	ˈøː	0.091
ˈeː	ˈaɪ̯	0.091
ˈaɪ̯	ˈʏ	0.087
ˈaɪ̯	-	0.087
ʃ	s	0.087
f	p	0.071
n	-	0.07
ˈɪ	ˈɛ	0.065
ˈɑ	ˈɔ	0.062
ˈɑ	ˈaʊ̯	0.062
ɐ	ˈoː_æ	0.053
ɐ	-	0.053
s	s	0.051
