Luxembourgish	Luxembourgish	probability
χ	k	1.0
ˈʊ	ˈuː	1.0
ˈɛː	-	1.0
ˈɔ	ˈʉ	1.0
ˈæːʊ̯	ˈʉː	1.0
ˈæːɪ̯_n	ˈiː_n	1.0
ˈæ	ˈɛ	1.0
ˈoː_ə	ˈoː	1.0
ˈiː_ɐ	ɾ	1.0
ˈe_ŋ_#>	ˈiː_#>	1.0
ʦ_#>	t_#>	1.0
ʑ	-	1.0
ʃ_l	s_l	1.0
ʀ_#>	ɾ_n_#>	1.0
ʀ	ɾ	1.0
ɡ̊	-	1.0
ə_f	ʋ	1.0
ɕ_t	ʰtː	1.0
ɕ_#>	ɡ_#>	1.0
ɕ	k	1.0
ŋ_k	ʰkː	1.0
z̥_#>	s_#>	1.0
v_ˈɑ	ʋ	1.0
v_ˈo	ˈʉ	1.0
pʰ	pʰ	1.0
n_d̥_#>	nː_#>	1.0
n_#>	#>	1.0
l_ˈɜɪ̯	j_ˈʉː	1.0
l_ə	l	1.0
l_d̥	lː	1.0
l_#>	l_#>	1.0
j	-	1.0
h	h	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b	b	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ʀ	<#_ɾ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.92
s	t	0.882
ŋ	ŋː	0.857
kʰ	kʰ	0.818
z	s	0.812
f	f	0.81
ʦ	tʰ	0.8
ɡ	ɡ	0.8
ˈeː	ˈæɪ̯	0.786
ɐ_#>	ɾ_#>	0.75
ˈoː	ˈoː	0.714
v	ʋ	0.706
ˈæːɪ̯	ˈiː	0.7
ʃ	s	0.696
#>	ɾ_#>	0.688
ˈiː	ˈɛ	0.667
ˈe	ˈʏ	0.667
z̥	s_e	0.667
w	ʋ	0.667
v̥_#>	ʋ_#>	0.667
l	l	0.652
ˈu	-	0.625
t	t	0.615
ˈɑ	ˈɑ	0.611
ˈɛ	-	0.6
ˈɑʊ̯	ˈʉː	0.6
ˈuə̯	ˈɔ	0.6
f_#>	p_#>	0.6
k	ɡː	0.571
ə	ɑ	0.558
ˈuː	ˈɔ	0.5
ˈuː	-	0.5
ˈo	ˈʉ	0.5
ˈiə̯	ˈeː	0.5
ˈiə̯	-	0.5
ˈi	ˈoː	0.5
ˈi	-	0.5
p	p	0.5
d	d	0.5
ˈəʊ̯	ˈæʉ̯	0.444
ˈɑɪ̯	ˈyː	0.444
ɐ	ɾ	0.421
ˈɛ	ˈɛ	0.4
ˈɑʊ̯	-	0.4
ˈuə̯	ˈɑː	0.4
f_#>	#>	0.4
t	-	0.385
n	n	0.385
ˈu	ˈuː	0.375
d	tʰ	0.353
ˈəʊ̯	-	0.333
ˈɑɪ̯	-	0.333
ˈiː	ˈæ	0.333
ˈe	ˈɪ	0.333
z̥	sː	0.333
w	-	0.333
v̥_#>	#>	0.333
ˈɜɪ̯	ˈøː	0.312
ʃ	ʂ	0.304
ˈæːɪ̯	-	0.3
ˈoː	-	0.286
ˈaː	ˈɑː	0.286
k	-	0.286
ˈɑ	ˈɪ	0.278
ɐ	e	0.263
l	lː	0.261
ˈɜɪ̯	ˈyː	0.25
ˈɜɪ̯	-	0.25
ˈo	ˈʏ	0.25
ˈo	-	0.25
ˈaː	ˈɑ	0.25
ɐ_#>	#>	0.25
p	ʰpː	0.25
p	ʉ	0.25
n	nː	0.231
ˈəʊ̯	ˈuː	0.222
ˈɑɪ̯	ˈiː	0.222
ˈeː	-	0.214
ˈə	ˈɪ	0.211
ˈə	ˈɛ	0.211
ə	-	0.209
ʦ	tː	0.2
ɡ	j	0.2
f	p	0.19
ˈɜɪ̯	ˈoː	0.188
z	ʂ	0.188
#>	ɡ_#>	0.188
kʰ	ç	0.182
n	ɑ	0.179
v	kʰ_ʋ	0.176
ˈə	ˈʏ	0.158
n	-	0.154
ˈaː	ˈɑ_ɾ	0.143
ˈaː	ˈæʉ̯	0.143
ŋ	ɲ	0.143
k	ŋ	0.143
#>	k_#>	0.125
v	v	0.118
s	-	0.118
ˈɑ	-	0.111
ˈaː	ˈʊ	0.107
ˈə	ˈʉ	0.105
ˈə	ˈiː	0.105
ˈə	ˈeː	0.105
ˈə	-	0.105
ɐ	ə	0.105
ɐ	ɑ	0.105
ɐ	d_ə	0.105
ə	j	0.093
d	-	0.088
l	ɡ_l	0.087
m	mː	0.08
ˈaː	ˈɛ	0.071
d	ç	0.059
n	n_d	0.051
