Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	ˈœ	1.0
ˈɘ	-	1.0
ˈɒː	ˈʌ_j	1.0
ˈoː_ɐ	ˈɒˀ	1.0
ˈoː_#>	ˈæ_nˀ_#>	1.0
ˈiː_ç	ˈyˀ	1.0
ˈeː	-	1.0
ˈaː_x	j	1.0
ˈaː_s	ˈeˀ_ð̞ˠ	1.0
ˈaː_#>	ˈeˀ_n_#>	1.0
ˈa	ˈɑ	1.0
ɾ_ɐ	ɐ	1.0
ɪ	e	1.0
ɣ̊	ˈeˀ	1.0
ɐ_#>	#>	1.0
ç_#>	#>	1.0
z̥	ð̞ˠ	1.0
x_d̥	d̥	1.0
v̥	w	1.0
v_ˈɔ	ʋ	1.0
t	d̥_j	1.0
s_#>	s_#>	1.0
r	ʁ	1.0
n_#>	#>	1.0
m_ˈʊ	m	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
i	i	1.0
h	h	1.0
eː	ə_n	1.0
d̥_#>	#>	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	#>	1.0
a_#>	#>	1.0
a	ə	1.0
<#_v	<#	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_h	<#_j	1.0
<#_d̥	<#_ʦʰ	1.0
b̥	b̥	0.889
v	ʋ	0.842
f	f	0.81
m	m	0.778
l	l	0.719
ˈaʊ̯	ˈuˀ	0.7
#>	ə_#>	0.692
s	s	0.679
ˈaː	-	0.667
f_#>	b̥_#>	0.667
n_d̥	nˀ	0.636
ɐ	ɐ	0.606
ʃ	s	0.586
ɡ̊	ɡ̊	0.586
d̥	d̥	0.568
ˈʊ	ˈu	0.538
ˈuː	ˈoˀ	0.5
ʦ	ʦʰ	0.5
ʦ	d̥	0.5
ç	w	0.5
ç	-	0.5
x	w	0.5
<#_ˈɒ	<#_ˈæ	0.5
<#_ˈɒ	<#	0.5
n	n	0.474
ˈɪ	ˈe	0.429
ˈɒ	ˈæ	0.429
ˈɔ	ˈu	0.417
ʃ	s_ɡ̊	0.414
ˈiː	-	0.4
ˈɛ	ˈɛ	0.381
ˈaɪ̯	ˈiˀ	0.381
ˈoː	-	0.375
n	ə	0.368
d̥	ð̞ˠ	0.341
ˈɛ	-	0.333
ˈaː	ˈeˀ	0.333
x	j	0.333
f_#>	#>	0.333
ɡ̊	kʰ	0.31
ˈʊ	-	0.308
ˈaʊ̯	-	0.3
ŋ	ŋˀ	0.286
l	lˀ	0.281
ɐ	ɐˀ	0.273
ˈɔ	ˈo	0.25
ˈuː	-	0.25
ˈoː	ˈɔˀ	0.25
ˈɛ	ˈe	0.238
ˈaɪ̯	-	0.238
ŋ	ŋ	0.214
ŋ	-	0.214
s	ð̞ˠ	0.214
ˈiː	ˈyː	0.2
ˈiː	ˈyˀ	0.2
ˈiː	ˈeˀ	0.2
ˈɪ	ˈø	0.19
ˈɒ	ˈɑ	0.19
ˈoː	ˈɔː	0.188
n_d̥	n_ə	0.182
n_d̥	n	0.182
ˈɔ	ˈœ	0.167
ˈɔ	-	0.167
x	jˀ	0.167
v	-	0.158
ˈʊ	ˈʌ	0.154
#>	ɐ_#>	0.154
#>	j_#>	0.154
ˈɪ	ˈœ	0.143
ˈɪ	-	0.143
ˈaɪ̯	ˈyˀ	0.143
ˈaɪ̯	ˈiː	0.143
ŋ	ə	0.143
ŋ	w_ə	0.143
ˈuː	ˈœˀ	0.125
ˈuː	ˈøˀ	0.125
ˈoː	ˈæ	0.125
ɐ	-	0.121
m	w_ə	0.111
m	mˀ	0.111
b̥	w	0.111
ɡ̊	-	0.103
ˈɪ	ˈɛ	0.095
ˈɒ	ˈʌ	0.095
ˈɒ	ˈɔˀ	0.095
ˈɒ	ˈɔ	0.095
ˈɒ	-	0.095
ˈaɪ̯	ˈɑ	0.095
f	ʋ	0.095
f	b̥	0.095
n	nˀ	0.079
n	n_ə	0.079
s	ˈøˀ_ð̞ˠ	0.071
d̥	-	0.068
ˈoː	ˈæˀ	0.062
