Northern Low Saxon	North Frisian	probability
ˈʊ	ˈʊ	1.0
ˈɔ	ˈɔː	1.0
ˈœ	ˈeː	1.0
ˈyː	ˈʏ	1.0
ˈeː	ˈaː	1.0
ˈeɪ̯	ˈiː	1.0
ʒ	j	1.0
ʃ_t	s_t	1.0
ɪ	i	1.0
ɡ_n	j_ə	1.0
ç_#>	#>	1.0
z	s	1.0
x	x	1.0
v_ˈʊ	ˈʊ	1.0
v	v	1.0
tʰ	t	1.0
t	t	1.0
s	s	1.0
r	r	1.0
n_d	nʲ	1.0
l_d	lʲ	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
d_n	dʲ_ə	1.0
d_#>	#>	1.0
b_m	p_ə	1.0
<#_n	<#_n	1.0
l	l	0.915
ˈaɪ̯	ˈiː	0.889
kʰ	k	0.8
b	b	0.792
ʃ	ʃ	0.75
m	m	0.714
ˈaː	r	0.667
ŋ	ŋ	0.667
ç	j	0.667
ˈuː	ˈyː	0.636
ˈiː	ˈi	0.6
n	n	0.569
ˈɛ	ˈɛː	0.5
ˈɛ	ˈeː	0.5
ˈøː	ˈɔː	0.5
ˈøː	ˈaː	0.5
ɐ	r	0.5
ˈɔʏ̯	ˈɛ	0.444
d	d	0.435
ɐ	ə_r	0.433
ɡ	k	0.429
ˈaʊ̯	ˈuː	0.4
ˈɪ	ˈi	0.381
ˈuː	ˈøː	0.364
ˈɔʏ̯	ˈiː	0.333
ˈaː	ˈuː_l	0.333
ç	ŋ	0.333
d	t	0.333
ɡ	ɡ	0.321
ˈʏ	ˈeː	0.3
ˈʏ	ˈa	0.3
ˈɪ	ˈa	0.286
ˈaʊ̯	ˈyː	0.28
ˈa	ˈɒ	0.278
n	ə	0.259
ʃ	s	0.25
ˈɔʏ̯	ˈɛi̯	0.222
ˈa	ˈœ	0.222
ˈoː	ˈɛː	0.214
ˈoː	ˈɛi̯	0.214
ˈoː	ˈɔu̯	0.214
ˈoː	ˈɒː	0.214
b	p	0.208
ˈʏ	ˈʏ	0.2
ˈʏ	ˈʊ	0.2
ˈiː	ˈiː	0.2
ˈiː	ˈeː	0.2
ˈaʊ̯	ˈœ	0.2
kʰ	ʃ	0.2
m	m_ə	0.179
ˈa	ˈɒː	0.167
ŋ	ŋ_ə	0.167
ŋ	d_ə	0.167
ˈɪ	ˈʊ	0.143
ˈoː	ˈɔː	0.143
ˈaʊ̯	ˈɔ	0.12
d	tʲ	0.116
ˈaɪ̯	ˈiː_ə	0.111
ˈa	ˈʊ	0.111
ˈa	ˈɔː	0.111
ˈa	ˈeː	0.111
ɡ	k_ə	0.107
m	v_ə	0.107
n	n_ə	0.103
ˈɪ	ˈiː	0.095
ˈɪ	ˈai̯	0.095
d	dʲ	0.087
ɡ	w	0.071
ɡ	j_ə	0.071
n	nʲ	0.069
ɐ	ˈa_r	0.067
