Old West Norse	English	probability
θ	θ	1.0
ˈɛː	-	1.0
ˈɔː	ˈuː	1.0
ˈɒu̯	ˈe	1.0
ˈɑ_ɣ	ˈeɪ̯	1.0
ˈɑ_r	ˈɑː	1.0
ˈøː	ˈiː	1.0
ˈo_r	ˈɔː	1.0
ˈe_r	ˈɔː	1.0
ˈa	ˈæ	1.0
ʝː	-	1.0
ɾ	ɹ	1.0
ɣ	-	1.0
ɡː	ʤ	1.0
ɟ	-	1.0
ɑː	ˈiː	1.0
ð_ɑ	d	1.0
ð_i	ð	1.0
ç	h	1.0
x_w	w	1.0
v_ˈɑ	w	1.0
v_ɑ	v	1.0
tː	t	1.0
tʰ	tʰ	1.0
t_r̥	ˈɒ_t	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ə	1.0
r_ˈe	ɜː	1.0
r_ɑ	ə	1.0
r_i	ə	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
n̥	n	1.0
m	m	1.0
l̥	l	1.0
lː	ɫ	1.0
l_j	l	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈoː	ˈiː	1.0
i_r̥	ə	1.0
h	h	1.0
f	f	1.0
d	d	1.0
cː	ʧ	1.0
cʰ	kʰ	1.0
b	b	1.0
a	-	1.0
s	s	0.976
n	n	0.97
ɑ	-	0.927
ŋ	ŋ	0.85
ˈɛi̯	ˈəʊ̯	0.843
nː	n	0.841
ˈɔ	-	0.835
i	-	0.83
ˈiː	ˈaɪ̯	0.808
ˈeː	ˈiː	0.771
ˈy	ˈɪ	0.75
r	ɹ	0.737
ˈo	ˈɐ	0.684
ˈi	ˈɪ	0.67
kː	k	0.61
ð	d	0.577
ˈɛ	ˈe	0.575
u	ˈe	0.575
r̥	ə	0.575
ˈɑu̯	ˈiː	0.562
ˈøy̯	ˈɪ	0.562
ɡ	-	0.561
ˈɑ_l	ɫ	0.557
ˈyː	ˈɪ	0.555
ˈu	ˈɐ	0.549
ˈoː	-	0.537
l	l	0.536
v	v	0.504
l	ɫ	0.464
j	-	0.452
ˈyː	ˈaʊ̯	0.445
ˈɑ_l	ˈɑː	0.443
ˈɑu̯	ˈe	0.438
ˈøy̯	-	0.438
ˈuː	ˈaʊ̯	0.429
ˈɛ	ˈæ	0.425
u	n	0.425
r̥	ɹ	0.425
ˈuː	-	0.418
ˈɑː	-	0.406
ˈe	ˈɛ	0.39
kː	ŋ_k	0.39
ɡ	ɡ	0.389
ˈe	ˈɪ	0.336
ˈi	ˈaɪ̯	0.33
ˈo	-	0.316
ˈe	ˈe	0.274
ˈɑ	-	0.27
v	w	0.251
ˈy	-	0.25
ˈu	-	0.25
v	-	0.245
j	ˈɪ	0.235
ˈɑ	ˈæ	0.233
ˈeː	ˈaɪ̯	0.229
ˈoː	ˈuː	0.192
ˈiː	-	0.192
ð	θ	0.192
ˈɑː	ˈuː	0.186
i	ɪ	0.17
ˈɔ	ˈæ	0.165
nː	θ	0.159
ˈɛi̯	-	0.157
r	ˈɜː	0.157
j	ˈiː	0.157
j	ˈe	0.157
ˈuː	ˈaɪ̯	0.153
ˈɑː	ˈaɪ̯	0.152
ŋ	-	0.15
ˈu	ˈaʊ̯	0.148
ˈɑ	ˈɒ	0.137
ˈoː	ˈʊ	0.135
ˈoː	ˈɐ	0.135
ˈɑ	ˈəʊ̯	0.134
ˈɑː	ˈəʊ̯	0.118
ð	-	0.116
ð	ð	0.115
ˈɑ	ˈɑː	0.114
ˈɑ	ˈeɪ̯	0.114
r	ˈɔː	0.107
ɑ	ə	0.073
ˈɑː	ˈiː	0.071
ˈɑː	ˈeɪ̯	0.068
ˈu	w_ˈʊ	0.053
ɡ	j	0.051
