East Franconian	Westphalian	probability
β	v	1.0
ˈʊ_ɐ	ˈuːə̯	1.0
ˈɘ	-	1.0
ˈoː_s	ˈɒː	1.0
ˈiː_ɐ	ˈiː	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ʃ	ʃ	1.0
ɾ_ɐ	ɐ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɣ̊	x	1.0
ɣ	ɡ	1.0
ə	ˈyː_ç	1.0
z̥_n	t_n	1.0
x_d̥	x_t	1.0
x	k	1.0
v_ˈɔ	v	1.0
n_d̥	n	1.0
kʰ	k	1.0
j	j	1.0
i	ɪ_ç	1.0
h	h	1.0
eː	aɪ̯	1.0
d̥_ˈɔ	d	1.0
b̥͡v̥	p	1.0
l	l	0.956
b̥	b	0.94
r	r	0.939
m	m	0.929
s	s	0.895
n	n	0.853
f	f	0.834
ŋ	ŋ	0.719
ɐ	ɐ	0.71
ˈʊ	ˈʊ	0.704
ˈɪ	ˈɪ	0.701
v	v	0.692
ʃ_d̥	ʃ_t	0.678
ˈɒ	ˈa	0.669
n_a	n_n	0.664
ˈeː	-	0.652
ˈoː	ˈɔː	0.613
ç	ç	0.589
ˈɛː	ˈaɪ̯	0.574
ˈaɪ̯	ˈiː	0.57
ˈaʊ̯	ˈuː	0.566
ˈaː	ˈaʊ̯	0.529
z̥	z	0.493
d̥	d	0.491
ˈaː	ˈeː	0.471
ˈɛ	ˈɛ	0.458
ɡ̊	x	0.445
a	ə	0.444
ˈuː	ˈoː	0.441
ˈaʊ̯	ˈʊ	0.434
ˈɔ	ˈʊ	0.429
ˈɛː	-	0.426
ˈiː	ˈaɪ̯	0.419
ç	k	0.411
d̥	d̥	0.411
ˈuː	ˈaʊ̯	0.359
ˈeː	ˈɪɛ̯	0.348
n_a	n	0.336
z̥	z̥	0.325
ˈɛ	ˈɪɛ̯	0.322
ʃ_d̥	t	0.322
v	ʋ	0.308
a	n	0.302
ɐ	-	0.29
ˈɔ	ˈɔ	0.286
ˈɔ	-	0.286
a	-	0.254
ɡ̊	k	0.238
ˈaɪ̯	-	0.235
ɡ̊	-	0.203
ˈiː	-	0.185
z̥	t	0.182
ˈʊ	-	0.181
ŋ	ɡ_n	0.176
ˈiː	ˈøː	0.159
ˈiː	ˈɪ	0.157
ˈoː	ˈa	0.156
ˈoː	-	0.156
ˈɒ	-	0.153
ˈɪ	-	0.152
ˈɛ	-	0.146
ˈɪ	ˈʏ	0.129
n	-	0.129
ˈaɪ̯	ˈyː	0.119
ˈʊ	ˈuə̯	0.115
ɡ̊	ç	0.114
ŋ	n	0.105
s	t_ə	0.105
ˈuː	-	0.103
ˈɒ	ˈaː	0.101
ˈuː	ˈuə̯	0.097
f	p	0.089
ˈiː	ˈiː	0.081
d̥	t	0.08
ˈɒ	ˈɔ	0.077
ˈaɪ̯	ˈɪ	0.077
f	-	0.077
ˈoː	ˈaː	0.075
ˈɛ	ˈyə̯	0.074
m	v	0.071
r	-	0.061
b̥	v̥	0.06
