Dutch	Ripuarian	probability
b	b	0.962
d	d	0.857
d	-	0.076
d̥	d̥	0.41
d̥	ɡ̊	0.263
d̥	l_d̥	0.114
d̥	-	0.078
d̥	t	0.069
d̥	k	0.066
f	f	1.0
i	e	1.0
j	ˈyː	0.57
j	j	0.43
k	k	0.599
k	ɕ	0.318
k	x	0.075
m	m	0.986
n	n	0.778
n	ŋ	0.218
p	f	0.607
p	p	0.393
s	ʃ	0.581
s	s	0.303
s	k_s	0.067
t	s	0.515
t	t	0.248
t	ʦ	0.237
v	f	0.813
v	v	0.187
v̥	v̥	0.892
v̥	v	0.055
v̥	p	0.053
w	ˈøʏ̯	0.901
w	-	0.099
z	z	0.869
z	ʃ	0.066
z̥	s	1.0
ŋ	ŋ	0.908
ŋ	ɕ	0.092
ə	ə	0.637
ə	-	0.361
ɦ	h	0.98
ɪ	ɪ	0.676
ɪ	ə	0.324
ɫ	l	0.987
ɾ	ɐ	0.526
ɾ	ʀ	0.367
ɾ	-	0.107
ʋ	ʋ	0.988
ˈaː	ˈoː	0.42
ˈaː	ˈaː	0.166
ˈaː	ˈɛː	0.146
ˈaː	ˈɔ	0.073
ˈaː	ˈo	0.053
ˈaː	ˈiː	0.052
ˈeː	ˈeː	0.336
ˈeː	ˈɛː	0.183
ˈeː	ˈɛ	0.178
ˈeː	ˈeɪ̯	0.118
ˈeː	ˈiː	0.1
ˈi	ˈeː	0.58
ˈi	ˈiː	0.192
ˈi	ˈœ	0.098
ˈoː	ˈoː	0.339
ˈoː	ˈuː	0.165
ˈoː	ˈɔ	0.112
ˈoː	ˈyː	0.101
ˈoː	ˈʏ	0.087
ˈoː	ˈu	0.079
ˈu	ˈoː	0.66
ˈu	ˈøː	0.246
ˈu	ˈo	0.093
ˈyː	ˈyː	0.851
ˈyː	ˈuː	0.093
ˈyː	ˈøː	0.056
ˈøː	ˈaː	1.0
ˈœy̯	ˈuː	0.488
ˈœy̯	ˈaʊ̯	0.158
ˈœy̯	ˈyː	0.105
ˈœy̯	ˈo	0.105
ˈœy̯	ˈʏ	0.105
ˈɑ	ˈa	0.714
ˈɑ	ˈɛ	0.135
ˈɑ	ˈaː	0.131
ˈɑu̯	ˈa	0.521
ˈɑu̯	ˈaʊ̯	0.29
ˈɑu̯	ˈo	0.189
ˈɔ	ˈo	0.437
ˈɔ	ˈɔ	0.236
ˈɔ	ˈʊ	0.177
ˈɔ	ˈoː	0.073
ˈɛ	ˈɛː	0.295
ˈɛ	ˈɛ	0.265
ˈɛ	-	0.076
ˈɛ	ˈiː	0.076
ˈɛ	ˈʏ	0.065
ˈɛ	ˈɪ	0.065
ˈɛ	ˈe	0.056
ˈɛ	ˈeː	0.05
ˈɛi̯	ˈiː	0.327
ˈɛi̯	ˈeɪ̯	0.152
ˈɛi̯	ˈɪ	0.142
ˈɛi̯	ɐ	0.138
ˈɛi̯	ˈɛ	0.12
ˈɛi̯	ˈœ	0.058
ˈɪ	ˈe	0.507
ˈɪ	ˈɪ	0.27
ˈɪ	ˈa	0.102
ˈɪ	ˈeː	0.056
ˈʏ	ˈœ	0.958
χ	j	0.322
χ	ɕ	0.234
χ	-	0.231
χ	k	0.104
χ	x	0.06
