Bavarian	English	probability
a	ə	0.872
a	-	0.089
b̥	b	0.695
b̥	v	0.135
b̥	f	0.094
b̥	ɹ	0.057
d	d	1.0
d̥	d	0.716
d̥	θ	0.163
d̥	ð	0.103
f	f	0.665
f	p	0.235
f	kʰ	0.062
h	h	1.0
i	ŋ	0.395
i	ɪ	0.395
i	ɫ	0.21
j	ɫ	0.477
j	-	0.249
j	j	0.117
j	l_əʊ̯	0.116
k	k	1.0
kʰ	kʰ	0.649
kʰ	ʧ	0.27
kʰ	-	0.081
l	l	0.879
l	ɫ	0.061
m	m	0.77
m	-	0.139
m	v	0.091
n	n	0.784
n	-	0.166
p	p	0.672
p	-	0.328
p͡f	p	0.785
p͡f	d	0.215
r	ɹ	0.806
r	w	0.078
r	-	0.068
s	s	0.631
s	t	0.346
t	d	0.554
t	t	0.222
t	ð	0.168
t	θ	0.056
x	-	0.459
x	k	0.436
x	ʧ	0.105
ç	ʧ	0.428
ç	-	0.364
ç	k	0.208
ŋ	ŋ	0.734
ŋ	ɪ	0.106
ŋ	n	0.104
ŋ	-	0.056
ɐ	ə	0.52
ɐ	ˈɜː	0.271
ɐ	-	0.114
ɐ	ˈɔː	0.067
ə	ɫ	1.0
ɡ̊	ɡ	0.426
ɡ̊	ʤ	0.266
ɡ̊	-	0.241
ɪ	ɪ	1.0
ʃ	ʃ	0.584
ʃ	s	0.416
ʋ	w	0.974
ʦ	tʰ	0.64
ʦ	t	0.36
ˈa	ˈe	0.256
ˈa	ˈæ	0.24
ˈa	ˈɑː	0.207
ˈa	ˈuː	0.138
ˈa	ˈeɪ̯	0.113
ˈai̯	ˈaɪ̯	0.63
ˈai̯	ˈɪ	0.126
ˈai̯	ˈe	0.098
ˈai̯	ˈəʊ̯	0.06
ˈai̯	j	0.051
ˈau̯	ˈaʊ̯	0.749
ˈau̯	ˈiː	0.134
ˈau̯	ˈaɪ̯	0.116
ˈaː	ˈiː	0.923
ˈe	ˈe	0.604
ˈe	ˈɪ	0.153
ˈe	-	0.153
ˈe	ˈiː	0.091
ˈeɐ̯	ˈiː	0.565
ˈeɐ̯	ˈuː	0.435
ˈeː	ˈe	0.481
ˈeː	ˈeɪ̯	0.195
ˈeː	ˈiː	0.187
ˈeː	ˈɪ	0.137
ˈi	ˈɪ	0.619
ˈi	ˈaɪ̯	0.24
ˈi	ˈiː	0.066
ˈiɐ̯	ˈiː	0.735
ˈiɐ̯	ˈaɪ̯	0.265
ˈiː	ˈe	0.489
ˈiː	ˈɪ	0.369
ˈiː	ˈiː	0.142
ˈo	ˈəʊ̯	0.323
ˈo	ˈɒ	0.174
ˈo	ˈʊ	0.151
ˈo	ˈeɪ̯	0.133
ˈo	ˈɔː	0.126
ˈo	ˈæ	0.093
ˈou̯	ˈaɪ̯	0.365
ˈou̯	ˈeɪ̯	0.365
ˈou̯	ˈe	0.27
ˈoɐ̯	ˈɔː	0.319
ˈoɐ̯	ˈəʊ̯	0.177
ˈoɐ̯	ˈe	0.099
ˈoɐ̯	ˈɪ	0.095
ˈoɐ̯	ˈuː	0.086
ˈoɐ̯	ˈɛ	0.086
ˈoɐ̯	ˈaɪ̯	0.052
ˈoː	ˈɑː	0.216
ˈoː	ˈaʊ̯	0.168
ˈoː	ˈɛ	0.168
ˈoː	ˈiː	0.156
ˈoː	ˈæ	0.144
ˈoː	ˈeɪ̯	0.093
ˈoː	ˈɐ	0.054
ˈu	ˈɐ	0.512
ˈu	ˈɪ	0.173
ˈu	-	0.123
ˈu	ˈiː	0.07
ˈu	ˈaʊ̯	0.061
ˈuɐ̯	ˈɐ	0.484
ˈuɐ̯	ˈʊ	0.421
ˈuɐ̯	ˈaʊ̯	0.096
ˈy	ˈəʊ̯	1.0
ˈɑː	ˈiː	1.0
ˈɒ	ˈeɪ̯	0.366
ˈɒ	ˈe	0.34
ˈɒ	-	0.107
ˈɒ	ˈɔː	0.096
ˈɒ	ˈɒ	0.091
ˈɒː	ˈɪ	0.353
ˈɒː	ˈæ	0.324
ˈɒː	ˈɑː	0.212
ˈɒː	ˈiː	0.11
ˈɔ	ˈæ	0.18
ˈɔ	ˈaɪ̯	0.157
ˈɔ	ˈeɪ̯	0.144
ˈɔ	ˈɔː	0.144
ˈɔ	ˈuː	0.112
ˈɔ	ˈiː	0.104
ˈɔ	ˈɒ	0.093
ˈɔ	ˈe	0.067
ˈɛ	ˈiː	0.263
ˈɛ	ˈɐ	0.248
ˈɛ	ˈe	0.157
ˈɛ	ˈɔː	0.153
ˈɛ	ˈɛ	0.075
ˈɛ	ˈɪ	0.067
ˈɛː	ˈəʊ̯	0.807
ˈɛː	ˈiː	0.193
ˈʏ	ˈɪ	1.0
