Hessian	Palatine German	probability
ˈɛ̃ː	ˈɛ̃ː	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈɑ̃ɪ̯	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈõː	1.0
ˈoː	ˈoː	1.0
ˈoi̯	ˈaɪ̯	1.0
ˈoĩ̯	ˈɑ̃ɪ̯	1.0
ˈĩː	ˈĩː	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈɑ̃ː	1.0
ˈai̯	ˈaɪ̯	1.0
ˈa	ˈɑ	1.0
ʦ	ʣ̥	1.0
ʃ	ʃ	1.0
ʀ	r	1.0
ɡ̊	ɡ̊	1.0
ɛː	eː	1.0
ə	ə	1.0
ɑ	ɑ	1.0
ɐ_n	r_ə	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	s	1.0
v̥	f	1.0
v	β	1.0
t	d̥	1.0
pʰ	b̥	1.0
p	b̥	1.0
oː	ˈoː	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥_ə	r_ə	1.0
d̥_æ̆	r_ɐ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
l	l	0.939
ˈau̯	ˈau̯	0.921
ˈɑ	ˈɑ	0.917
ˈu	ˈu	0.913
s	s	0.89
ˈiː	ˈiː	0.867
x	x	0.753
ˈo	ˈɔ	0.676
ʒ̊	-	0.648
ɣ̊	ɣ̊	0.63
j	j	0.512
j	-	0.488
ˈaː	ˈɑː	0.453
ˈɑː	ˈɑː	0.432
ɣ̊	x	0.37
ʒ̊	ʃ	0.352
ˈo	ˈu	0.324
ˈɑː	ˈɑː_ɐ	0.304
ˈaː	ˈɛː	0.303
x	ɣ̊	0.247
ˈɑː	ˈoː	0.216
ˈaː	ˈeː	0.147
ˈiː	ˈeː	0.133
s	ʃ	0.11
ˈaː	ˈɑ	0.096
ˈu	-	0.087
ˈɑ	ˈɑ_ɐ	0.083
ˈau̯	ˈau̯̯	0.079
l	l_d̥	0.061
