Romanian	Aragonese	probability
e̯ˈa	ˈe	1.0
f	f	1.0
kʲ	-	1.0
o	o	1.0
v	b	1.0
ɨ	-	1.0
ʃ	s	1.0
ʧʲ	t	1.0
ˈau̯	ˈo	1.0
ˈə	ˈe	1.0
ˈɨ	ˈa	1.0
a	a_ð	0.221
d	d	0.691
p	j	0.21
s	s	0.701
w	o	0.511
z	d	0.741
ʤ	-	0.641
b	b_w	0.062
j	β_j	0.052
j	ʝ	0.12
l	l_w	0.052
l	ʎ_o	0.12
n	n_o	0.112
o̯ˈa	ˈe	0.12
s	s_o	0.132
w	ˈe	0.182
ə	-	0.192
ɡ	-	0.222
ɡ	ɡ	0.692
ʧ	θ	0.772
ˈo	w	0.052
i	i	0.53
m	-	0.093
t	ð	0.253
ŋ	-	0.253
ʒ	ʧ	0.413
ʧ	-	0.163
ˈi	j_ˈe	0.13
ˈi	-	0.133
ˈo	ˈo	0.293
e	ɾ_e	0.054
j	j	0.474
k	ɣ_o	0.084
l	l	0.774
o̯ˈa	ˈo	0.394
t	-	0.174
w	-	0.054
w	ˈo	0.254
b	-	0.15
d	-	0.055
j	ʎ	0.095
k	ɣ	0.115
n	n	0.615
p	-	0.055
p	β	0.095
t	t_o	0.115
u	-	0.165
ʦ	j	0.125
ʧ	k	0.065
ˈi	ˈe	0.235
ˈo	w_ˈe	0.655
o̯ˈa	w_ˈe	0.486
r	-	0.136
ə	a	0.736
ɡ	ɣ	0.086
ˈe	ˈe	0.766
ˈu	w_ˈe	0.096
d	ʝ	0.067
d	ð	0.17
e	-	0.067
e	o	0.07
i	e	0.47
k	k	0.607
m	m	0.867
p	p	0.597
r	ɾ	0.667
u	o	0.697
ŋ	ŋ	0.747
ʒ	ʝ	0.587
ʦ	-	0.597
ˈu	ˈo	0.197
b	β	0.488
e	a	0.398
k	-	0.098
r	l_o	0.058
t	t	0.38
u	e	0.138
ˈe	-	0.098
ˈi	ˈi	0.448
a	a	0.779
b	b	0.299
e	e	0.349
j	-	0.259
n	-	0.239
r	r	0.079
s	-	0.129
z	-	0.259
ʤ	ʧ	0.359
ʦ	θ	0.279
ˈa	ˈe	0.199
ˈa	ˈa	0.729
ˈe	j_ˈe	0.09
ˈu	ˈe	0.149
ˈu	ˈu	0.509
