Limburgish	Old Frisian	probability
ˈʏː	-	1.0
ˈʊ	ˈu	1.0
ˈɛːi̯	-	1.0
ˈɔu̯	ˈuː	1.0
ˈœ	ˈe	1.0
ˈæː	ˈe	1.0
ˈuː	ˈuː	1.0
ˈu	ˈaː	1.0
ʃ	s_k	1.0
ɪ	i	1.0
ɡ	ʣ	1.0
ŋ	ŋ	1.0
z̥	z	1.0
z	s	1.0
x	x_t	1.0
w	l	1.0
v_ə	v_ə	1.0
v	f	1.0
n_t	n_t	1.0
l_ə	l	1.0
k_ə	k_ə	1.0
j_ə	d_ə	1.0
i	iː	1.0
d	θ	1.0
p	p	0.959
b	b	0.958
m	m	0.956
ʀ	r	0.922
t	t	0.921
β	w	0.882
ɦ	h	0.878
l	l	0.871
n	n	0.855
ˈɪː	ˈi	0.833
d̥	d	0.8
ʀ_ə	r	0.746
k	k	0.685
ˈɪ	ˈe	0.658
ə	ə	0.654
ɣ̊	x	0.631
ˈiː	ˈiː	0.629
ˈɛː	ˈɛː	0.621
d_ə	d_ə	0.616
ˈɔ	ˈo	0.615
v̥	l_f	0.597
ˈɑ	ˈa	0.596
ˈæ	-	0.59
ˈɒː	ˈeː	0.575
ˈoː	ˈu	0.545
ˈɛ	-	0.541
ˈyː	ˈi̯uː	0.5
ˈyː	-	0.5
j	-	0.477
ɣ	ɡ	0.46
ˈɛ	ˈi	0.459
s	s	0.457
ˈoː	ˈoː	0.455
ˈɔː	ˈaː	0.447
ˈøː	ˈeː	0.426
ˈæ	ˈe	0.41
ˈɑ	ˈe	0.404
v̥	v	0.403
ˈʊː	ˈu	0.385
ˈɔ	ˈu	0.385
d_ə	ə	0.384
ˈeː	ˈe	0.383
ˈaː	ˈa	0.37
ɣ̊	ɣ	0.369
ˈɔː	ˈo	0.365
ˈøː	-	0.362
ˈɑː	ˈa	0.346
ˈɪ	ˈi	0.342
ˈɑː	ˈɔː	0.327
ˈɑː	ˈoː	0.327
ˈɒː	ˈɔː	0.319
ˈeː	ˈi̯aː	0.315
ɣ	j	0.311
ˈaː	ˈe	0.306
s	s_k	0.274
j	dː	0.273
ˈʊː	ˈɔː	0.266
ʀ_ə	r_n	0.254
j	d	0.25
ˈiː	ˈi̯aː	0.243
ˈi	ˈi̯aː	0.238
ˈi	ˈaː	0.232
ɣ	ɣ	0.23
ˈøː	ˈo	0.212
d̥	θ	0.2
ˈi	ˈeː	0.193
ˈɛː	ˈi	0.192
ˈɔː	-	0.188
s	s_t	0.186
ˈʊː	-	0.181
ˈaː	ˈɔː	0.176
ˈi	ˈi	0.171
ˈʊː	ˈoː	0.169
ˈɪː	-	0.167
ˈi	ˈɛː	0.165
ˈaː	-	0.149
ˈeː	ˈeː	0.139
ˈiː	ˈi	0.129
ɦ	h_ˈɛː	0.122
k	k_ə	0.122
ˈɒː	ˈa	0.107
k	ʦ	0.098
ˈeː	ˈi̯uː	0.095
k	ɡː	0.095
ˈɛː	ˈaː	0.094
ˈɛː	-	0.094
s	k_s	0.084
ə	ɡ_ə	0.08
t	tː	0.079
ʀ	ə_r	0.078
ə	e	0.078
l	l_ə	0.07
β	h_w	0.068
ˈeː	ˈi	0.068
ə	ə_n	0.059
ə	j_ə	0.059
n	nː_ə	0.055
n	nː	0.053
β	-	0.05
