Portuguese	Portuguese	probability
β_ɾ	v	1.0
ˈɨ	w	1.0
ˈɛ_l	o	1.0
ˈɐ̃_w̃	ɛ̃	1.0
ˈɐ̃_#>	ɛ_n_#>	1.0
ˈũ	-	1.0
ˈõ	ɔ̃	1.0
ˈo_ɣ	ø	1.0
ˈo_ɐ	ɔ_n	1.0
ˈo_ð	u	1.0
ˈo_w	o	1.0
ˈĩ	ɛ̃	1.0
ˈi_ɣ	i	1.0
ˈẽ	ɑ̃	1.0
ˈe_ɾ	ʁ	1.0
ˈe_ð	w	1.0
ˈa_ɾ	e	1.0
ˈa_ɫ	o	1.0
ˈa_ð	e	1.0
ˈa_j	a	1.0
ʃ_t	t	1.0
ʃ_p	p	1.0
ʁ	ʁ	1.0
ɾ_ˈe	ʁ_i	1.0
ɾ_t	ʁ	1.0
ɲ_u	ɛ̃	1.0
ɫ	l	1.0
ɨ_ɾ	ɛ_ʁ	1.0
ɐ_#>	#>	1.0
w̃	ɔ̃	1.0
w_ˈa	a	1.0
v_ˈɐ	v	1.0
v_ˈa	v_a	1.0
ũ	n_ɔ̃	1.0
u_ɾ	ɔ_ʁ	1.0
t_ɐ_#>	t_#>	1.0
t_u	ɛ̃	1.0
s_ˈe	t	1.0
õ	ɔ̃	1.0
o	u	1.0
k_ˈa	ʃ_ɛ	1.0
j̃	-	1.0
j_ʎ	j	1.0
j_t	i	1.0
ĩ	-	1.0
i	i	1.0
f	f	1.0
ẽ	-	1.0
b	b	1.0
<#_ʁ	<#_ʁ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
u_#>	#>	0.971
m	m	0.935
p	p	0.926
ɾ	ʁ	0.9
<#_l	<#_l	0.889
s	s	0.857
d	d	0.812
ɡ	ɡ	0.778
ˈɛ	ɛ	0.714
ʒ	ʒ	0.714
ð	-	0.714
l	l	0.714
ɨ	-	0.7
v	v	0.677
ʎ	j	0.667
ɣ	-	0.636
ʃ_#>	#>	0.611
ɐ̃	-	0.6
<#_ˈa	<#_a	0.6
ˈi	i	0.593
ɲ	ɲ	0.571
z	z	0.571
n	-	0.556
ˈɐ̃	ɑ̃	0.545
j	-	0.545
ˈa	ɛ	0.533
t	-	0.524
β	v	0.5
β	-	0.5
ˈu	y	0.5
ɔ	ɔ	0.5
ɔ	-	0.5
w	-	0.5
k	k	0.488
ɐ	a	0.481
t	t	0.476
n	n	0.444
ɲ	n	0.429
z	-	0.429
k	ʃ	0.415
ɐ̃	ɑ̃	0.4
<#_ˈa	<#	0.4
ˈɐ	-	0.389
ʃ	-	0.375
ɣ	ɡ	0.364
ˈa	a	0.333
ʎ	-	0.333
#>	ʁ_#>	0.333
#>	l_#>	0.333
#>	a_#>	0.333
ˈi	-	0.296
ˈo	u	0.29
ˈɛ	j_ɛ	0.286
ʒ	-	0.286
ð	d	0.286
l	-	0.286
u	u	0.278
ˈɐ̃	-	0.273
ɐ	ɛ	0.259
ˈo	ɔ	0.258
ˈe	ɛ	0.25
ˈe	w_a	0.25
ˈe	i	0.25
w	ə	0.25
w	ø	0.25
ˈɔ	œ	0.238
ˈo	œ	0.226
v	-	0.226
ˈu	ɥ	0.222
ʃ_#>	a_#>	0.222
ɡ	-	0.222
u	l	0.222
ˈɔ	ɔ	0.19
ˈɔ	u	0.19
d	-	0.188
ˈɐ̃	ɛ̃	0.182
j	i	0.182
ˈɐ	ɛ	0.167
ˈɐ	w	0.167
ˈɐ	l	0.167
ˈu	w	0.167
ʃ_#>	s_#>	0.167
u	ø	0.167
ˈɔ	ø	0.143
ˈɔ	o	0.143
s	-	0.143
j	j	0.136
j	a	0.136
ˈa	e	0.133
ˈo	ɥ	0.129
ˈe	a	0.125
ˈe	-	0.125
ʃ	s	0.125
ʃ	p_l	0.125
ʃ	p	0.125
ʃ	k_l	0.125
ʃ	f_l	0.125
ɨ	ə	0.125
ˈɐ	a	0.111
ˈu	u	0.111
ˈi	w	0.111
ɐ	-	0.111
u	ɛ̃	0.111
u	ɔ	0.111
u	-	0.111
<#_l	<#	0.111
k	-	0.098
ˈo	-	0.097
v	b	0.097
ˈɔ	w	0.095
ɨ	ɛ	0.075
ɐ	ə	0.074
ɐ	n	0.074
p	-	0.074
m	-	0.065
