Pennsylvania German	Icelandic	probability
b	b̥	1.0
d	d̥	0.339
d	θ	0.312
d	ð	0.216
d	ð_ʏ	0.047
d	-	0.046
f	f	0.653
f	p	0.14
f	v_ʏ	0.077
f	p_ʏ	0.058
f	-	0.043
h	h	0.94
h	ç	0.058
j	ɟ̊	0.265
j	ˈuː	0.265
j	-	0.154
j	n̥	0.095
j	ˈɑːu̯	0.062
k	ɣ_ʏ	0.158
k	ɟ̊ː	0.12
k	ʰk	0.12
k	k	0.112
k	ɣ	0.089
kʰ	kʰ	0.544
kʰ	cʰ	0.276
kʰ	-	0.158
l	l	0.613
l	l̥	0.318
l	l_ʏ	0.03
l	r̥	0.029
l	-	0.024
m	m	0.636
m	m_ʏ	0.247
m	j	0.052
m	p	0.052
m	-	0.026
n	n	0.538
n	-	0.173
n	nː	0.154
n	n̥	0.064
n	m	0.029
p	v_ʏ	0.514
p	f	0.202
p	v	0.124
p	ʰp	0.08
s	s	0.558
s	t	0.189
s	t_ʏ	0.132
s	ɣ	0.029
s	ʰt	0.028
t	ð	0.312
t	-	0.199
t	t	0.134
t	d̥_ʏ	0.088
t	ð_ʏ	0.083
v	v	0.889
v	-	0.077
x	ʰt	0.461
x	j	0.161
x	r̥	0.161
x	k	0.151
ç	r̥	0.203
ç	x	0.159
ç	k	0.15
ç	ɡ̊	0.092
ç	ɣ_ʏ	0.092
ç_t	r̥	1.0
ŋ	ŋ	0.918
ŋ	ɲ	0.065
ŋ_k	ʰk	1.0
ɑ	r̥	0.368
ɑ	ɪ	0.289
ɑ	r	0.097
ɑ	r_a	0.081
ɑ	ˈœ_r	0.07
ə	a	0.606
ə	-	0.158
ə	n̥	0.058
ə	ʏ	0.058
ə	j_a	0.044
ɡ	ɡ̊	0.516
ɡ	ɟ̊	0.366
ɡ	-	0.109
ɣ	ɡ̊	0.608
ɣ	j	0.188
ɣ	-	0.059
ɪ	ɡ̊_ʏ	0.281
ɪ	-	0.259
ɪ	ɑu̯	0.127
ɪ	ɛː	0.127
ɪ	u	0.087
ɾ	r	0.717
ɾ	r̥	0.138
ɾ	r_j	0.073
ɾ	-	0.036
ɾ	ˈoːu̯	0.036
ʃ	s	0.68
ʃ	s_k	0.21
ʃ	s_c	0.102
ʋ	v	0.595
ʋ	-	0.192
ʋ	kʰ	0.065
ʋ	ˈu	0.051
ʋ	ˈɪ	0.051
ʋ_ˈaː	ˈɔ	0.467
ʦ	tʰ	0.631
ʦ	t	0.257
ʦ	d̥	0.109
ˈa	ˈa	0.313
ˈa	ˈaː	0.192
ˈa	ˈɑu̯	0.175
ˈa	ˈaːi̯	0.085
ˈa	ˈɛ	0.056
ˈaɪ̯	ˈiː	0.718
ˈaɪ̯	ˈɛ	0.096
ˈaɪ̯	ˈʏː	0.052
ˈaɪ̯	ˈi	0.044
ˈaɪ̯	ˈʏ	0.043
ˈaʊ̯	ˈuː	0.619
ˈaʊ̯	ˈiː	0.103
ˈaʊ̯	ˈʏ	0.103
ˈaʊ̯	ˈɛːi̯	0.1
ˈaː	ˈɔ_r	0.372
ˈaː	ˈa	0.316
ˈaː	ˈaː	0.112
ˈaː	ˈɔ	0.112
ˈeː	ˈɛːi̯	0.267
ˈeː	j	0.135
ˈeː	j_ˈoːu̯	0.118
ˈeː	ˈœy̯	0.068
ˈeː	ˈʏː	0.068
ˈiː	j	0.391
ˈiː	j_ˈoːu̯	0.243
ˈiː	ˈaːi̯	0.166
ˈiː	ˈai̯	0.081
ˈiː	ˈiː	0.065
ˈoː	ˈɑːu̯	0.384
ˈoː	ˈœːy̯	0.315
ˈoː	ˈaːu̯	0.114
ˈoː	ˈɛːi̯	0.114
ˈoː	ˈɔː	0.048
ˈuː	ˈoːu̯	0.582
ˈuː	ˈiː	0.158
ˈuː	ˈuː	0.109
ˈuː	ˈɔu̯	0.102
ˈɔ	ˈʏ_t	0.24
ˈɔ	ˈu	0.117
ˈɔ	ˈœː	0.117
ˈɔ	ˈɪ	0.117
ˈɔ	ˈʏ	0.081
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈœːy̯	0.252
ˈɔː	ˈaː	0.153
ˈɔː	ˈa	0.141
ˈɔː	ˈeːi̯	0.075
ˈɔː	ˈœ	0.06
ˈɛ	ˈɛ	0.373
ˈɛ	ˈɛː	0.237
ˈɛ	ˈa	0.107
ˈɛ	j	0.07
ˈɛ	-	0.058
ˈɛː	ˈɛ	0.404
ˈɛː	ˈa	0.276
ˈɛː	ˈɪ	0.106
ˈɛː	j	0.102
ˈɛː	ˈʏ	0.046
ˈɪ	ˈɪ	0.308
ˈɪ	ˈi	0.213
ˈɪ	ˈɪː	0.177
ˈɪ	j	0.117
ˈɪ	-	0.082
ˈʊ	ˈʏ	0.337
ˈʊ	ˈoːu̯	0.262
ˈʊ	ˈu	0.241
ˈʊ	ˈʏː	0.095
ˈʊ	ˈɔ	0.053
