Palatine German	Old West Norse	probability
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈiː	1.0
ˈɑːɪ̯	ˈɛ_ɡː	1.0
ˈɑː_n	ʝː	1.0
ˈõː	ˈo_n	1.0
ˈo	ˈɑː	1.0
ˈĩː	ˈøː_nː	1.0
ˈi	j	1.0
ˈẽː	ˈiː_u	1.0
ˈaɪ̯_d̥	ˈiː_ð	1.0
ˈau̯̯	ˈuː	1.0
ʃ_d̥	s_t	1.0
ɪ_ʃ	ɣ_r̥	1.0
ɪ	ŋ	1.0
ɑ	ɑ_ð	1.0
ɐ_n	r_n	1.0
x_d̥	tː	1.0
s_ə	t_ɑ	1.0
r_ɐ	ð_i	1.0
n_ʃ	c	1.0
eː	ɑː	1.0
h	h	0.879
m	m	0.872
β	v	0.819
l	l	0.798
r	r	0.778
ˈu	ˈu	0.77
b̥	b	0.765
ˈau̯	ˈuː	0.738
kʰ	kʰ	0.726
f	f	0.722
ˈuː	ˈoː	0.644
ə	ɑ	0.629
ɐ	r	0.606
ŋ	ŋ	0.6
ɣ̊	ɣ	0.577
ˈɑː	ˈɑ	0.576
x	k	0.576
s	s	0.56
j	ˈuː_ɣ	0.555
ˈɑ	ˈɑ	0.547
ˈɪ	ˈi	0.54
ʣ̥	tʰ	0.517
ˈɛː	ˈɛi̯	0.49
ˈaɪ̯	ˈiː	0.486
n	n	0.473
j	-	0.445
ˈoː	ˈɑː	0.442
ˈeː	-	0.431
x	-	0.424
ɣ̊	ɡ	0.423
s	t	0.397
d̥	θ	0.385
ˈɔ	ˈo	0.363
ʃ	k	0.351
ˈɔ	ˈu	0.324
ˈaɪ̯	-	0.309
d̥	ð	0.302
ˈɛ	ˈe	0.293
kʰ	cʰ	0.274
ʣ̥	tː	0.273
ˈɑː	ˈɑu̯	0.265
ˈau̯	-	0.262
ˈiː	j_ˈoː	0.256
ˈɛː	ˈe	0.255
ˈɛː	-	0.255
ˈeː	ˈɛi̯	0.25
n	nː	0.225
r	ð	0.222
ˈiː	j	0.217
b̥	v	0.214
ˈuː	ˈøː	0.212
ʣ̥	t	0.209
ɡ̊	kː	0.209
n	-	0.208
ˈaɪ̯	ˈyː	0.206
ŋ	ŋ_ɟ	0.2
ŋ	-	0.2
ʃ	s	0.199
d̥	d	0.199
ˈeː	ˈɛː	0.191
ɡ̊	ɟ	0.191
l	lː	0.19
ˈɔ	ˈoː	0.189
ˈoː	-	0.187
ə	a	0.183
f	p	0.179
ˈɪ	ˈy	0.167
ˈoː	ˈɑu̯	0.162
ˈoː	ˈo	0.162
ˈiː	j_ˈuː	0.161
ˈɑː	-	0.159
ˈu	ˈo	0.157
ˈɑ	ˈɑː	0.156
ˈiː	ˈeː	0.153
ˈɛ	ˈɛ	0.151
ɡ̊	ɡː	0.146
ˈuː	-	0.144
ɡ̊	-	0.144
ʃ	s_c	0.141
ˈɪ	-	0.14
ɐ	r̥ː	0.138
ɡ̊	kʰ	0.136
ʃ	ɣ	0.131
ˈeː	ˈɑː	0.128
m	-	0.128
ˈɔ	ˈy	0.124
ˈɑ	ˈa	0.123
h	ç	0.121
ˈɛ	-	0.12
ʃ	s_k	0.115
ɡ̊	k	0.115
ˈɪ	s	0.112
ˈiː	ˈøː	0.107
ˈiː	-	0.105
ˈɑ	ˈɔ	0.101
β	-	0.1
ˈɛ	ˈɑ	0.094
ˈɛ	ˈu	0.087
n	n_d	0.085
f	v	0.085
ɐ	r̥	0.084
ˈɛ	j_ˈɔ	0.083
β	x_w	0.081
ə	n	0.079
d̥	r̥	0.078
ɐ	r_i	0.076
ˈɑ	-	0.073
ˈu	ˈɔː	0.073
ɐ	i	0.07
ʃ	ɡ_r̥	0.064
ˈɛ	ˈy	0.059
ˈɛ	j_ˈɑ	0.059
ɡ̊	cː	0.058
ə	-	0.057
ˈɛ	e	0.054
ə	j_ɑ	0.051
