Latin	Piedmontese	probability
au̯	u	1.0
e	-	1.0
eː	-	1.0
f	f	1.0
kː	k	1.0
lʲː	l	1.0
rː	r	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ɡʷ	ɡ	1.0
ˈau̯	ˈɔ	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
aː	ˈa	0.131
aː	e	0.131
n	-	0.211
oː	ˈɛ	0.301
t	t	0.721
ɔ	u	0.681
ɛ̃ː	-	0.181
ɪ	a	0.1
ɪ	-	0.621
ˈʊ	ˈu	0.91
a	a	0.922
j	ʤ	0.912
l	j	0.102
ɛ̃ː	e	0.302
ɡ	ɡ	0.232
ɫ	w	0.052
ʊ̃ː	a	0.12
ˈɔ	ˈø	0.192
ˈɛ	-	0.052
iː	i	0.673
s	-	0.163
ŋ	n	0.23
ɛ	ˈe	0.083
ˈaː	ˈa	0.423
ˈiː	-	0.073
ˈiː	j	0.133
ˈoː	ˈu	0.703
ˈɪ	ˈi	0.33
ãː	-	0.134
b	v	0.204
b	b	0.774
d	d	0.664
k	-	0.354
kʷ	k	0.854
n	n	0.424
w	v	0.704
ŋ	ŋ	0.664
ɔ	ˈɔ	0.124
ɪ	e	0.084
ɫ	l	0.714
ʊ	-	0.794
ˈeː	ˈɛ	0.304
ˈɔ	ˈɔ	0.554
ˈɛ	ˈe	0.134
ˈɛ	ˈɛ	0.814
ˈɪ	ˈe	0.154
m	-	0.15
m	m	0.85
p	-	0.075
r	r	0.675
ŋ	-	0.105
ɡ	z	0.065
ɪ	u	0.195
ʊ̃ː	i	0.115
ʊ̃ː	-	0.765
ˈɔ	ˈu	0.255
a	-	0.06
ãː	a	0.866
d	-	0.336
k	s	0.126
kʷ	k_w	0.146
w	-	0.296
ɔ	a	0.066
ɛ	j	0.116
ɡ	-	0.356
ʊ	u	0.206
ˈeː	ˈe	0.696
ˈoː	ˈɔ	0.16
ˈɪ	ˈɛ	0.446
iː	-	0.327
p	p	0.707
r	-	0.297
ɛ	ə	0.077
ɛ	e	0.427
ɛ̃ː	a	0.517
ɡ	ʤ	0.347
ɫ	j	0.087
ɫ	-	0.147
ˈaː	-	0.577
aː	a	0.738
i	-	0.448
i	j	0.528
j	-	0.088
k	k	0.438
l	l	0.898
n	ɲ	0.058
n	ŋ	0.308
p	v	0.218
s	s	0.8
t	s	0.108
t	-	0.128
ɛ	ˈɛ	0.158
ˈiː	ˈi	0.758
ˈuː	ˈy	0.958
oː	-	0.239
oː	u	0.459
ɔ	ˈø	0.129
ɛ	-	0.139
ˈa	-	0.09
ˈa	ˈa	0.879
ˈoː	-	0.09
ˈɪ	-	0.069
ˈʊ	ˈy	0.09
