Eastern Lombard	Latin	probability
ŋ	ŋ	1.0
ʋ	w	1.0
a	a	0.121
i	eː	0.511
j	ɫ	0.511
k	kː	0.101
n	ŋ	0.091
s	-	0.061
s	k_ɛ̃ː	0.11
t	t_ɛ̃ː	0.051
t	t	0.611
ˈe	ˈɛ_n	0.101
l	lʲː	0.142
l	l	0.182
l	ɫ	0.422
o	ʊ	0.122
o	ɔ	0.712
s	t	0.092
z	s	0.122
ˈa	ˈaː	0.142
ˈu	ˈoː_n	0.122
ˈu	ˈoː	0.372
ˈy	ˈʊ	0.052
j	d_i	0.053
j	lʲ_i	0.223
l	lʲː_ʊ̃ː	0.13
m	m_ɛ̃ː	0.053
r	-	0.063
s	s	0.463
ɲ	ɡ_n	0.123
ˈa	ˈaː_r	0.143
ˈi	ˈiː_n	0.133
ˈu	ˈɔ	0.333
ˈø	ˈʊ	0.063
ˈø	ˈoː	0.153
ˈɔ	ˈoː	0.113
ˈɛ	ˈeː	0.133
ˈɛ	ˈɪ	0.213
e	a	0.054
j	l	0.14
ʤ	-	0.184
ˈa	ˈa	0.404
ˈo	ˈau̯	0.084
ˈo	ˈa	0.094
d	t	0.255
e	ɛ	0.725
f	f	0.695
k	k_ʊ̃ː	0.075
r	r_ɛ̃ː	0.065
r	r	0.685
t	t_ʊ̃ː	0.105
ʧ	-	0.795
ˈo	ˈʊ	0.445
p	p	0.926
r	r_ʊ̃ː	0.146
s	k	0.156
z	j	0.16
z	ɡ	0.546
ɡ	k	0.476
ɲ	n_i	0.156
ɲ	n	0.216
ɲ	n_e	0.506
ʤ	ɡ	0.816
ʧ	s	0.086
ˈa	ʊ̃ː_#>	0.056
ˈe	ˈeː	0.256
ˈu	ˈʊ	0.156
d	-	0.097
f	-	0.247
l	ɫ_ʊ̃ː	0.057
o	ʊ̃ː	0.077
ˈi	ˈiː_r	0.087
ˈi	ɛ_r	0.117
ˈi	ˈiː	0.397
a	ãː	0.628
b	b	0.98
d	d	0.648
e	-	0.058
e	ɪ	0.078
k	k	0.778
m	m	0.918
p	-	0.068
t	k_t	0.108
ˈe	ˈɛ	0.48
ˈi	ˈɪ	0.138
ˈo	ˈɔ	0.378
ˈy	ˈuː_n	0.068
ˈy	ˈuː	0.88
ˈø	ˈɔ	0.228
ˈɔ	ˈɔ	0.78
i	ɪ	0.489
n	n	0.909
z	-	0.149
ɡ	ɡ	0.479
ʧ	t_ɛ̃ː	0.119
ˈe	ˈɪ	0.119
ˈi	ˈeː	0.069
ˈø	ˈuː	0.519
ˈɛ	ˈɛ	0.639
