Gothic	Dutch	probability
a	ə	0.785
a	-	0.147
a	ˈɛi̯	0.068
aː	ə	1.0
b	b	0.899
b	f	0.066
d	d	0.612
d	t	0.229
d	-	0.159
e	ə	1.0
f	v	0.824
f	f	0.176
h	ɦ	0.612
h	χ	0.179
h	-	0.103
h	ŋ	0.088
i	-	0.517
i	ə	0.345
i	w	0.138
iː	-	1.0
j	ɾ	0.395
j	j	0.308
j	-	0.259
k	k	0.648
k	χ	0.225
k	-	0.127
kʷ	v	1.0
l	ɫ	0.974
lː	ɫ	1.0
m	m	0.76
m	-	0.24
n	n	0.943
nː	n	1.0
oː	ˈɑu̯	0.692
oː	ə	0.195
oː	-	0.114
p	p	1.0
r	ɾ	0.96
s	-	0.712
s	s	0.148
s	z	0.14
t	t	0.976
u	-	0.626
u	ə	0.374
w	ʋ	0.86
w	w	0.052
w	ˈʏ	0.052
z	ɾ	0.877
z	s	0.123
ð	d	0.713
ð	t	0.25
ŋ	ŋ	0.963
ɔː	-	1.0
ɡ	χ	0.365
ɡ	-	0.36
ɡ	χ_ə	0.274
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	χ	1.0
ʍ	ʋ	0.793
ʍ	-	0.207
ˈa	ˈɑ	0.672
ˈa	ˈaː	0.113
ˈa	ˈɛ	0.102
ˈa	ˈeː	0.069
ˈeː	ˈaː	0.838
ˈeː	ˈi	0.162
ˈi	ˈɪ	0.541
ˈi	-	0.137
ˈi	ˈeː	0.112
ˈi	ˈɛi̯	0.11
ˈiu̯	ˈi	0.684
ˈiu̯	ˈeː	0.133
ˈiu̯	ˈœy̯	0.121
ˈiu̯	ˈoː	0.063
ˈiː	ˈɛi̯	0.619
ˈiː	ˈɪ	0.242
ˈiː	ˈi	0.139
ˈoː	ˈu	0.746
ˈoː	ˈyː	0.254
ˈu	ˈɔ	0.59
ˈu	ˈœy̯	0.118
ˈu	ˈoː	0.113
ˈu	ˈʏ	0.083
ˈu	ˈɑ	0.065
ˈuː	ˈœy̯	0.756
ˈuː	ˈɔ	0.244
ˈɔ	ˈoː	0.745
ˈɔ	ˈɔ	0.255
ˈɔː	ˈoː	0.851
ˈɔː	ˈɔ	0.149
ˈɛ	ˈɛ	0.52
ˈɛ	ˈɑ	0.186
ˈɛ	ˈi	0.121
ˈɛ	ˈeː	0.108
ˈɛ	ˈaː	0.065
ˈɛː	ˈeː	0.705
ˈɛː	ˈɛi̯	0.121
ˈɛː	ˈɛ	0.116
ˈɛː	ˈɪ	0.058
β	v	0.616
β	b	0.335
θ	d	0.594
θ	t	0.283
θ	-	0.122
