Gothic	Dutch	probability
a	ə	0.656
a	-	0.339
aː	ə	1.0
b	b	0.851
b	f	0.082
b	-	0.07
d	d	0.782
d	t	0.213
d_s	t	1.0
e	ə	0.27
f	v	0.775
f	f	0.217
f_s	f	1.0
h	ɦ	0.52
h	-	0.2
h	χ	0.168
h	ŋ	0.071
h	k	0.04
i	-	0.612
i	ə	0.293
i	w	0.088
i_s	s	0.27
iː	-	1.0
j	-	0.354
j	j	0.308
j	ɾ	0.16
j	ˈi	0.104
j_a	ə	1.0
k	k	0.686
k	χ	0.164
k	-	0.121
k_s	s	0.519
kʷ	v	0.073
l	ɫ	0.813
l	l	0.139
l	ˈɑu̯	0.051
l_s	ɫ	1.0
lː	ɫ	1.0
m	m	0.907
m	-	0.093
m_s	m	1.0
n	n	0.943
n	-	0.055
nː	n	1.0
oː	-	0.822
oː	ə	0.08
oː	ɾ	0.074
oː	ˈɑu̯	0.048
p	p	1.0
r	ɾ	0.975
s	-	0.642
s	s	0.194
s	z	0.163
s_k	s	0.519
t	t	1.0
u	-	0.773
u	ə	0.212
w	ʋ	0.741
w	-	0.089
w	w	0.059
w	ɾ	0.059
w	ˈʏ	0.054
x	χ	0.519
z	ɾ	0.758
z	s	0.106
ð	d	0.548
ð	t	0.204
ð	-	0.132
ŋ	ŋ	0.66
ŋ	n	0.178
ŋ_ɡ	ŋ	1.0
ɔː	-	0.073
ɡ	χ	0.636
ɡ	χ_ə	0.217
ɡ	-	0.132
ɡʷ	-	0.14
ɡːʷ	-	1.0
ɣ	χ	1.0
ʍ	ʋ	0.683
ʍ	-	0.234
ˈa	ˈɑ	0.589
ˈa	ˈaː	0.185
ˈa	ˈɛ	0.101
ˈa	ˈeː	0.075
ˈa	ˈoː	0.043
ˈa_l	ˈɑu̯	1.0
ˈeː	ˈaː	0.839
ˈeː	ˈi	0.139
ˈi	ˈɪ	0.483
ˈi	ˈeː	0.177
ˈi	ˈɛi̯	0.092
ˈi	ˈɛ	0.08
ˈi	-	0.075
ˈiu̯	ˈi	0.658
ˈiu̯	ˈœy̯	0.148
ˈiu̯	ˈeː	0.106
ˈiː	ˈɛi̯	0.535
ˈiː	ˈɪ	0.233
ˈiː	ˈi	0.134
ˈiː_s	ˈɛi̯	1.0
ˈoː	ˈu	1.0
ˈu	ˈɔ	0.609
ˈu	ˈœy̯	0.133
ˈu	ˈoː	0.106
ˈu	ˈʏ	0.059
ˈu	ˈɑ	0.054
ˈuː	ˈœy̯	0.75
ˈuː	ˈɔ	0.25
ˈɔ	ˈoː	0.721
ˈɔ	ˈɔ	0.265
ˈɔː	ˈoː	0.836
ˈɔː	ˈɔ	0.163
ˈɔː_s	ˈoː	1.0
ˈɛ	ˈɛ	0.433
ˈɛ	ˈi	0.212
ˈɛ	ˈɑ	0.126
ˈɛ	ˈaː	0.104
ˈɛ	ˈeː	0.08
ˈɛː	ˈeː	0.696
ˈɛː	ˈɛi̯	0.155
ˈɛː	ˈɪ	0.081
ˈɛː	ˈɛ	0.07
β	v	0.435
β	b	0.196
β	f	0.196
β	p	0.134
θ	d	0.505
θ	t	0.295
θ	-	0.166
θ_s	t	0.699
θ_s	ɫ	0.297
θ_u	t	0.519
