Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛə̯_r	ˈɛ_rː	1.0
ˈɛə̯	ˈɛ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈou̯_t	ˈu_tː	1.0
ˈeː_t	j	1.0
ˈeː_r	ˈɛ_r	1.0
ˈeə̯_v	ˈa_p	1.0
ˈe	ˈe	1.0
ˈaː	j_ˈa	1.0
ˈa_t	ˈa_tː	1.0
ˈa	ˈa	1.0
ɲ	ɲː	1.0
ɐ_v	a_p	1.0
ɐ_r	e_r	1.0
ŋ	ŋ	1.0
ð_ɐ	ʤ_e	1.0
w	w	1.0
u_r	o_r	1.0
u_l	o_l	1.0
u_j	ˈo	1.0
t_ɐ	t_e	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
m_ˈo	m_ˈo	1.0
l_ɐ	a	1.0
k_r	k_r	1.0
j̃	n_e	1.0
f	f	1.0
e	e	1.0
d_#>	d_o_#>	1.0
a	a	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ɡ	1.0
#>	o_#>	1.0
m	m	0.938
ˈɔə̯	ˈɔ	0.905
n	n	0.895
k	k	0.884
ˈɔ	ˈɔ	0.857
r	r	0.829
ˈou̯	ˈo	0.824
ɐ	a	0.808
b	b	0.8
s	s	0.783
d	d	0.758
ɡ	ɡ	0.72
l	l	0.719
ʧ	kː_j	0.714
ð	ʤ	0.7
ˈʌ̃	ˈa	0.696
v	v	0.667
i	i	0.667
t	t	0.657
ˈeə̯	ˈa	0.643
u	o	0.625
ˈi	ˈi	0.609
ʤ	ʤ	0.6
θ	ʧ	0.579
r_#>	r_o_#>	0.571
j	j	0.571
ˈu	ˈu	0.556
ˈɛ	ˈe	0.517
ˈeː	ˈe	0.5
ɐ_n	n_o	0.5
ɐ_n	a_n	0.5
ˈo	ˈu	0.478
ˈẽ	ˈi	0.455
ˈõũ̯	ˈo_n	0.429
r_#>	#>	0.429
ʤ	-	0.4
z	-	0.385
u	u	0.375
ˈeə̯	ˈa_r	0.357
j	ʎː	0.333
i	e	0.333
z	ʧ_e	0.308
z	ʧ	0.308
ˈʌ̃	ˈa_n	0.304
ˈo	ˈo	0.304
ˈõũ̯	ˈɔ_n	0.286
ˈõũ̯	-	0.286
ʧ	k_j	0.286
t	tː	0.286
l	lː	0.281
ˈẽ	ˈɛ	0.273
ˈẽ	ˈe	0.273
ˈeː	ˈɛ	0.25
ˈeː	ˈe_r	0.25
ˈɛ	ˈi	0.241
ˈu	ˈɔ	0.222
ˈu	w_ˈɔ	0.222
ˈo	ˈɔ	0.217
ˈi	ˈi_r	0.217
d	t	0.212
v	w	0.205
ð	ʤː	0.2
ˈou̯	ˈu	0.176
ˈɛ	ˈɛ	0.172
ɡ	k	0.16
θ	ʧː	0.158
θ	ʦː	0.158
s	sː	0.152
ˈɔ	-	0.143
ɐ	e	0.131
r	e_r	0.122
ɡ	k_o	0.12
b	-	0.12
k	kː	0.116
θ	ʦ	0.105
ð	ʣː	0.1
ˈɔə̯	-	0.095
j	-	0.095
ˈi	ˈɛ_j	0.087
ˈi	ˈɛ	0.087
b	bː	0.08
v	v_e	0.077
ˈɛ	-	0.069
s	ʃː	0.065
m	mː	0.062
t	t_e	0.057
n	nː	0.053
n	-	0.053
v	p	0.051
