English	Old High German	probability
θ	d	1.0
ˈɛ	ˈɛ	1.0
ˈæ	ˈɑ	1.0
ˈaɪ̯_n	ˈiː_n	1.0
ʤ	kː	1.0
ʃ	s_k	1.0
ɹ	r	1.0
ɡ	ɡ	1.0
ɜː	r_ˈiː	1.0
tʰ	ʦ	1.0
s_t	s_t	1.0
s_l	s_l	1.0
pʰ	p͡f	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
m	m	0.96
s	s	0.942
w	w	0.94
d	t	0.909
n	n	0.746
ˈəʊ̯	ˈei̯	0.687
ˈaʊ̯	ˈuː	0.669
ɫ	l	0.667
z	s	0.642
ŋ	ŋ_ɡ	0.614
ˈeɪ̯	ˈɑ	0.601
ˈɐ	ˈu	0.6
ð	d	0.597
ˈɜː	ˈu_r	0.59
ʧ	kʰ	0.57
p	f	0.537
ˈɪ	ˈi	0.535
ɪ	u	0.526
ˈʊ	ˈuo̯	0.5
ˈʊ	ˈo	0.5
j	ɡ	0.5
j	j	0.5
ɪ	ɑ_ɡ	0.474
k	x	0.447
ˈɒ	ˈɑ	0.441
ʧ	xː	0.43
ˈɑː	ˈɑ_r	0.422
ə	ɑ_r	0.412
ˈɜː	r	0.41
ð	t	0.403
ŋ	ŋ	0.386
t	s̻	0.366
z	s_ɑ	0.358
ˈɔː	ˈo_r	0.345
v	b	0.341
v	b_ɑ	0.34
ˈɒ	ˈo	0.335
ˈuː	ˈiu̯_w	0.334
ˈaɪ̯	ˈi	0.324
ˈɑː	ˈɑ	0.322
v	f	0.319
ˈaɪ̯	ˈiː	0.301
ˈuː	ˈuo̯	0.298
p	f_ɑ	0.268
ˈe	ˈɛ	0.256
k	kː	0.254
ˈiː	ˈou̯	0.235
ˈɒ	-	0.224
ˈe	-	0.222
ˈuː	-	0.211
ˈiː	ˈuo̯	0.211
ˈeɪ̯	ˈɑ_ɡ	0.202
ˈɔː	r	0.201
ɫ	ɑ_l	0.201
ˈe	ˈe	0.198
ˈaʊ̯	-	0.198
ˈeɪ̯	ˈɛ_ɡ	0.197
ˈiː	ˈɑː	0.193
k	xː	0.182
ˈəʊ̯	ˈɑ	0.176
ˈɐ	ˈo	0.163
ˈuː	ˈɑ_n	0.158
ˈɪ	-	0.156
t	x_t	0.156
ˈɔː	ˈu_r	0.149
t	s̻ː	0.145
t	t	0.142
ˈəʊ̯	ˈeː	0.137
ˈe	ˈoː	0.136
ˈaʊ̯	ˈuo̯	0.133
ˈɐ	ˈuː	0.132
ɫ	lː	0.132
ə	ɛ	0.129
ˈɑː	ˈɛ_r	0.128
ˈɑː	ˈɑ_l	0.128
ˈe	ˈei̯	0.128
t	ʦ	0.127
ˈiː	ˈi	0.126
ˈiː	ˈio̯	0.123
n	nː	0.12
ə	ɑ	0.119
k	k	0.118
ˈɪ	ˈu	0.109
ˈaɪ̯	ˈiu̯	0.108
ˈɐ	ˈuo̯	0.105
n	ɑ_n	0.105
ə	r_i	0.103
ə	r	0.103
ˈɔː	ˈɛ_r	0.101
ˈɔː	ˈo	0.101
ˈɔː	-	0.101
p	fː	0.101
p	p	0.094
ˈaɪ̯	ˈio̯_ɡ	0.088
ə	r_ɑ	0.086
ˈiː	-	0.085
d	d	0.07
t	ʦː	0.065
ˈɪ	ˈu_n	0.064
ˈɪ	ˈɛ	0.062
ˈɪ	ˈio̯	0.062
ˈe	ˈɑː	0.062
ˈaɪ̯	x	0.061
w	w_ˈo	0.06
ˈaɪ̯	ˈɑ_x	0.059
ˈaɪ̯	ˈuː	0.059
s	s_w	0.058
