Faroese	Luxembourgish	probability
a	ə_n	0.586
a	-	0.402
a	ˈaː	0.029
a_ɹ	ɐ	0.239
b̥	b	0.951
b̥	-	0.052
d̥	d	0.683
d̥	t	0.207
d̥	-	0.093
d̥_ʊ	t	0.489
f	f	0.827
f	-	0.125
f	ʃ	0.05
h	h	1.0
j	-	0.571
j	ˈɛː	0.2
j	t	0.095
j	ˈiː	0.095
j_ʊ	t	1.0
k	ɕ	0.5
k	χ	0.225
k	k	0.192
kʰ	kʰ	0.956
kʰ	f	0.041
kʰ_v	v	1.0
l	l	1.0
l_a	l	1.0
l_ʊ	l	1.0
l̥	l	0.654
l̥	l_ə	0.32
l̥_ʊ	l	1.0
m	m	0.916
m	-	0.083
m_ʊ	m	1.0
n	n	0.843
n	-	0.116
n	m	0.041
nː	n	0.703
nː	n_t	0.286
n̥	n	0.351
n̥	ʀ	0.306
n̥	-	0.214
p	f	1.0
p_ʊ	f	1.0
r	ʀ	0.239
s	ʃ	0.414
s	z	0.348
s	s	0.231
s_k	ʃ	1.0
sː	s	0.239
t	-	0.367
t	s	0.292
t	t	0.289
t	ʦ	0.046
tʰ	d	0.49
tʰ	ʦ	0.416
tʰ	b	0.091
v	-	0.333
v	v	0.299
v	w	0.168
v	f	0.152
v	d	0.043
v_ʊ	ɕ	0.239
w	-	0.537
w	t	0.257
w	ˈu	0.095
w	χ	0.093
ŋ	ŋ	0.773
ŋ	ɕ	0.145
ŋ	e	0.07
ə	ɐ	0.489
ɛ	ə	1.0
ɡ̊	-	0.707
ɡ̊	ɡ	0.263
ɡ̊	k	0.038
ɡ̊_l	l	0.489
ɡ̊_ʊ	k	0.489
ɪ	-	0.634
ɪ	ə	0.352
ɪ_ɹ	ɐ	1.0
ɲ	ŋ	0.489
ɹ	-	0.682
ɹ	ʀ	0.21
ɹ	ɐ	0.068
ɹ_a	ɐ	0.239
ɹ_ʊ	ɐ	1.0
ɹː	ˈiː	1.0
ʃ	ʃ	0.662
ʃ	z	0.193
ʃ	m	0.117
ʈ	ʦ	1.0
ʊ	-	0.877
ʊ	ŋ	0.1
ʊ	ˈɑ	0.033
ʊ_ɹ	ɐ	0.569
ʊ_ɹ	ə	0.409
ʊ̯ˈiː	ˈæɪ̯	0.239
ʎ	l	0.489
ʤ̊	-	0.705
ʤ̊	ʑ	0.094
ʤ̊	d	0.088
ʤ̊	k	0.088
ʧ	ɕ	0.322
ʧ	ɡ	0.322
ʧʰ	d	0.362
ʧʰ	kʰ	0.274
ʧː	-	0.489
ʰkː	ŋ_k	0.683
ʰkː	k	0.22
ʰp	p	0.45
ʰp	f	0.333
ʰt	s	0.379
ʰt	t	0.349
ʰtː	ɕ	0.361
ʰtː	χ	0.361
ʰtː	t	0.203
ʰtː_ʊ	ɕ	1.0
ˈa	ˈɑ	0.397
ˈa	ˈaː	0.255
ˈa	-	0.132
ˈa	ˈiː	0.087
ˈa	ˈoː	0.066
ˈa_ɹ	ˈaː	1.0
ˈai̯	ˈeː	0.715
ˈai̯	ˈɛ	0.28
ˈaːi̯	ˈeː	1.0
ˈeə̯	ˈɛ	0.489
ˈeː	ˈiə̯	0.198
ˈeː	ˈə_ɕ	0.172
ˈeː	ˈaː	0.169
ˈeː	ˈeː	0.169
ˈeː	ˈɑɪ̯	0.169
ˈiː	ˈə	0.416
