Proto-Germanic	West Frisian	probability
b	b	0.955
b	-	0.049
d	d	0.631
d	-	0.347
d_ɑ	t	1.0
e	-	0.66
e	ˈuə̯	0.165
i	-	0.746
i	j	0.107
i	ˈuə̯	0.085
i	ə	0.05
i	ɪ	0.04
i_s	s	1.0
i_z	ə	0.803
i_z	χ	0.122
iː	-	0.501
j	-	0.6
j	j	0.353
j	ˈøə̯	0.052
jː	j	0.501
k	k	0.944
k	-	0.056
k_i	k	1.0
k_s	k	1.0
kʷ	k	0.501
l	l	0.95
l	-	0.056
l_i	l	1.0
l_u	l	1.0
l_ɑ	l	1.0
lː	l	0.501
lː_ɑ	l	1.0
m	m	0.891
m	-	0.06
m	n	0.053
m_ɑ	m	1.0
mː	m	0.251
n	n	0.847
n	-	0.138
n_s	s	1.0
n_x	ŋ	0.251
n_θ	n	0.501
nː	n	1.0
p	p	1.0
r	r	0.769
r	-	0.177
r	r_j	0.049
r_i	r	1.0
r_n	n	1.0
r_t	t	0.501
r_u	ə	0.251
r_ɑ	r	0.5
r_ɑ	ə	0.5
r_ɑ̃	r	1.0
r_ɔː	r	1.0
r_ɣ	r	1.0
r_ˈu	ˈoə̯	0.501
s	s	0.889
s	z	0.054
s	ɕ	0.046
s_ɑ̃	s	1.0
sː	s	0.501
t	t	0.947
t	ʦ	0.052
t_i	t	0.251
t_s	t	1.0
t_u	t	1.0
t_ɑ	t	1.0
t_ɑ̃	t	1.0
u	-	0.807
u	ˈaː	0.11
u	ə	0.081
w	ʋ	0.476
w	v	0.305
w	-	0.13
w	ˈuə̯	0.04
w	ˈɔu̯	0.04
wː	ˈuː	0.501
x	h	0.585
x	-	0.203
x	χ	0.184
xʷ	-	0.304
xʷ	f	0.304
xʷ	v	0.304
xʷ	ʋ	0.078
z	-	0.88
z	χ	0.071
z	r	0.048
ð	-	0.543
ð	d	0.442
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.743
ŋ	-	0.091
ŋ	ˈɔ	0.091
ŋ	n	0.073
ɑ	-	0.798
ɑ	ə	0.141
ɑ_l	l	0.501
ɑ_n	ə	1.0
ɑ_r	ə	0.501
ɑi̯	ˈɛi̯	0.125
ɑː	j	0.501
ɑ̃	-	0.923
ɑ̃	ə	0.061
ɔː	ə	0.549
ɔː	-	0.351
ɔː	j	0.083
ɔːu̯	-	1.0
ɔːː	-	0.689
ɔːː	ə	0.237
ɔːː	r	0.055
ɔ̃ː	ə	0.6
ɔ̃ː	-	0.388
ɛː	ə	0.545
ɛː	-	0.427
ɡ	-	0.878
ɡ	χ	0.12
ɡʷ	ŋ	1.0
ɣ	ɡ	0.416
ɣ	ɣ	0.213
ɣ	-	0.212
ɣ	χ	0.098
ɣ	z	0.048
ɸ	f	0.924
ɸ	-	0.046
ɸ	p	0.04
ˈe	ˈiə̯	0.212
ˈe	ˈɛ	0.107
ˈe	ˈɪə̯	0.098
ˈe	ˈɔ	0.085
ˈe	ˈø	0.074
ˈe_ɣ	ˈɛi̯	1.0
ˈeu̯	ˈiə̯	0.485
ˈeu̯	ˈoə̯	0.136
ˈeu̯	j	0.136
ˈeu̯	j_ˈɔ	0.129
ˈeu̯	ˈɪə̯	0.076
ˈeː	ˈɪ	1.0
ˈi	ˈɪ	0.393
ˈi	ˈi	0.186
ˈi	ˈɛ	0.123
ˈi	-	0.107
ˈi	ˈiː	0.079
ˈiu̯	ˈyː	0.53
ˈiu̯	ˈɛ	0.265
ˈiu̯	-	0.05
ˈiː	ˈiː	0.522
ˈiː	ˈi	0.389
ˈiː	ˈuː	0.083
ˈĩː	ˈɪ	1.0
ˈu	ˈɔ	0.295
ˈu	ˈuː	0.166
ˈu	ˈɪ	0.16
ˈu	-	0.093
ˈu	ˈy	0.086
ˈu_r	ˈoə̯	1.0
ˈuː	ˈuː	0.776
ˈuː	ˈyː	0.093
ˈuː	ˈoː	0.091
ˈɑ	ˈa	0.346
ˈɑ	ˈaː	0.16
ˈɑ	ˈɪ	0.101
ˈɑ	ˈɛː	0.096
ˈɑ	ˈɛ	0.068
ˈɑ_l	ˈɔː	1.0
ˈɑ_ɣ	ˈɛi̯	1.0
ˈɑi̯	ˈiə̯	0.296
ˈɑi̯	ˈɪə̯	0.101
ˈɑi̯	ˈaː	0.101
ˈɑi̯	ˈiː	0.083
ˈɑi̯	ˈɛi̯	0.078
ˈɑi̯_w	ˈiə̯	1.0
ˈɑu̯	ˈɪə̯	0.56
ˈɑu̯	ˈeː	0.119
ˈɑu̯	ˈuː	0.103
ˈɑu̯	-	0.078
ˈɑu̯	ˈɛ	0.078
ˈɔ	ˈiə̯	0.501
ˈɔː	ˈuə̯	0.622
ˈɔː	ˈoː	0.101
ˈɔː	ˈiə̯	0.092
ˈɔː	ˈɵ	0.078
ˈɔː	ˈɪ	0.078
ˈɛː	ˈiə̯	0.639
ˈɛː	ˈaː	0.14
ˈɛː	ˈoə̯	0.1
ˈɛː	ˈø	0.1
β	-	0.65
β	v	0.347
β_ɑ̃	f	1.0
θ	-	0.365
θ	t	0.346
θ	d	0.21
θ	ʦ	0.068
θ_ɑ̃	t	1.0
