Romagnol	Romagnol	probability
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈɛ	1.0
ˈu	ˈuː	1.0
ˈõũ̯	ˈo_ŋ	1.0
ˈeə̯_d	ˈa	1.0
ˈeə̯_#>	ˈaː_#>	1.0
ˈe	-	1.0
ˈa	ˈa	1.0
ʧ_#>	l_i_#>	1.0
ʧ	k_l	1.0
ʤ	-	1.0
ɲ	ɲ	1.0
ɐ_n_#>	#>	1.0
ŋ	ŋ	1.0
ð_#>	ʧ_#>	1.0
z_#>	s_#>	1.0
z	z	1.0
w	w	1.0
v_ˈi	v_ˈi	1.0
v_ɐ_#>	f_#>	1.0
u_j	o_ˈa	1.0
s	s	1.0
r_ˈɛ	r_ˈeː	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
n_#>	ŋ_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	#>	1.0
l	l	1.0
k_#>	k_#>	1.0
j̃	ŋ	1.0
j_ˈɔə̯	ˈi	1.0
j_#>	j_#>	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d_#>	t_#>	1.0
d	d	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɐ	<#_a	1.0
<#_ð	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_ɲ	1.0
<#_l	<#	1.0
r	r	0.964
n	n	0.933
t	t	0.898
b	b	0.826
ˈẽ	ˈi	0.818
v	v	0.781
θ	ʧ	0.765
ɐ	e	0.736
ð	ʤ	0.714
ɡ_#>	k_#>	0.667
v_#>	f_#>	0.667
ˈɛə̯	j_ˈɛ	0.632
ˈeə̯	ˈaː	0.6
a	-	0.6
<#	<#_v	0.6
ɡ	ɡ	0.562
j	l	0.533
ˈɛ_#>	ˈe_#>	0.5
ˈɛ_#>	#>	0.5
ɐ_r	r_i	0.5
ɐ_r	i	0.5
l_ɐ	l	0.5
l_ɐ	e	0.5
k	c	0.488
k	k	0.463
ˈɔ	ˈɔ	0.462
ˈɛ	ˈe	0.444
ɡ	-	0.438
#>	ŋ_#>	0.438
#>	s_#>	0.438
u	u	0.4
u	o	0.4
a	e	0.4
<#	<#_a	0.4
ˈi	ˈiː	0.391
ˈou̯	ˈo	0.389
ˈɔə̯	w_ˈa	0.375
ˈo	ˈu	0.375
ˈo	ˈo	0.375
ˈɛə̯	ˈɛ	0.368
ɡ_#>	#>	0.333
v_#>	#>	0.333
ˈɔ	w_ˈɛ	0.308
ˈeː	j	0.308
ˈi	ˈi	0.304
ˈeə̯	ˈa	0.3
ð	-	0.286
ˈou̯	ˈoː	0.278
j	j	0.267
ˈɛ	ˈi	0.259
ˈɔə̯	ˈuː	0.25
ˈo	-	0.25
θ	-	0.235
ˈɔ	-	0.231
ˈeː	ˈeː	0.231
ˈeː	ˈe	0.231
ˈeː	-	0.231
ˈou̯	ˈu	0.222
u	-	0.2
j	-	0.2
ˈɔə̯	ˈa_w	0.188
ˈẽ	-	0.182
ˈi	-	0.174
b	-	0.174
ɐ	a	0.132
ˈi	j	0.13
ˈɔə̯	-	0.125
v	w	0.125
#>	t_#>	0.125
ˈɛ	ˈɛ	0.111
ˈɛ	-	0.111
ˈou̯	w_ˈi	0.111
ˈeə̯	l	0.1
ɐ	-	0.099
v	-	0.094
ˈɛ	j_ˈɛ	0.074
n	ɲ	0.067
ˈɔə̯	ˈɔː	0.062
t	d	0.061
