Sicilian	Bellunese	probability
b	b	1.0
c	-	1.0
cː	ʧ	1.0
d	d	1.0
f	f	1.0
kː	k	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
o	o	1.0
r	r	1.0
s	s	1.0
tː	t	1.0
u	o	1.0
ç	f_j	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɟː	j	1.0
ɡ	ɡ	1.0
ɽ	r	1.0
ʃ	s	1.0
ʃː	s	1.0
ʐ	r	1.0
ʐː	-	1.0
ʤ	ð	1.0
ʦː	s	1.0
ʧː	θ	1.0
ˈo	ˈo	1.0
ɾ	r	0.711
ʊ	-	0.341
ˈɛ	j_ˈe	0.141
t	d	0.262
ɕ	z	0.332
ɕ	θ	0.512
ɪ	-	0.112
ɪ	e	0.722
ˈu	ˈo	0.542
l	-	0.213
t	-	0.133
ɪ	o	0.063
ɲː	ɲ	0.793
ʊ	o	0.613
ˈɛ	ˈe	0.203
a	a	0.934
i	e	0.84
j	-	0.24
n	n	0.824
w	w	0.394
ɾ	-	0.154
ˈi	ˈi	0.334
j	j	0.365
k	ɡ	0.315
k	k	0.685
v	v	0.975
ˈɔ	ˈo	0.425
ˈɔ	ˈɔ	0.575
i	i	0.16
j	ð	0.396
n	ŋ	0.176
t	t	0.606
w	-	0.606
ɕ	s	0.156
ɪ	ˈi	0.06
ɾ	d	0.136
ˈi	ˈe	0.666
ˈɛ	ˈɛ	0.656
l	l	0.787
ɲː	ŋ	0.207
ˈa	ˈa	0.977
p	v	0.198
p	p	0.78
ˈu	ˈu	0.458
