Mainland North Frisian	Palatine German	probability
ˈɛi̯_n	ˈĩː	1.0
ˈɔ_j	ˈɑːɪ̯	1.0
ˈœi̯	ˈuː	1.0
ˈyː_j	ˈɑ̃ɪ̯	1.0
ˈu	-	1.0
ˈiː_nʲ	ˈɛ̃ː	1.0
ˈiː_n	ˈẽː	1.0
ˈaː_n	ˈõː	1.0
ɛi̯	eː	1.0
ə_ʀ	ɐ	1.0
ç	ɡ̊	1.0
z̥	d̥	1.0
z	s	1.0
w	j	1.0
tʲ	s	1.0
s_t	ʃ_d̥	1.0
p_ə	f_ə	1.0
m	m	1.0
l	l	1.0
i	ɪ	1.0
h	h	1.0
d̥	d̥	1.0
d_ˈiː	d̥_ˈiː	1.0
d_ʀ	d̥_r	1.0
d_ə	n	1.0
b	b̥	1.0
f	f	0.952
ə	ə	0.901
ʃ	ʃ	0.896
n	n	0.874
v	β	0.835
ɡ	ɡ̊	0.791
s	s	0.765
ŋ	ŋ	0.751
dʲ	d̥	0.676
p	f	0.67
ˈyː	ˈoː	0.621
ˈɛː	ˈɛ	0.618
lʲ	l_d̥	0.618
ˈɔ	ˈɔ	0.6
nʲ	n_d̥	0.6
ˈai̯	ˈɪ	0.598
x	ʃ	0.593
ʀ	ɐ	0.585
ˈɔu̯	ˈoː	0.572
d	d̥	0.555
ˈɒː	ˈɑ	0.549
ˈɛ	-	0.538
ˈaː	ˈɔ	0.537
j	-	0.527
ˈɒ	ˈɑ	0.522
ɣ̥	x	0.5
ɣ̥	-	0.5
ˈʏ	ˈau̯	0.497
ˈaː	-	0.463
ˈœː	ˈau̯	0.455
ˈi	ˈaɪ̯	0.454
ˈʊ	ˈu	0.443
ˈʏ	-	0.432
t	d̥	0.429
ˈɔu̯	-	0.428
x	x	0.407
ˈɛi̯	ˈoː	0.405
ˈai̯	-	0.402
t	ʣ̥	0.402
ˈɔ	-	0.4
nʲ	-	0.4
ˈuː	ˈɑː	0.399
ˈa	-	0.396
ˈɛː	-	0.382
lʲ	l	0.382
k	kʰ	0.381
ˈyː	-	0.379
ˈœ	ˈɑ	0.372
ˈœː	ˈaɪ̯	0.365
ˈiː	ˈeː	0.365
ˈi	ˈɪ	0.364
ˈiː	ˈiː	0.347
ˈeː	ˈɛ	0.341
ʀ	r	0.336
p	b̥	0.33
dʲ	r	0.324
ˈɛi̯	-	0.307
d	r	0.299
ˈɛi̯	ˈeː	0.288
ˈiː	ˈɛː	0.287
ˈɒ	ˈɛ	0.277
k	x	0.272
ˈɒː	ˈɛː	0.268
k	ɡ̊	0.268
ˈeː	ˈɑː	0.266
ˈuː	ˈɑ	0.263
ˈɔː	ˈɑː	0.254
ŋ	ʃ	0.249
ˈœ	-	0.239
ˈɛ	ˈuː	0.231
ˈɛ	ˈiː	0.231
ˈa	ˈɛ	0.23
ˈœ	ˈuː	0.221
j	ɡ̊	0.217
ɡ	ɡ̊_ˈɛː	0.209
ˈa	ˈɪ	0.207
ˈɒ	-	0.201
s	ʃ	0.197
ˈeː	ˈɪ	0.196
ˈɔː	-	0.187
ˈɔː	ˈɑ	0.184
ˈɒː	ˈɑː	0.183
ˈi	-	0.182
ˈœː	-	0.18
ˈʊ	ˈɪ	0.176
ˈʊ	-	0.173
ˈuː	ˈoː	0.172
ˈʊ	ˈɑ	0.169
t	s	0.169
ˈœ	ˈɔ	0.167
ˈuː	ˈeː	0.166
d	s	0.145
ˈeː	ˈɑ	0.135
j	j	0.131
ˈɔː	ˈɪ	0.13
ˈɔː	ˈɔ	0.13
n	-	0.126
j	l	0.124
ˈɔː	ˈi	0.115
ʃ	-	0.104
ˈa	ˈaɪ̯	0.103
ə	-	0.099
ʀ	ˈɛ_ɐ	0.079
k	ʃ	0.079
v	-	0.073
ˈʏ	ˈau̯̯	0.071
ˈa	ˈu	0.063
ˈeː	ˈo	0.061
v	β_ˈɪ	0.059
