Yiddish	Northern Low Saxon	probability
b	b	0.849
b	f	0.086
b	v	0.062
b_n	m	1.0
d	d	0.871
d	-	0.092
d_z	s	1.0
f	f	0.803
f	b	0.187
h	h	1.0
j	ʒ	1.0
k	kʰ	0.478
k	ç	0.164
k	ɡ	0.151
k	k	0.112
k	-	0.064
k_s	s	1.0
l	l	0.994
m	m	0.971
m_ə	m	1.0
n	n	0.827
n	-	0.143
p	b	0.5
s	d	0.908
s	s	0.091
s_t	s	0.5
t	d	0.744
t	t	0.203
t	-	0.051
v	v	0.944
v	-	0.056
z	s	0.497
z	z	0.497
ŋ	ŋ	0.413
ŋ	n	0.144
ŋ_ɡ	ŋ	1.0
ə	ɐ	0.603
ə	-	0.318
ə	ɪ	0.052
ə_m	m	1.0
ɛ	-	0.794
ɛ	ɐ	0.165
ɡ	ɡ	0.593
ɡ	x	0.165
ɡ	ç	0.14
ɡ	-	0.09
ɡ_n	ŋ	1.0
ɡ_ə	ɐ	0.5
ɪ	ɪ	0.667
ɪ	i	0.333
ʀ	r	0.421
ʀ	-	0.375
ʀ	ɐ	0.173
ʀ_ʦ	d	1.0
ʁ	-	0.574
ʁ	r	0.287
ʃ	ʃ	0.73
ʃ	s	0.266
ʎ	l	1.0
ʦ	tʰ	0.68
ʦ	d	0.315
ʧ	ʃ	1.0
ˈa	ˈa	0.711
ˈa	ˈaʊ̯	0.115
ˈa	ˈoː	0.064
ˈa_ʀ	ˈaː	1.0
ˈaɪ̯	ˈiː	0.553
ˈaɪ̯	ˈyː	0.161
ˈaɪ̯	ˈɪ	0.112
ˈaɪ̯	ˈaɪ̯	0.074
ˈaɪ̯	ˈeː	0.06
ˈi	ˈøː	0.5
ˈɔ	ˈoː	0.344
ˈɔ	ˈʊ	0.125
ˈɔ	ˈa	0.108
ˈɔ	ˈɔ	0.087
ˈɔ	ˈɛ	0.074
ˈɔ	ˈaʊ̯	0.064
ˈɔɪ̯	ˈaʊ̯	0.496
ˈɔɪ̯	ˈuː	0.345
ˈɔɪ̯	ˈɔʏ̯	0.111
ˈɛ	ˈɛ	0.199
ˈɛ	ˈeː	0.158
ˈɛ	ˈaɪ̯	0.135
ˈɛ	ˈɛɪ̯	0.106
ˈɛ	ˈɔʏ̯	0.092
ˈɛ	ˈʏ	0.053
ˈɛɪ̯	ˈaɪ̯	0.519
ˈɛɪ̯	ˈɪ	0.144
ˈɛɪ̯	ˈɔʏ̯	0.126
ˈɛɪ̯	ˈɛɪ̯	0.126
ˈɛɪ̯	ˈeɪ̯	0.069
ˈɪ	ˈɪ	0.413
ˈɪ	ˈaɪ̯	0.179
ˈɪ	ˈɔʏ̯	0.116
ˈɪ	ˈʏ	0.088
ˈɪ	ˈiː	0.069
ˈʊ	ˈaʊ̯	0.374
ˈʊ	ˈʊ	0.322
ˈʊ	ˈɔ	0.143
ˈʊ	ˈuː	0.085
χ	x	0.416
χ	ɡ	0.349
χ	ç	0.141
χ	-	0.081
χ_t	ç	1.0
