Aragonese	Emilian	probability
θ	θ	1.0
β_j	v	1.0
ˈi_ɾ	ˈiː_r	1.0
ʝ	-	1.0
ʃ	s	1.0
ɾ_o	e_r	1.0
ɾ_n	r_e	1.0
ɾ_e	e_r	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	z	1.0
t	t	1.0
s_e	z	1.0
r	r	1.0
p_l	p_j	1.0
l_ˈa	j_ˈa	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
j_t	t	1.0
f	f	1.0
e_ʝ	ˈa_d	1.0
e_ɾ	a_r	1.0
e_s	s	1.0
d	d	1.0
b_ɾ	m	1.0
b_w	b	1.0
a	a	0.945
m	m	0.895
p	p	0.864
ɾ	r	0.825
ʧ	ð	0.772
ɾ_a	r_a	0.739
ð	d	0.729
s	s	0.675
β	v	0.653
e	-	0.65
l	l	0.642
b	v	0.618
l_ˈe	l_ˈa	0.613
i	-	0.58
ˈi	ˈe	0.578
o	u	0.571
ˈe_n	ŋ_t	0.559
ˈa	ˈɛ	0.553
n	n	0.547
j	-	0.547
u	u	0.5
u	-	0.5
n	ŋ	0.453
ˈu	ˈo	0.446
ˈe_n	ŋ	0.441
i	i	0.42
ʎ	j	0.401
w_ˈe	ˈɔː	0.401
w	w	0.392
ˈu	ˈuː	0.388
l_ˈe	l	0.387
w	-	0.339
ʎ	ʧ	0.321
ˈo	ˈʌ	0.313
ʎ	l	0.279
ˈo	ˈʌu̯	0.275
e	e	0.27
w	ˈɔː	0.269
ɾ_a	a	0.261
b	b	0.243
ˈa	ˈa	0.239
ʧ	ʤ	0.228
w_ˈe	ˈo	0.225
j	ˈæ	0.223
β	b	0.221
w_ˈe	ˈɔ	0.219
l	-	0.213
ˈo	ˈɔː	0.211
s	-	0.198
ˈi	e	0.17
ˈe	ˈiː	0.17
ˈe	ˈɛː	0.163
ˈa	ˈaː	0.16
w_ˈe	ˈuː	0.155
o	ŋ	0.153
ð	t	0.152
l	j	0.145
b	-	0.14
o	l	0.138
ˈi	ˈiː	0.137
o	s	0.137
p	v	0.136
ˈe	ˈa	0.133
ɾ	e	0.131
β	-	0.127
ˈe	ˈa_j	0.127
s	z	0.127
ˈo	ˈɔ	0.119
ð	-	0.119
m	-	0.105
ˈu	ˈʌu̯	0.103
j	ˈɛ	0.097
ˈe	e	0.084
ˈo	ˈo	0.081
e	a	0.08
ˈe	ˈæ	0.077
j	ˈaː	0.077
ˈe	-	0.068
ˈe	r	0.067
ˈe	ˈe	0.064
ˈu	ˈɔ	0.062
ˈi	j_ˈɔː	0.06
j	d_e	0.056
ˈi	ˈi	0.055
a	-	0.055
