Palatine German	Palatine German	probability
ˈɛ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈiː	1.0
ˈɑːɪ̯	ˈɛ_ɡː	1.0
ˈɑː_n	jː	1.0
ˈõː	ˈoː_n	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈøː_n	1.0
ˈi	ˈʉː	1.0
ˈẽː	-	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈau̯̯	ˈʉː	1.0
ˈau̯	ˈʉː	1.0
ʃ_β	s	1.0
ɪ	-	1.0
ɡ̊_#>	ɡː_#>	1.0
ə_#>	#>	1.0
ɑ	a	1.0
ɐ_ʣ̥	ʈː	1.0
ɐ_ʃ	ʂ	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɖ	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋː	1.0
x_d̥	tː	1.0
s_ˈɑ	s_ˈa	1.0
r_ɐ	r	1.0
n_d̥	n	1.0
eː	ɔ	1.0
d̥_ˈoː	d_ˈøː	1.0
d̥_ˈiː	j_ˈʉː	1.0
d̥_r	tʰ_r	1.0
b̥_#>	v_#>	1.0
<#_ˈɛ	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ə	a	0.914
h	h	0.913
b̥	b	0.9
#>	r_#>	0.875
l	l	0.87
ˈuː	ˈuː	0.818
ʃ_d̥	s_t	0.778
kʰ	kʰ	0.778
β	v	0.767
ˈoː	ˈoː	0.75
m	m	0.741
ˈeː	-	0.667
d̥	d	0.66
f	f	0.645
ˈɑ	ˈa	0.64
r	r	0.636
ɡ̊	ɡ	0.632
x	k	0.556
ˈiː	ˈʉː	0.545
ʣ̥	tʰ	0.545
n	n	0.517
ˈɪ	ˈɪ	0.5
ʃ_#>	ɡ_#>	0.5
ʃ_#>	j_#>	0.5
j	ɡ	0.5
j	-	0.5
ˈɛ	ˈɛ	0.478
ˈɛː	-	0.462
ˈaɪ̯	ˈiː	0.45
s	s	0.442
ɐ	r	0.441
ˈɑː	ˈɑː	0.389
ɐ	ɛ	0.382
ˈu	ˈɵ	0.357
ˈeː	ˈɛː	0.333
ˈɛː	ˈeː	0.308
ʃ	s	0.308
ʃ	k	0.308
s	t	0.302
ˈu	ˈʊ	0.286
ˈɑ	ˈɑː	0.28
n	nː	0.276
ˈiː	-	0.273
ʣ̥	tː	0.273
ˈɛ	-	0.261
m	mː	0.259
ˈɔ	ˈɵ	0.25
ˈɔ	ˈœ	0.25
ˈoː	ˈøː	0.25
β	-	0.233
ˈɛː	ˈɛ	0.231
ʃ	s_k	0.231
ˈɑː	ˈøː	0.222
ʃ_d̥	tː	0.222
x	ɡ_ɛ	0.222
x	ɡ	0.222
kʰ	ɕ	0.222
ˈu	ˈɔ	0.214
f	p	0.194
ˈɔ	ˈɔ	0.188
ˈɔ	ˈuː	0.188
ˈuː	ˈøː	0.182
ˈiː	ˈyː	0.182
ʣ̥	-	0.182
r	d	0.182
d̥	tʰ	0.18
ˈɑː	ˈa	0.167
ɡ̊	k	0.158
ʃ	ɧ	0.154
ˈaɪ̯	ˈɛ	0.15
ˈaɪ̯	ˈyː	0.15
ˈaɪ̯	-	0.15
ˈɪ	ˈʏ	0.143
ˈu	-	0.143
n	n_d	0.138
f	v	0.129
ˈɔ	-	0.125
#>	ʊ_#>	0.125
s	ɧ	0.116
ˈɑː	ˈɛː	0.111
ˈɑː	-	0.111
ˈɪ	ˈœ	0.107
ˈɪ	-	0.107
ɡ̊	kː	0.105
ɡ̊	j	0.105
ˈaɪ̯	ˈeː	0.1
b̥	v	0.1
s	tː	0.093
r	r_ˈœ	0.091
r	-	0.091
ɐ	a	0.088
ˈɛ	ˈʏ	0.087
ˈɛ	ˈɔ	0.087
ˈɛ	ˈæ	0.087
h	j	0.087
ə	ɛ	0.086
ˈɑ	-	0.08
ˈɪ	ˈɵ	0.071
ˈɪ	ˈeː	0.071
n	-	0.069
l	lː	0.065
l	j	0.065
d̥	t	0.06
ɐ	r_a	0.059
