West Frisian	West Frisian	probability
χ	x	1.0
ˈɪə̯_l	ɫ_ə	1.0
ˈɪə̯_#>	ˈʊə̯_d̥_#>	1.0
ˈɛː	-	1.0
ˈɛi̯	-	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈɪ	1.0
ˈø	-	1.0
ˈuə̯_r	ɾ	1.0
ˈuə̯	-	1.0
ɪ	i	1.0
ɣ	x	1.0
ə_l	ə_ɫ	1.0
ə_#>	#>	1.0
ɕ	z	1.0
v_ə	v̥	1.0
s_#>	z̥_#>	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈiː	1.0
j_ɪ	iː	1.0
j_ə	ə	1.0
h_ˈa	ˈɛː	1.0
f_#>	v̥_#>	1.0
f	v	1.0
b	b	1.0
<#_ɡ	<#_x	1.0
<#_r	<#_ɾ	1.0
<#_j	<#_j	1.0
<#_h	<#	1.0
#>	v̥_#>	1.0
r	ɾ	0.915
ə	ə	0.895
d	d	0.895
n	n	0.875
l	ɫ	0.875
ˈeː	-	0.833
t	t	0.825
ˈa	ˈɑ	0.818
d̥	d̥	0.818
ʋ	ʋ	0.8
s_k	s	0.7
ˈuː	ˈyː	0.667
ʦ	-	0.667
ˈɛ	ˈæ	0.615
ˈɔː	ˈɑ	0.6
ˈu	ˈɔ	0.6
s	z	0.579
ŋ	ŋ_k	0.545
ˈyː	ˈyː	0.5
ˈyː	-	0.5
ˈoə̯	-	0.5
ˈi	ˈɪ	0.5
ˈi	ˈi	0.5
z	z	0.5
z	x	0.5
ˈɔ	ˈɔ	0.471
j	-	0.462
ŋ	ŋ	0.455
ˈɪə̯	ˈʊə̯	0.438
ˈaː	-	0.429
s	s	0.421
ˈɔ	-	0.412
ˈɔː	-	0.4
ˈu	-	0.4
v	ʋ	0.4
ˈɛ	-	0.385
ˈiː	-	0.385
ˈaː	ˈɛː	0.357
ˈoə̯	ˈʊə̯	0.333
ˈiə̯	ˈɛː	0.333
ʦ	d	0.333
ˈiː	ˈi	0.308
j	ˈiː	0.308
s_k	s_x	0.3
ˈɪ	ˈɪ	0.28
ˈɪə̯	ˈɪə̯	0.25
ˈiə̯	ˈɪə̯	0.238
j	x	0.231
ˈaː	ˈɑ	0.214
ˈɪ	ˈi	0.2
ˈɪ	-	0.2
ʋ	ʋ_ˈeː	0.2
v	ʋ_ˈɪə̯	0.2
v	v	0.2
v	-	0.2
ˈiə̯	ˈiː	0.19
ˈɪə̯	ˈɛː	0.188
ˈa	-	0.182
d̥	ɾ_d̥	0.182
ˈuː	ˈʊə̯	0.167
ˈuː	ˈɔ	0.167
ˈoə̯	ˈɔ	0.167
ˈeː	ˈiːə̯	0.167
ˈiː	ˈɪ	0.154
ˈiː	ˈyː	0.154
ˈiə̯	ˈuː	0.143
t	d	0.14
ˈɪə̯	-	0.125
ˈɪ	ˈʏ	0.12
ˈɪ	ˈæ	0.12
ˈɔ	ˈu	0.118
d	-	0.105
ˈiə̯	-	0.095
n	n_ə	0.089
r	ɾ_ə	0.085
ˈɪ	ˈiː	0.08
l	ɫ_ə	0.075
ə	d_ə	0.053
ə	-	0.053
