Sicilian	Corsican	probability
a	a	0.891
b	b	1.0
c	c	0.531
c	-	0.205
c	p_j	0.154
c	k	0.068
d	d	0.944
d	ɟ	0.056
f	f	1.0
i	i	0.551
i	e	0.164
i	-	0.124
i	a	0.113
j	ɟ	0.453
j	j	0.415
j	-	0.132
k	k	0.955
l	l	0.984
m	m	0.925
m	-	0.075
n	n	0.853
n	-	0.074
o	o	0.628
o	u	0.372
p	p	1.0
r	r	0.528
r	-	0.417
r	l	0.055
s	s	0.987
t	t	0.971
u	u	0.95
u	ˈɔ	0.05
v	v	0.891
v	b	0.066
w	w	0.456
w	l	0.17
w	ˈɔ	0.149
w	-	0.129
w	o	0.096
z	ʒ	0.621
z	z	0.379
ç	f_j	1.0
ŋ	ŋ	1.0
ɕ	ʧ	0.875
ɕ	c	0.054
ɖ	l	1.0
ɟ	-	0.461
ɟ	ʎ	0.339
ɟ	b	0.184
ɡ	ɡ	0.811
ɡ	k	0.102
ɡ	ɟ	0.087
ɪ	e	0.627
ɪ	-	0.289
ɪ	i	0.065
ɲ	ɲ	0.61
ɲ	-	0.253
ɲ	ɟ	0.107
ɽ	r	1.0
ɾ	r	0.584
ɾ	-	0.311
ɾ	d	0.065
ʃ	s	0.414
ʃ	ʃ	0.358
ʃ	-	0.166
ʈ	t	1.0
ʊ	u	0.996
ʐ	r	1.0
ʤ	ɟ	0.753
ʤ	-	0.13
ʤ	b	0.065
ʤ	ʤ	0.052
ʦ	ʦ	0.641
ʦ	-	0.195
ʦ	s	0.087
ʦ	ʣ	0.062
ʧ	ʧ	1.0
ˈa	ˈa	0.95
ˈe	ˈɛ	0.804
ˈe	ˈe	0.196
ˈi	ˈɛ	0.455
ˈi	ˈi	0.444
ˈi	ˈe	0.052
ˈo	ˈɔ	0.595
ˈo	ˈo	0.405
ˈu	ˈu	0.562
ˈu	ˈɔ	0.225
ˈu	ˈo	0.214
ˈɔ	ˈɔ	0.78
ˈɔ	ˈo	0.192
ˈɛ	ˈɛ	0.514
ˈɛ	ˈe	0.486
