West Frisian	Luxembourgish	probability
b	b	0.931
b	-	0.069
d	d	0.916
d	t	0.076
f	f	1.0
h	h	1.0
j	-	0.608
j	ˈɑɪ̯	0.187
j	j	0.151
j_ə	ə	1.0
j_ˈɔ	ˈe	0.489
j_ˈɛ	ˈiː	0.489
j_ˈɪ	ˈəɪ̯	0.644
j_ˈɪ	ˈɑɪ̯	0.239
k	kʰ	0.319
k	ɕ	0.256
k	k	0.204
k	χ	0.102
k	-	0.094
l	l	0.937
l	-	0.063
l_j	l	1.0
m	m	1.0
n	n	0.651
n	n_t	0.159
n	ŋ	0.08
n	ʀ	0.049
n	-	0.048
p	f	0.82
p	p	0.137
r	ʀ	0.468
r	ɐ	0.351
r	-	0.11
r	d_ɐ	0.067
r_j	ʀ	0.489
s	ʃ	0.408
s	s	0.31
s	z	0.276
s_k	ʃ	1.0
t	t	0.491
t	s	0.221
t	ʦ	0.165
t	d	0.09
v	w	0.369
v	-	0.319
v	v	0.301
z	-	0.341
z	s	0.208
z	z	0.117
z	ʀ	0.117
ŋ	ŋ	0.761
ŋ	n	0.08
ŋ	ɕ	0.078
ŋ	k	0.064
ɕ	z	1.0
ə	-	0.502
ə	ə	0.496
ə_r	ɐ	1.0
ɡ	ɡ	1.0
ɣ	k	0.422
ɣ	ʑ	0.242
ɣ	-	0.223
ɪ	ə	0.74
ɪ	e	0.134
ʋ	v	1.0
ʦ	kʰ	0.594
ʦ	ʦ	0.392
ʦ_j	d	1.0
ˈa	ˈaː	0.381
ˈa	ˈɑ	0.174
ˈa	ˈuə̯	0.164
ˈa	ˈu	0.119
ˈa	ˈeː	0.068
ˈaː	ˈaː	0.265
ˈaː	ˈeː	0.196
ˈaː	ˈi	0.129
ˈaː	ˈɑ	0.126
ˈaː	ˈoː	0.101
ˈeː	ˈəɪ̯	0.354
ˈeː	ˈiə̯	0.268
ˈeː	ˈi	0.247
ˈi	ˈæːɪ̯	0.305
ˈi	ˈɑ	0.245
ˈi	ˈæɪ̯	0.141
ˈi	ˈə	0.141
ˈi	ˈeː	0.071
ˈiə̯	ˈəɪ̯	0.335
ˈiə̯	ˈoː	0.191
ˈiə̯	ˈeː	0.185
ˈiə̯	ˈi	0.116
ˈiə̯	ˈe	0.101
ˈiː	ˈæːɪ̯	0.358
ˈiː	ˈɑ	0.196
ˈiː	ˈeː	0.129
ˈiː	ˈæɪ̯	0.129
ˈiː	ˈəɪ̯	0.09
ˈoə̯	ˈaː	0.431
ˈoə̯	ˈo	0.163
ˈoə̯	ˈuə̯	0.142
ˈoə̯	ˈəʊ̯	0.142
ˈoə̯	ˈuː	0.096
ˈoː	ˈu	0.594
ˈoː	ˈəʊ̯	0.392
ˈu	ˈu	0.157
ˈu	ˈɔ	0.157
ˈuə̯	ˈʊ	0.419
ˈuə̯	ˈu	0.184
ˈuə̯	ˈæ	0.14
ˈuə̯	ˈəʊ̯	0.14
ˈuə̯	ˈi	0.098
ˈuə̯_r	ɐ	1.0
ˈuː	ˈæːʊ̯	0.328
ˈuː	ˈɑɪ̯	0.267
ˈuː	ˈɔ	0.168
ˈuː	ˈo	0.059
ˈuː	ˈəʊ̯	0.059
ˈy	ˈu	1.0
ˈyː	ˈæːɪ̯	0.253
ˈyː	ˈæːʊ̯	0.22
ˈyː	ˈɑɪ̯	0.22
ˈø	ˈə	0.461
ˈø	ˈɛː	0.259
ˈø	ˈoː	0.081
ˈøə̯	ˈə	0.239
ˈɔ	ˈo	0.479
ˈɔ	ˈiː	0.104
ˈɔ	ˈe	0.069
ˈɔ	ˈɑ	0.069
ˈɔ	ˈʊɪ̯	0.069
ˈɔu̯	ˈo	0.281
ˈɔu̯	ˈəɪ̯	0.281
ˈɔː	ˈɑ	0.684
ˈɔː	ˈiː	0.154
ˈɔː	ˈaː	0.071
ˈɛ	ˈaː	0.545
ˈɛ	ˈɛː	0.214
ˈɛ	ˈiː	0.088
ˈɛ	ˈɛ	0.088
ˈɛ_j	ˈæːɪ̯	0.608
ˈɛ_j	ˈɑɪ̯	0.259
ˈɛi̯	ˈeː	0.468
ˈɛi̯	ˈɛ	0.099
ˈɛi̯	ˈaː	0.092
ˈɛi̯	ˈoː	0.092
ˈɛi̯	ˈɑ	0.092
ˈɛː	ˈaː	0.457
ˈɛː	ˈe	0.229
ˈɛː	ˈɛː	0.147
ˈɛː	ˈeː	0.095
ˈɪ	ˈə	0.415
ˈɪ	ˈɑ	0.11
ˈɪ	ˈe	0.095
ˈɪ	ˈɛ	0.093
ˈɪ	ˈoː	0.054
ˈɪə̯	ˈaː	0.354
ˈɪə̯	ˈəɪ̯	0.191
ˈɪə̯	ˈəʊ̯	0.123
ˈɪə̯	ˈəʊ̯_t	0.123
ˈɪə̯	ˈeː	0.071
ˈɵ	ˈəɪ̯	0.239
χ	ɕ	0.664
χ	-	0.119
χ	ʃ	0.078
χ	χ	0.078
χ	k	0.053
