Elfdalian	Swedish	probability
ˈʏ	ˈʏ	1.0
ˈʉ_ŋ	ˈʊ	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɛː	ˈɛː	1.0
ˈɛ_r	r	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɑː	1.0
ˈɑːu̯	ˈʉː	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː_j	jː	1.0
ˈɑ	ˈa	1.0
ˈœ	ˈœ	1.0
ˈæ	-	1.0
ˈyːœ̯	ˈøː	1.0
ˈyœ̯	-	1.0
ʨ_ɑ	k_a	1.0
ʨ	ɕ	1.0
ʥː	ɡː	1.0
ʥ	j	1.0
ʏ	ɛ	1.0
ɽ_j	j	1.0
ɽ	l	1.0
ɪ	ɪ	1.0
ɣ	ɡ	1.0
ɡː	ɡː	1.0
ɔ̃	ɔ	1.0
ɑ̃	ɛ	1.0
ɑ	a	1.0
ŋ_ɡ	ŋː	1.0
ŋ_ɛ	ŋ	1.0
ŋ	ŋ	1.0
w	v	1.0
tː	tː	1.0
tʰ_j	ɕ	1.0
tʰ	tʰ	1.0
sː	sː	1.0
s_ʨ	ɧ	1.0
s_j	ɧ	1.0
rː	rː	1.0
r_ˈɑːi̯	r	1.0
r_t	ʈː	1.0
r_d	ɖ	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
l̥	s_l	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈʉːə̯	ˈyː	1.0
j_ˈæ	ˈɛ	1.0
f	f	1.0
d_j	j	1.0
d	d	1.0
b	b	1.0
a	a	1.0
r	r	0.964
n	n	0.918
m	m	0.915
ˈʉ	ˈɵ	0.902
s	s	0.89
ˈɪ	ˈɪ	0.855
ˈɔː	ˈoː	0.848
t	t	0.842
v	v	0.833
ð	d	0.81
ˈo	ˈɔ	0.783
ˈɑː	ˈɑː	0.778
ɔ	a	0.778
ɡ	ɡ	0.712
ɛ	ɛ	0.684
nː	nː	0.678
ˈœː	ˈøː	0.676
ˈiːe̯	ˈeː	0.674
ˈɪː	ˈiː	0.642
j	j	0.62
ˈʉːə̯	ˈʉː	0.61
ˈʉː	ˈʉː	0.576
ˈʉə̯	ˈuː	0.569
ˈʏː	ˈyː	0.549
ˈɔ̃ː	ˈoː	0.5
ˈɔ̃ː	-	0.5
ˈʏː	-	0.451
ˈoː	ˈoː	0.447
j	-	0.38
ˈæː	ˈɛː	0.368
ˈæː	ˈæː	0.368
ʉ	ʊ	0.354
ˈiːe̯	-	0.326
ˈœː	ˈœ	0.324
nː	ɳ	0.322
ɛ	-	0.316
ˈʉːə̯	ˈuː	0.307
ɡ	ŋː	0.288
ˈoː	ˈøː	0.282
ʉ	-	0.278
ˈoː	-	0.271
ˈæː	ˈœː	0.264
ˈʉə̯	ˈɔ	0.248
ˈɑː	-	0.222
ɔ	-	0.222
ˈo	ˈa	0.217
ˈɪː	ˈɛ	0.215
ʉ	ɵ	0.215
ˈʉː	ˈɵ	0.212
ˈʉː	ˈoː	0.212
ð	-	0.19
ˈʉə̯	-	0.182
v	-	0.167
ˈɔː	ˈa_l	0.152
ʉ	a	0.152
ˈɪ	-	0.145
ˈɪː	-	0.143
t	tː	0.138
s	ɧ	0.101
ˈʉ	ˈʏ	0.098
m	ˈɔ_mː	0.085
ˈʉːə̯	l	0.083
