Sassarese	Sassarese	probability
ˈe_d	ʧ	1.0
ʧː	k_ʎ	1.0
ʦː	l_ʦ	1.0
ʦ	ʦ	1.0
ʤː	ʦ_ˈɔ	1.0
ʣ	z	1.0
ʎː	ʎ	1.0
ʃː	ʃ_t	1.0
ɲː	ʤ	1.0
ɡː	k	1.0
ɔ	u	1.0
z	s	1.0
xː	s_k	1.0
w	p	1.0
v	v	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
r_a	r	1.0
pː	p	1.0
nː	n	1.0
n_a	n_ə	1.0
mː	m	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k	k	1.0
f	f	1.0
bː	p	1.0
a_r	u_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
#>	i_#>	1.0
n	n	0.867
r	r	0.852
d	d	0.8
ˈu	ˈu	0.778
s	s	0.75
a	ə	0.739
tː	p_t	0.714
b	b	0.714
ˈa	ˈa	0.708
ˈi	ˈi	0.7
i	i	0.676
ŋ	n	0.667
j	-	0.667
<#	<#_w	0.667
ɡ	k	0.6
rː	r_n	0.6
<#_i	<#	0.6
ˈo	ˈu	0.583
β	w	0.5
β	-	0.5
ʤ	ʒ	0.5
ʤ	z	0.5
ɬ	s	0.5
ɬ	-	0.5
p	p	0.5
p	kʲ	0.5
u	u	0.476
dː	t	0.444
ˈo	ˈo	0.417
ˈe	ˈe	0.4
ˈe	ˈa	0.4
ɡ	-	0.4
rː	r	0.4
<#_i	<#_s	0.4
ˈɔ	ˈo	0.381
u	i	0.381
ˈɛ	ˈe	0.333
ŋ	ŋ	0.333
j	r	0.333
dː	-	0.333
<#	<#_n	0.333
ˈi	-	0.3
ˈɛ	ˈi	0.286
ˈɛ	ˈa	0.286
ˈɔ	o̯ˈa	0.286
tː	t	0.286
b	-	0.286
ˈa	ˈɔ	0.25
s	ʃ	0.25
ˈɔ	ˈu	0.238
ˈu	ˈo	0.222
dː	l	0.222
ˈe	e̯ˈa	0.2
d	-	0.2
a	i	0.174
i	ə	0.162
u	ə	0.143
n	j_n	0.133
i	-	0.108
ˈɛ	e̯ˈa	0.095
ˈɔ	-	0.095
a	-	0.087
r	u	0.074
r	-	0.074
i	ˈi	0.054
