Western Lombard	Western Lombard	probability
ˈɛ_ʧ	ˈi_t	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɔ_l	ˈa_l	1.0
ˈɑː_t	ˈa_t	1.0
ˈɑː_d	ˈa_ɾ	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈu	1.0
ˈy	-	1.0
ˈuː_r_#>	ˈo_#>	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈiː	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ_t	ˈe_n	1.0
ˈeː_l	ˈɛ_l	1.0
ˈã_#>	ˈa_#>	1.0
ˈã	ˈa	1.0
ʧ_#>	#>	1.0
ʒ	ʒ	1.0
ʃ	t	1.0
z_ɡ	b	1.0
z	-	1.0
y	u	1.0
w	w	1.0
t_a	t_ə	1.0
t_#>	n_#>	1.0
r_t	r_t	1.0
r_n	r_n	1.0
o	-	1.0
l_ˈɑː	ʎ_ˈa	1.0
l_s	l_s	1.0
k_ˈu	k_ˈɔ	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
ẽ	β_ə	1.0
e_ʒ	ə	1.0
ã	-	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_a	<#_ə	1.0
a	ə	0.986
m	m	0.967
p	p	0.939
ˈa	ˈa	0.926
k	k	0.918
t	t	0.912
s	s	0.886
u	u	0.846
b	b	0.824
ˈøː	ˈɔ	0.818
e_r	ɾ_ə	0.818
<#	<#_ə	0.818
n	n	0.812
ɲ	ɲ	0.778
f	f	0.767
e	ə	0.765
ˈɔ	ˈɔ	0.75
ˈyː	ˈu	0.688
ʧ	s	0.667
l	ʎ	0.64
ˈi_#>	ˈi_#>	0.636
d	d	0.636
ˈuː	ˈo	0.625
s_#>	w_#>	0.625
v	b	0.593
ˈe	ˈɛ	0.571
ˈu	ˈo	0.545
ɡ	ɡ	0.529
ˈẽ	ˈe	0.5
ˈẽ	-	0.5
j	l	0.5
r	ɾ	0.489
ɡ	ɣ	0.471
ˈũ	ˈo	0.455
ˈɛ	ˈe	0.444
#>	w_#>	0.444
ˈe	ˈe	0.429
ʤ	ʒ	0.429
ˈɛ	ˈɛ	0.407
ˈeː	ˈɛ	0.4
ˈuː	ˈɔ	0.375
s_#>	#>	0.375
i	ə	0.375
i	i	0.375
ˈi_#>	#>	0.364
l	l	0.36
v	β	0.333
#>	s_#>	0.333
ʤ	ɡ_l	0.286
ʤ	-	0.286
ˈu	ˈɔ	0.273
d	ð	0.273
ˈeː	ˈe	0.267
r	r	0.267
ˈɔ	-	0.25
j	ʎ	0.25
i	-	0.25
e	-	0.235
f	w	0.233
ɲ	ɲ_ə	0.222
#>	l_#>	0.222
ˈeː	-	0.2
ʧ	ʎ	0.2
r	-	0.2
ˈyː	ˈo	0.188
ˈøː	-	0.182
ˈũ	ˈɔ_n	0.182
ˈũ	ˈɔ	0.182
ˈũ	-	0.182
ˈu	-	0.182
e_r	ə	0.182
<#	<#_ˈe	0.182
b	β	0.176
u	-	0.154
ˈeː	ˈɛ_w	0.133
ʧ	k_l	0.133
ˈyː	-	0.125
j	j	0.125
j	-	0.125
n	ɲ	0.094
n	-	0.094
d	ʤ	0.091
t	ð	0.088
k	ŋ	0.082
ˈɛ	ˈe_j	0.074
ˈɛ	ɾ_ˈe	0.074
ˈa	ˈe	0.074
v	-	0.074
s	ʃ	0.068
p	s	0.061
