Lombard	Romansch	probability
#>	#>	0.784
#>	r_#>	0.113
#>	n_#>	0.068
<#	<#	1.0
a	ə	0.849
a	-	0.091
ã	ə	0.574
ã	m	0.293
b	b	0.683
b	v	0.239
b	ʥ	0.076
d	d	0.889
d	-	0.061
d	ʥ	0.055
e	ə	0.668
e	a	0.092
e	ˈa	0.092
e	j	0.076
e	w	0.071
ẽ	-	0.133
f	f	0.988
i	i	0.437
i	ə	0.331
i	-	0.219
ĩ	u	0.333
ĩ	ə	0.333
ĩ	ə_n	0.333
j	-	0.348
j	l	0.294
j	j	0.197
j	ʎ	0.095
j	i	0.056
k	ʨ	0.453
k	k	0.407
k	ŋ	0.054
l	l	0.856
l	w	0.059
l	ʎ	0.053
l_#>	#>	1.0
m	m	0.937
m	n	0.053
n	n	0.873
n	n_ˈa	0.063
o	u	0.51
p	p	0.969
r	r	1.0
s	s	0.655
s	ʃ	0.306
t	t	0.76
t	ʨ	0.09
t	n_t	0.052
u	u	0.492
u	ə	0.33
u	o	0.119
u	ˈe	0.056
u_#>	#>	0.51
ũ	u	0.26
v	v	1.0
w	-	0.517
w	u	0.297
w	w	0.12
y	i	0.66
y	o	0.172
z	ʃ	0.841
z	s	0.113
ɛ	-	1.0
ɡ	ɡ	0.738
ɡ	v	0.142
ɡ	-	0.104
ɲ	ɲ	0.603
ɲ	n	0.386
ʃ	ʧ	0.53
ʃ	ʃ	0.461
ʋ	v	0.84
ʋ	-	0.061
ʋ	w	0.053
ʤ	ʥ	0.314
ʤ	ɡ_l	0.214
ʤ	ʎ	0.214
ʤ	ʃ	0.19
ʦ	ʦ	0.472
ʦ	ʧ	0.287
ʦ	s	0.143
ʦ	-	0.061
ʧ	ʧ	0.344
ʧ	ʎ	0.194
ʧ	ʨ	0.165
ʧ	t	0.109
ʧ	k_l	0.1
ʧ	d	0.052
ˈa	ˈa	0.55
ˈa	ˈaː	0.317
ˈa	ˈɔ	0.052
ˈaː	ˈa	0.654
ˈaː	ˈaː	0.302
ˈãː	ˈa_w	0.327
ˈãː	ˈa	0.237
ˈãː	ˈɔ_n	0.237
ˈãː	ˈa_n	0.136
ˈe	j	0.301
ˈe	ˈe	0.186
ˈe	ˈɛ	0.165
ˈe	ˈa	0.116
ˈe	ˈi_ə	0.107
ˈe	ˈi	0.055
ˈe_j	ˈe	1.0
ˈeː	ˈeː	0.53
ˈeː	j	0.31
ˈẽː	ˈɛ_n	0.796
ˈẽː	ˈɛ	0.163
ˈi	ˈi	0.591
ˈi	ˈiː	0.266
ˈi	ˈi_ʎ	0.123
ˈiː	ˈi	0.51
ˈĩː	ˈɛ	0.37
ˈĩː	ˈi	0.286
ˈĩː	ˈi_n	0.138
ˈo	ˈu	0.51
ˈu	ˈu	0.653
ˈu	ˈɔ	0.119
ˈu	w	0.086
ˈu	ˈiː	0.067
ˈu	ˈuː	0.065
ˈuː	w	0.387
ˈuː	ˈu	0.197
ˈũː	ˈu	0.548
ˈũː	ˈu_n	0.447
ˈy	ˈi	0.385
ˈy	ˈu	0.372
ˈy	ˈe	0.204
ˈyː	ˈu	0.591
ˈyː	ˈi	0.266
ˈyː	ˈuː	0.099
ˈỹː	ˈi	0.51
ˈø	ˈu	0.347
ˈø	ˈɔ	0.161
ˈø	ˈe	0.154
ˈø	ˈɛ	0.154
ˈø	ˈi	0.073
ˈø_k	ˈɛ	1.0
ˈøː	ˈɔ	0.776
ˈøː	ˈoː	0.13
ˈɔ	ˈɔ	0.392
ˈɔ	ˈa_w	0.236
ˈɔ	ˈu	0.115
ˈɔ	ˈɔː	0.1
ˈɔ	ˈe	0.076
ˈɔ	ˈa	0.065
ˈɛ	ˈɛ	0.482
ˈɛ	j	0.255
ˈɛ	ˈɛː	0.094
ˈɛ	ˈeː	0.092
ˈɛ̃ː	ˈi	0.337
ˈɛ̃ː	ˈɛ	0.337
ˈˈi	j	1.0
