Piedmontese	Walloon	probability
f	f	1.0
p	p	1.0
ə	-	1.0
ɲ	ɲ	1.0
ʧ	-	1.0
i	-	0.831
j	l	0.221
t	t	0.871
v	-	0.181
w	-	0.181
z	ʃ	0.11
ʤ	ʤ	0.51
ˈa	ˈe	0.071
ˈa	ˈɔː	0.131
ˈu	ˈu	0.081
ˈu	ˈuː	0.51
ˈɛ	ˈɛː	0.061
a	j	0.462
k	k	0.412
z	ʒ	0.062
ˈɔ	ɔ	0.102
ˈɛ	j	0.182
b	b	0.883
d	d_w	0.053
l	ˈa	0.293
n	-	0.143
s	ʃ	0.13
s	s	0.843
u	uː	0.053
v	f	0.163
v	v	0.623
ŋ	ˈɛ̃	0.873
ˈa	ˈa	0.463
ˈi	ˈiː	0.243
ˈɛ	j_ˈɛ	0.053
ˈɛ	ˈɛ	0.423
e	ʀ	0.064
e	ɛ	0.194
e	-	0.424
i	i	0.064
i	ɛ	0.104
r	ʀ	0.734
ɡ	k	0.14
ɡ	-	0.634
ˈi	-	0.124
ˈø	ˈuː	0.744
ˈɛ	-	0.194
m	-	0.155
m	m	0.845
z	s	0.165
ˈa	w	0.145
ˈe	w	0.235
ˈe	ˈiː	0.35
ˈy	ˈɔ	0.185
k	-	0.26
n	n	0.826
z	-	0.606
ɡ	ɡ	0.226
ˈe	ˈe	0.336
ˈi	ˈẽ	0.306
ˈø	ˈøː	0.256
ˈɔ	w_ˈa	0.186
ˈɔ	ˈɔ	0.466
a	a	0.267
b	p	0.117
l	l	0.707
u	ɔ	0.797
ŋ	-	0.127
ˈu	ˈøː	0.057
ˈɔ	ˈa	0.137
d	-	0.438
d	d	0.508
e	ˈi	0.318
j	-	0.418
k	ʧ	0.328
r	-	0.218
z	ʤ	0.058
ˈa	ˈɛ	0.118
ˈi	ˈɛ	0.208
ˈu	ˈɔ̃	0.068
ˈy	ˈy	0.148
a	w	0.259
j	j	0.339
t	-	0.129
u	-	0.149
w	w	0.819
ʤ	-	0.49
ˈi	ˈi	0.119
ˈu	ˈɔ	0.219
ˈy	-	0.189
ˈy	ˈøː	0.479
ˈɔ	ˈoː	0.109
