East Franconian	Mecklenburgisch-Vorpommersch	probability
β	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈuː_s	ˈaʊ̯_t	1.0
ˈaʊ̯	ˈuː	1.0
ˈaɪ̯_d̥	ˈiː_d̥	1.0
ˈa	ˈaː	1.0
ɾ	ɾ	1.0
ɪ	ɪ	1.0
ɣ	ɡ	1.0
ɡ̊_s	s	1.0
ɡ̊_n	ç	1.0
ə	ˈɔʏ̯_ç	1.0
ç_d̥	ç	1.0
v̥	-	1.0
v_ˈɔ	v	1.0
r	r	1.0
n_ɐ	n_æ	1.0
n_d̥	n	1.0
l_n	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
eː	ae̯	1.0
d̥_ˈiː	d_ˈae̯	1.0
d̥_ɐ	t_æ	1.0
b̥	b	1.0
a	-	1.0
m	m	0.942
f	f	0.939
ʃ	ʃ	0.901
n	n	0.897
ˈɛː	-	0.852
v	v	0.821
ŋ	ŋ	0.801
ˈɒ	ˈa	0.789
ɐ	æ	0.751
ˈuː	ˈaʊ̯	0.715
ˈɪ	ˈɪ	0.684
ˈʊ	ˈʊ	0.633
x	k	0.606
ç	ç	0.588
b̥͡v̥	p	0.579
ˈoː	ˈɒː	0.552
n_a	n_n	0.539
ʦ	tʰ	0.511
ʦ	t	0.489
ˈaɪ̯	ˈiː	0.485
s	z	0.473
ɡ̊	k	0.468
z̥	t	0.465
n_a	n	0.461
ˈɛ	ˈɛ	0.448
ˈaː	ˈae̯	0.432
d̥	d	0.426
b̥͡v̥	pʰ	0.421
ç	k	0.412
x	x	0.394
ɣ̊	x	0.39
ˈɔ	ˈɔ	0.369
z̥	z̥	0.368
s	t	0.353
ˈeː	ˈɛ	0.342
ˈeː	-	0.334
ɡ̊	ɡ	0.33
ˈiː	ˈae̯	0.328
ˈaː	ˈaʊ̯	0.306
ɣ̊	ç	0.305
ɣ̊	-	0.305
d̥	d̥	0.295
ˈɔ	ˈuː	0.252
ˈɔ	ˈʊ	0.221
ˈiː	ˈɪ	0.206
ɡ̊	j	0.201
ˈeː	ˈeː	0.194
d̥	t	0.193
ˈɛ	ˈɛː	0.186
v	w	0.179
ˈaː	-	0.175
ˈiː	ˈɔʏ̯	0.173
ˈɪ	ˈʏ	0.172
ˈuː	-	0.171
z̥	z	0.167
ˈaɪ̯	ˈyː	0.164
ˈaɪ̯	-	0.161
ˈɛ	ˈiː	0.159
ˈɔ	-	0.158
ˈʊ	-	0.156
ˈɛː	ˈɛɪ̯	0.148
ˈiː	ˈiː	0.141
ˈoː	-	0.14
ɐ	-	0.135
ˈeː	ˈøː	0.131
ˈiː	-	0.124
ˈʊ	ˈɔ	0.123
ˈuː	ˈuː	0.114
ŋ	k	0.112
ˈɛ	ˈʏ	0.104
ˈɛ	ˈœ	0.104
n	-	0.103
ʃ	s	0.099
ˈoː	ˈoː	0.098
s	z_ˈœː	0.097
ˈʊ	ˈʏ	0.088
ˈaː	ˈɪ	0.087
ŋ	ɡ_n	0.087
d̥	-	0.086
ˈaɪ̯	ˈɪ	0.08
ˈɒ	ˈaʊ̯	0.079
ˈɒ	-	0.079
ˈaɪ̯	ˈae̯	0.079
s	s	0.077
ˈɪ	ˈɛ	0.072
ˈɪ	-	0.072
ˈoː	ˈɛː	0.07
ˈoː	ˈaː	0.07
ˈoː	ˈa	0.07
ɐ	ˈoː_æ	0.061
f	-	0.061
m	-	0.058
ɐ	ˈaː	0.053
ˈɒ	ˈɔ	0.052
