Čakavian	Kashubian	probability
âː	ˈɔ	1.0
b	b	1.0
ê	ˈɛ	1.0
êː	ˈa_ŋ	1.0
i	ə	1.0
iː	-	1.0
j	j	1.0
k	k	1.0
ô	u̯ˈɛ	1.0
r̩̂	r	1.0
x	x	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
m	m_j	0.231
ôː	ˈu	0.361
p	p_j	0.191
ʦ	-	0.11
a	a	0.542
d	d	0.732
î	-	0.112
ôː	u̯ˈɛ	0.452
r	r_i	0.082
r	ʐ	0.262
t	t	0.742
ʋ	v_j	0.202
î	j	0.383
îː	ˈa	0.363
l	w	0.443
a	i	0.084
a	-	0.374
e	ɛ	0.544
o	u̯ɛ	0.154
ûː	ˈɞ_w	0.474
z	z	0.884
ɡ	ɡ	0.914
â	a	0.685
îː	ˈə	0.55
n	ɲ	0.25
n	n	0.495
s	s	0.985
â	ˈɛ	0.086
n	n_i	0.256
o	u̯ˈɛ	0.136
o	ɔ	0.6
ûː	ˈõ	0.526
z	ŋ_z	0.116
ɡ	i_#>	0.086
î	ˈə	0.257
îː	ˈe	0.087
l	l	0.547
r	r	0.527
d	ʣ	0.268
e	j	0.178
e	ˈɛ	0.278
î	j_ˈa	0.248
ôː	ˈɔ	0.188
ʋ	v	0.798
â	ˈa	0.229
m	m	0.769
o	ˈɔ	0.109
p	p	0.809
r	ˈa_r	0.129
t	ŋ_ʦ	0.089
t	ʦ	0.169
ʦ	ʦ	0.89
