Old West Norse	Middle High German	probability
θ	d	1.0
ˈɛː	ˈeː	1.0
ˈɛi̯	ˈei̯	1.0
ˈɛ	ˈɑ	1.0
ˈɔː	ˈuə̯	1.0
ˈɒu̯	ˈoː	1.0
ˈuː	ˈuː	1.0
ˈeː_r̥	ˈi_r	1.0
ˈeː	ˈiə̯	1.0
ˈe_tː	ɛ	1.0
ˈa	ˈɑ	1.0
ʦ	t	1.0
ʝː	ɡ	1.0
ɣ_r̥	ɡ̊	1.0
ɡː	-	1.0
ɡ_r̥	ɡ̊	1.0
ɟ	ɡ	1.0
ɑː	h_ə	1.0
ɑ_ɣ	i	1.0
ɑ_ð	oː	1.0
ð_j	tː	1.0
ç_ˈɑ	h_ˈɛ	1.0
x_w	w	1.0
u	ə	1.0
tː_r̥	x_t	1.0
tʰ	ʦ	1.0
sː	s	1.0
s_ˈɑ	s_ˈɑ	1.0
s_t	ʃ_t	1.0
s_k	ʃː	1.0
s_c	ʃ	1.0
r_t	r_ʦ	1.0
r_n	r_n	1.0
pː	f	1.0
pʰ	p͡f	1.0
n̥	n	1.0
n	n	1.0
mː	mː	1.0
m	m	1.0
l̥	l	1.0
l_d	l_t	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ˈɔ	ˈɛ	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiə̯	1.0
j_ˈoː	ˈiə̯	1.0
j	-	1.0
i_r	ə_r	1.0
h	h	1.0
f_r̥	b̥	1.0
f	v	1.0
e	ˈe_n	1.0
d_r̥	d̥	1.0
d	d̥	1.0
cː	kː	1.0
cʰ	kʰ	1.0
c	-	1.0
b	b	1.0
a	ə	1.0
r	r	0.925
ˈi	ˈi	0.922
ˈɑ	ˈɑ	0.856
ˈiː	ˈiː	0.85
r̥ː	r	0.837
ɡ	ɡ	0.817
ŋ	ŋ	0.813
lː	l	0.805
s	s	0.694
ˈoː	ˈuə̯	0.675
ˈøː	ˈyə̯	0.63
ɑ	ə_n	0.629
ð	t	0.626
ˈøy̯	-	0.614
kː	kː	0.61
t	s̻	0.583
i	-	0.555
ˈyː	ˈyː	0.544
ˈɑː	ˈɑː	0.539
ˈɔ	ˈɑ	0.53
p	f	0.518
v	w	0.506
tː	-	0.501
tː	x_t	0.499
ˈɑu̯	ˈou̯	0.492
r̥	ə	0.477
ˈɔ	ˈi	0.47
ɣ	ɡ_ə	0.468
ˈy	ˈy	0.465
ˈo	ˈo	0.463
ˈyː	-	0.456
k	x	0.455
i	ə	0.445
ˈu	ˈu	0.443
ˈe	ˈɛ	0.443
kː	-	0.39
ˈøy̯	ˈøː	0.386
ˈɑu̯	ˈoː	0.382
ˈo	ˈu	0.381
ɑ	ə	0.371
ˈøː	-	0.37
k	xː	0.355
nː	n	0.35
ɣ	ɡ	0.346
ˈoː	-	0.325
ˈy	-	0.308
s	ʃ	0.306
r̥	r	0.282
nː	nː	0.264
ˈɑː	ˈɑ	0.262
p	p͡f	0.249
t	t	0.247
p	fː	0.233
v	b	0.232
ˈy	ˈi	0.227
nː	-	0.211
lː	lː	0.195
k	-	0.189
ŋ	-	0.187
ɣ	ɡ̊	0.185
ɡ	ɡ̊	0.183
nː	n_d	0.175
t	s̻ː	0.17
r̥	ə_r	0.167
ˈe	ˈe	0.166
ˈu	ˈy	0.165
r̥ː	rː	0.163
ˈo	-	0.156
ˈiː	n	0.15
ˈu	ˈo	0.147
ð	d̥	0.147
ð	-	0.146
ˈɑ	-	0.144
ˈe	ˈi	0.137
ˈe	ˈɑ	0.128
ˈɑu̯	ou̯	0.126
ˈe	-	0.126
ˈu	ˈuː	0.115
ˈɑː	ˈeː	0.101
ˈɑː	ɑː	0.097
v	b̥	0.088
ˈu	-	0.087
ð	d_ə	0.081
ˈi	-	0.078
v	f	0.077
r̥	d̥	0.074
r	-	0.06
