Upper Sorbian	Ukrainian	probability
<#_d	<#_d	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_n	<#_nʲ	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɦ	<#_ɦ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʤ	<#_d	1.0
b	b	1.0
d	d	1.0
d_w	ɫ	1.0
e	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	lʲ_#>	1.0
m_#>	m_#>	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
p_#>	b_#>	1.0
pʲ	pʲ	1.0
s_#>	s_#>	1.0
w	ɫ	1.0
w_#>	ɫ_#>	1.0
w_ˈɔ	ɔ_ɫ	1.0
x_#>	ɦ_#>	1.0
xʲ	x	1.0
z	z	1.0
ɔ_#>	ɔ_#>	1.0
ɦ	ɦ	1.0
ɪ_#>	j_#>	1.0
ɲ_#>	nʲ_#>	1.0
ʃ	ʒ	1.0
ʦ_#>	#>	1.0
ʧ	t	1.0
ʧ_#>	tʲ_#>	1.0
ˈe_t	ˈi_t	1.0
ˈi	ˈɪ	1.0
ˈi_ʧ	ˈɪ_t_e	1.0
ˈɔ_w	ˈɔ_ʋ	1.0
ˈɔ_ʀ	ˈɛ_r	1.0
ˈɪ	ˈɪ	1.0
β	ʋ	1.0
ˈo	ˈɔ	0.231
ˈɔ	ˈi	0.261
ˈɔ	ɔ	0.261
ˈɔ	ˈɔ	0.391
<#_k	<#	0.222
ˈe	ˈɔ	0.2
ˈe	i	0.2
ˈɛ	ɐ	0.2
ˈɛ	ˈɔ	0.2
ˈɛ	ˈi	0.2
t	d	0.3
<#_l	<#_ɫ	0.4
<#_ʀ	<#_rʲ	0.4
a_#>	ɐ_#>	0.4
s	sʲ	0.4
t_#>	d_#>	0.4
ʀ	ɔ_r	0.154
ʀʲ	r	0.714
ˈo	ɔ	0.154
ˈu	ˈu	0.714
ˈɛ	ɛ	0.4
<#_j	<#	0.5
<#_j	<#_j	0.5
<#_β	<#	0.5
<#_β	<#_w	0.5
i	ˈɪ_j	0.5
i	j	0.5
kʲ	k	0.5
kʲ	k_e	0.5
l	lʲ	0.375
l	ɫ	0.625
x	x	0.5
x	ɔ	0.5
ɔ	ˈɔ	0.25
ɔ	ɛ	0.375
ɔ	ɔ	0.375
ɛ	ˈi	0.5
ɛ	i	0.5
ɥ	ʋ_j	0.25
ɥ	ʋʲ	0.75
ˈa	ˈɑ	0.455
ˈa	ɐ	0.545
ˈo	ˈi	0.615
<#_l	<#_lʲ	0.6
<#_ʀ	<#_r	0.6
<#_ʧ	<#_tʲ	0.286
<#_ʧ	<#_ʧ	0.286
a_#>	ˈɑ_#>	0.6
s	s	0.6
t_#>	t_#>	0.6
ʀ	r	0.846
ʀʲ	rʲ	0.286
ˈe	ˈi	0.6
ˈu	ʊ	0.286
t	t	0.7
ˈɔ	ˈɛ	0.087
<#_k	<#_k	0.778
<#_ʧ	<#_t	0.429
