Bulgarian	Standard Serbian	probability
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɫ_ɐ	l_aː	1.0
ɫ_a	l_a	1.0
ɤ_ˈ	̂	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e	1.0
ɛ_m	a_m	1.0
ɐ_r	r̩_̂	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ	1.0
v_ɐ	ʋ_a	1.0
v	ʋ	1.0
tʲ	t	1.0
t	t	1.0
s	s	1.0
rʲ	-	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m_ɐ	m_a	1.0
lʲ	l	1.0
j_ɐ	t_i	1.0
j	j	1.0
i_ˈ	i	1.0
dʲ	d_e	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	a	1.0
k	k	0.983
r	r	0.874
m	m	0.849
u	uː	0.834
ˈ	̂	0.817
ɫ	l	0.753
ɐ	a	0.753
l	l	0.683
i	i	0.633
o	o	0.612
ʃ	ʃ	0.61
ɔ	o	0.588
ɛ	e	0.443
ɔ	oː	0.412
ʃ	ʨ	0.39
o	o_̌	0.388
ɤ	uː	0.38
i	iː	0.367
a	a	0.324
l	-	0.317
ɛ	eː	0.301
ɫ	-	0.247
a	e	0.242
a	aː	0.242
a	eː	0.191
ɤ	u	0.174
u	u	0.166
ɤ	r̩	0.165
ɤ	a	0.156
m	-	0.151
ɐ	t_i	0.131
ˈ	̌	0.13
r	-	0.126
ɤ	r̩ː	0.125
ɛ	a	0.123
ɛ	aː	0.082
ɐ	-	0.07
ˈ	-	0.052
ɛ	eː_̌	0.052
