Gothic	Alsatian	probability
a	ə	0.456
a	-	0.454
a	ˈəi̯	0.084
aː	-	1.0
b	b̥	1.0
d	d̥	0.427
d	t	0.269
d	-	0.213
d	ʃ	0.092
e	-	1.0
f	f	1.0
h	h	0.565
h	x	0.181
h	-	0.158
h	ŋ	0.057
i	-	0.807
i	ə	0.104
i	ˈi	0.088
iː	-	1.0
j	-	0.751
j	j	0.249
k	-	0.35
k	kʰ	0.234
k	x	0.232
k	k	0.099
k	ɡ̊	0.086
kʷ	kʰ	0.666
kʷ	f	0.334
l	l	1.0
lː	l	1.0
m	m	0.792
m	e	0.169
n	n	0.919
n	-	0.081
nː	n	1.0
oː	-	0.659
oː	ə	0.18
oː	ʋ	0.103
oː	ˈɔi̯	0.057
p	f	0.695
p	p͡f	0.305
r	ʁ	0.977
s	-	0.576
s	s	0.231
s	ʃ	0.136
t	ʦ	0.332
t	s	0.319
t	t	0.196
t	-	0.113
u	-	0.519
u	i	0.387
u	ə	0.093
w	ʋ	0.872
w	w	0.081
x	-	1.0
z	ʁ	1.0
ð	t	0.937
ð	-	0.063
ŋ	-	0.704
ŋ	ŋ	0.165
ŋ	n	0.132
ɔː	-	1.0
ɡ	ɡ̊	0.522
ɡ	-	0.218
ɡ	j	0.17
ɡ	v	0.091
ɡʷ	ŋ	1.0
ɡːʷ	-	1.0
ɣ	ʦ	0.749
ɣ	-	0.251
ʍ	ʋ	0.888
ʍ	-	0.112
ˈa	ˈɒ	0.684
ˈa	ˈe	0.087
ˈa	ˈɒː	0.07
ˈa	ˈeː	0.06
ˈeː	ˈoː	1.0
ˈi	ˈi	0.684
ˈi	ˈu	0.083
ˈi	-	0.069
ˈi	ˈæ	0.065
ˈi	ˈe	0.051
ˈiu̯	ˈei̯	0.434
ˈiu̯	ˈi	0.271
ˈiu̯	ˈiː	0.253
ˈiː	ˈiː	0.743
ˈiː	ˈi	0.182
ˈiː	ˈeː	0.075
ˈoː	ˈʊː	0.792
ˈoː	ˈøː	0.138
ˈoː	ˈiː	0.07
ˈu	ˈu	0.504
ˈu	ˈo	0.127
ˈu	ˈe	0.109
ˈu	ˈɒː	0.08
ˈu	ˈyː	0.073
ˈu	ˈoː	0.056
ˈuː	ˈyː	0.336
ˈuː	ˈiː	0.331
ˈuː	ˈu	0.166
ˈuː	ˈøi̯	0.166
ˈɔ	ˈo	0.75
ˈɔ	ˈoː	0.139
ˈɔ	ˈu	0.111
ˈɔː	ˈoː	0.348
ˈɔː	ˈe	0.255
ˈɔː	ˈo	0.11
ˈɔː	ˈœ	0.11
ˈɔː	ˈʊː	0.11
ˈɔː	ˈeː	0.066
ˈɛ	ˈe	0.386
ˈɛ	ˈæː	0.356
ˈɛ	ˈæ	0.158
ˈɛ	ˈeː	0.1
ˈɛː	ˈəi̯	0.759
ˈɛː	ˈɒ	0.201
β	-	0.565
β	b̥	0.325
β	p͡f	0.09
θ	d̥	0.659
θ	t	0.213
θ	-	0.128
