Gothic	Alsatian	probability
a	-	0.6
a	ə	0.301
a	i	0.087
a_n	ə	1.0
aː	-	0.251
b	b̥	1.0
d	d̥	0.498
d	t	0.369
d	ʃ	0.116
d_s	d̥	1.0
e	-	1.0
f	f	1.0
h	h	0.511
h	x	0.194
h	-	0.118
h	ŋ	0.095
h	k	0.063
h_l	l	0.501
i	-	0.737
i	ə	0.146
i	ˈi	0.074
iː	-	1.0
j	-	0.694
j	j	0.299
k	kʰ	0.608
k	-	0.152
k	ɡ̊	0.152
k	k	0.078
k_s	ʃ	1.0
kʷ	f	0.063
l	l	1.0
l_s	l	1.0
lː	l	1.0
m	m	0.856
m	e	0.143
m_s	m	1.0
n	n	0.885
n	-	0.11
nː	n	1.0
oː	-	0.752
oː	ə	0.165
oː	ʋ	0.053
oː	ˈɔi̯	0.041
p	f	0.78
p	p͡f	0.219
r	ʁ	1.0
s	-	0.56
s	s	0.236
s	ʃ	0.158
s	ʁ	0.041
s_k	ʃ	1.0
t	ʦ	0.421
t	s	0.296
t	t	0.188
t	d̥	0.044
t_s	t	1.0
u	-	0.629
u	i	0.293
u	ə	0.066
w	ʋ	0.774
w	w	0.105
w	-	0.102
x	-	1.0
z	ʁ	0.251
ð	t	0.594
ð	-	0.392
ŋ	n	0.488
ŋ	ŋ	0.323
ŋ_ɡ	ŋ	1.0
ɔː	-	0.251
ɡ	ɡ̊	0.558
ɡ	-	0.234
ɡ	v	0.117
ɡ	j	0.077
ɡʷ	-	0.251
ɡːʷ	-	0.251
ɣ	-	0.501
ʍ	ʋ	0.608
ʍ	-	0.265
ˈa	ˈɒ	0.73
ˈa	ˈɒː	0.106
ˈa	ˈe	0.063
ˈa	ˈaː	0.045
ˈa	ˈʊː	0.045
ˈeː	ˈoː	1.0
ˈi	ˈi	0.676
ˈi	ˈe	0.094
ˈi	ˈæ	0.082
ˈi	-	0.063
ˈi	ˈiː	0.062
ˈiu̯	ˈei̯	0.418
ˈiu̯	ˈiː	0.364
ˈiu̯	ˈi	0.209
ˈiː	ˈiː	0.699
ˈiː	ˈi	0.153
ˈiː_s	ˈei̯	1.0
ˈoː	ˈʊː	0.709
ˈoː	ˈøː	0.15
ˈoː	ˈiː	0.065
ˈu	ˈu	0.334
ˈu	ˈo	0.254
ˈu	ˈe	0.077
ˈu	ˈoː	0.077
ˈu	ˈɒː	0.077
ˈuː	ˈyː	0.488
ˈuː	ˈu	0.28
ˈuː	ˈøi̯	0.175
ˈɔ	ˈo	0.496
ˈɔ	ˈoː	0.339
ˈɔ	ˈu	0.134
ˈɔː	ˈoː	0.514
ˈɔː	ˈeː	0.245
ˈɔː	ˈʊː	0.129
ˈɔː	ˈœ	0.061
ˈɛ	ˈe	0.367
ˈɛ	ˈæː	0.278
ˈɛ	ˈæ	0.211
ˈɛ	ˈeː	0.092
ˈɛː	ˈəi̯	0.75
ˈɛː	ˈɒ	0.124
ˈɛː	ˈeː	0.089
ˈɛː_w	ˈeː	1.0
β	-	0.431
β	b̥	0.188
β	v	0.127
β	p͡f	0.073
θ	d̥	0.522
θ	t	0.311
θ	-	0.109
θ	l	0.055
θ_s	t	1.0
