Swedish	Swedish	probability
ˈɑː_ɡ	ˈɛi̯	1.0
ˈœː	ˈɪə̯	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ʈː	t	1.0
ɳː	ˈoə̯	1.0
ɳ	n	1.0
ɪ	-	1.0
ɛ_n	ə_n	1.0
ɖ	-	1.0
ɕ	ʦ	1.0
ɔ	j_ɪ	1.0
ŋː	ŋ	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_#>	s_#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_#>	l_#>	1.0
kː	k	1.0
k_#>	k_#>	1.0
jː	z	1.0
j_ˈʉː	ˈiə̯	1.0
j_#>	χ_#>	1.0
h	h	1.0
f	f	1.0
d_#>	#>	1.0
b	b	1.0
a_#>	#>	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_d	1.0
<#	<#_ʋ	1.0
s	s	0.897
l	l	0.889
a	ə	0.86
r	r	0.852
ˈuː	ˈuə̯	0.833
k	k	0.818
ˈʏ	-	0.75
ˈɛː	-	0.75
ɛ	ə	0.722
ˈɪ	ˈɪ	0.714
ˈœ	-	0.667
ɡː	-	0.667
ˈiː	ˈi	0.636
ˈʊ	-	0.6
ŋ	ŋ	0.6
d	d	0.594
tː	t	0.583
v	ʋ	0.577
ɧ	s	0.545
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈeː	-	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
<#_ˈɛ	<#_ˈaː	0.5
<#_ˈɛ	<#	0.5
ˈɵ	ˈɔ	0.467
ɧ	s_k	0.455
ˈøː	ˈɪə̯	0.45
ɡ	ɡ	0.444
j	-	0.444
#>	ə_#>	0.435
v	v	0.423
ˈɑː	ˈa	0.417
tː	χ_t	0.417
ˈʊ	ˈu	0.4
ŋ	-	0.4
ˈiː	ˈiː	0.364
ˈa	ˈa	0.364
d	d̥	0.344
ˈɑː	ˈaː	0.333
ˈyː	j_ˈuə̯	0.333
ˈyː	j	0.333
ˈyː	-	0.333
ɡː	χ	0.333
ɡ	-	0.333
j	l	0.333
ˈʉː	ˈuː	0.3
ˈeː	ˈɪ	0.3
ˈɛ	ˈɪ	0.286
ˈɛ	ˈɛ	0.286
ˈoː	-	0.278
ɛ	-	0.278
ˈɵ	ˈuː	0.267
ˈʏ	ˈɛː	0.25
ˈɛː	ˈiə̯	0.25
ˈɑː	ˈɛː	0.25
ˈøː	-	0.25
ˈɛ	-	0.238
ˈa	ˈɔː	0.227
ˈœ	ˈɔ	0.222
ˈoː	ˈoə̯	0.222
ˈoː	ˈiə̯	0.222
ɡ	ɣ	0.222
j	h	0.222
ˈʉː	-	0.2
ˈøː	ˈiə̯	0.2
ˈeː	ˈiə̯	0.2
k	χ	0.182
#>	χ_#>	0.174
#>	n_#>	0.174
ˈuː	ˈoə̯	0.167
ˈoː	ˈaː	0.167
ˈɪ	ˈiː	0.143
ˈɪ	ˈi	0.143
ˈɛ	ˈɛi̯	0.143
a	j_ə	0.14
ˈa	ˈɪə̯	0.136
ˈɵ	ˈɪ	0.133
ˈɵ	ˈu	0.133
#>	d̥_#>	0.13
ˈœ	ˈu̯o	0.111
ˈoː	ˈɪə̯_n	0.111
r	-	0.111
l	-	0.111
ˈʉː	ˈoː	0.1
ˈʉː	ˈiː	0.1
ˈʉː	ˈiə̯	0.1
ˈʉː	j_ˈɪ	0.1
ˈʉː	j	0.1
ˈøː	j	0.1
ˈa	ˈɛ	0.091
ˈa	ˈaː	0.091
ˈa	-	0.091
#>	l_#>	0.087
d	-	0.062
s	z	0.051
s	s_v	0.051
