Lithuanian	Standard Croatian	probability
ʒ	z	1.0
ʑ	z	1.0
ɪ_ˈ	̂	1.0
ɪ_ɫ	uː	1.0
ɪ_rʲ	r̩	1.0
ɡ	ɡ	1.0
ɛʊ̯	uː	1.0
ɛɪ̯	i	1.0
ɛ_nʲ	ɡ̊	1.0
ɕ	s	1.0
ɐʊ̯	-	1.0
ɐɪ̯	eː_̌	1.0
ŋʲ	-	1.0
ŋ	uː	1.0
æɪ̯	i	1.0
z	aː_̌	1.0
v	ʋ	1.0
uː	i	1.0
tʲ	t	1.0
r_ɐ	r	1.0
pʲ	p	1.0
p	-	1.0
nʲ	-	1.0
n_d	d	1.0
mʲ	m	1.0
k_tʲ	ʨ	1.0
j	-	1.0
iː_̌	u	1.0
iə̯	-	1.0
dʲ	d	1.0
bʲ	b	1.0
b	b	1.0
aː_̌	o_̂	1.0
aʊ̯	uː	1.0
aɪ̯	j	1.0
d	d	0.907
t	t	0.821
ˈ	̂	0.818
vʲ	ʋ	0.788
̂	̂	0.75
ʊ	-	0.736
sʲ	s	0.721
̌	̂	0.714
k	k	0.712
æː	e	0.652
ɫ	l	0.645
kʲ	k	0.605
iː	iː	0.6
rʲ	r	0.568
uə̯	a	0.555
r	-	0.545
eː	a	0.545
n	n	0.541
m	m	0.54
ɡʲ	-	0.51
ɡʲ	ʒ	0.49
oː	a	0.48
m	-	0.46
n	-	0.459
r	r	0.455
eː	eː	0.455
uə̯	-	0.445
ɛ	eː	0.442
rʲ	-	0.432
ʃ	s	0.419
ɛ	e	0.416
iː	-	0.4
kʲ	-	0.395
ɪ	-	0.378
oː	-	0.368
ʃ	s_a	0.361
ɫ	-	0.355
æː	o	0.348
aː	oː	0.338
lʲ	l_j	0.336
ɪ	o	0.289
k	-	0.288
aː	r_a	0.283
sʲ	-	0.279
ʊ	iː	0.264
s	r	0.263
ɐ	a	0.262
lʲ	-	0.261
ʃ	-	0.22
vʲ	ʋ_j	0.212
lʲ	ʎ	0.208
lʲ	l	0.195
aː	e	0.19
aː	-	0.19
ɐ	o	0.187
ˈ	̌	0.182
t	-	0.179
s	n	0.173
̂	̌	0.167
s	s	0.161
s	-	0.156
oː	a_̂	0.152
̌	̌	0.143
ɛ	e_̂	0.142
s	t	0.141
ɐ	aː	0.136
ɪ	eː	0.134
ɪ	u	0.133
ɐ	uː	0.133
ɐ	-	0.131
s	d	0.105
ɐ	o_̌	0.098
d	d̥	0.093
̂	-	0.083
̌	eː_̂	0.071
̌	-	0.071
ɪ	i	0.066
ɐ	oː_̂	0.053
