Palatine German	Palatine German	probability
ˈɛ_r	ˈeːe̯	1.0
ˈɑːɪ̯	ˈɑːɑ̯_j	1.0
ˈõː	ˈøː_n	1.0
ˈo	ˈɒː	1.0
ˈĩː	ˈœy̯_n	1.0
ˈi	ˈøː	1.0
ˈaɪ̯_#>	ˈɛːɪ̯_#>	1.0
ˈau̯̯	ˈuː	1.0
ʣ̥	t	1.0
ʃ_l	s_l	1.0
ʃ_d̥	χ_t	1.0
ɪ	ɐ	1.0
ɡ̊_ə	k_n	1.0
ɡ̊_s	s	1.0
ɡ̊_#>	ɣ̊_#>	1.0
ɑ	-	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
s_ˈau̯	z	1.0
s_ə	t_n	1.0
r_ə	d_n	1.0
pʰ	-	1.0
n_ə	n_n	1.0
n_s	s	1.0
m_ə	m	1.0
m	m	1.0
l_ˈɑː	l_ˈoː	1.0
l_d̥	l_d̥	1.0
h	h	1.0
f_ə	p_n	1.0
eː	ɑɪ̯	1.0
b̥_r	b	1.0
b̥_#>	v̥_#>	1.0
<#_ˈɑ	<#_ˈɑːɑ̯	1.0
<#_ʣ̥	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
l	l	0.978
ə	n	0.9
β	v	0.848
r	r	0.844
n	n	0.838
ɡ̊	ɡ	0.812
b̥	b	0.8
f	f	0.794
ˈau̯	ˈuː	0.778
ˈuː	ˈɑʊ̯	0.75
ˈɪ	ˈɪ	0.613
j	ɡ	0.6
ˈiː	-	0.529
ˈɑ	ˈɑ	0.5
ˈu	ˈʊ	0.471
s	z	0.447
ʃ	s	0.442
ˈɛː	ˈæɪ̯	0.438
ˈaɪ̯	ˈiː	0.421
ˈu	-	0.412
ˈoː	ˈoː	0.412
d̥	d	0.411
j	j	0.4
ˈɔ	ˈɔ	0.389
x	k	0.385
ˈɛː	-	0.375
d̥	d̥	0.356
ˈiː	ˈæɪ̯	0.353
ˈɑː	-	0.35
s	t	0.342
ˈeː	ˈæɪ̯	0.333
x	χ	0.308
x	ɡ	0.308
ˈoː	ˈɒː	0.294
ʃ	s_k	0.279
ˈɔ	ˈoː	0.278
ˈɛ	ˈɛ	0.25
ˈɛ	ˈeː	0.25
ˈɛ	-	0.25
d̥	t	0.233
ˈeː	ˈɛːɪ̯	0.222
ˈeː	ˈæːɪ̯	0.222
ˈeː	-	0.222
ˈau̯	-	0.222
ˈaɪ̯	-	0.211
s	z̥	0.211
f	p	0.206
ˈɑː	ˈɑ	0.2
ˈɑː	ˈoː	0.2
b̥	p	0.2
ˈɛː	ˈeː	0.188
ɡ̊	k	0.188
ˈoː	-	0.176
ˈɔ	ˈʊ	0.167
ˈɔ	-	0.167
ˈɑ	ˈɒː	0.167
ˈuː	-	0.167
β	w	0.152
ˈɛ	ˈɑː	0.15
ˈɑː	ˈɒː	0.15
ʃ	ɣ̊	0.14
ʃ	k	0.14
ˈoː	ˈɔː	0.118
ˈiː	ˈæː	0.118
ˈaɪ̯	ˈɪə̯	0.105
ˈaɪ̯	ˈɪ	0.105
ˈaɪ̯	ˈyː	0.105
ˈɛ	ˈøː	0.1
ˈɑː	ˈɑː	0.1
ˈɑ	ˈɔ	0.1
ˈɑ	ˈɑː	0.1
ə	-	0.1
ˈɪ	ˈʏə̯	0.097
ˈɪ	ˈʏ	0.097
r	d	0.094
ˈuː	ˈøy̯	0.083
ˈɑ	ˈɑːɑ̯	0.067
ˈɑ	-	0.067
ˈɪ	ˈɛ	0.065
ˈɪ	k_ˈɪ	0.065
ˈɪ	-	0.065
r	ɐ	0.062
ˈu	ˈœːy̯	0.059
ˈu	ʊ	0.059
n	ˈɪ_n	0.054
n	ɡ_n	0.054
n	-	0.054
ˈaɪ̯	ˈiːi̯	0.053
