Gascon	Gascon	probability
ˈɛ_w	ˈe_r	1.0
ˈɔ_r	ˈɔ_ɬ	1.0
ˈo	ˈo_r	1.0
ˈe_ð	i_d	1.0
ˈe_j	ʣ	1.0
ˈa_w	ˈɔ	1.0
ˈa_t	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦ_i	1.0
ʤ	d	1.0
ʃ	ʃː	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
z_ˈa	j	1.0
y	u	1.0
u_ŋ	ɔ	1.0
u_l	u_r	1.0
s_p	pː	1.0
s_a	s_a	1.0
p_ˈu	p_u	1.0
p	p	1.0
nː	mː_i	1.0
m_u	m_u	1.0
lː	ʒ	1.0
k_l	ʧ	1.0
k_a	k_a	1.0
j_ˈɛ	ˈe	1.0
i	i	1.0
h	f	1.0
f	fː	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_a_r	<#_r	1.0
ɔ	a	0.922
ˈa	ˈa	0.878
d	d	0.875
a	a	0.867
ˈi	ˈi	0.821
e_#>	ˈi_#>	0.818
n	n	0.783
ʒ	ʤ	0.778
ɣ	ɡ	0.778
m	m	0.76
u	u	0.75
ˈy	ˈu	0.737
k	k	0.674
s_k	xː	0.667
<#_ˈa	<#_ˈa	0.667
#>	u_#>	0.644
ˈɔ	ˈɔ	0.643
<#_e	<#_i	0.636
ɾ	r	0.621
s_#>	i_#>	0.571
ð	dː	0.556
b	b	0.529
ˈɛ	ˈe	0.524
ˈe	ˈɛ	0.515
ˈu	ˈɔ	0.5
z	z	0.5
z	-	0.5
w_ˈe	ˈɔ	0.5
w_ˈe	ˈo	0.5
j_t	tː_i	0.5
j_t	tː	0.5
e	i	0.5
l	l	0.486
b	v	0.471
ð	d	0.444
β	β	0.438
s_#>	#>	0.429
s	s	0.412
ŋ	n_u	0.409
r	-	0.385
ˈɛ	ˈɛ	0.381
ˈu	ˈo	0.375
j	-	0.375
ˈɔ	ˈo	0.357
ʎ	ʧː	0.333
ʎ	ʎː	0.333
ʎ	-	0.333
s_k	x	0.333
<#_ˈa	<#	0.333
t	dː	0.317
β	-	0.312
r	rː	0.308
r	r	0.308
ˈe	ˈe	0.303
t	t	0.293
ŋ	ŋ	0.273
β	bː	0.25
u	o	0.25
l	j	0.243
m	mː	0.24
#>	i_#>	0.228
ŋ	n_i	0.227
ʒ	ʤː	0.222
ɣ	ɡː	0.222
e	r_u	0.214
w	r	0.208
t	tː	0.195
j	u	0.188
j	i	0.188
ˈe	-	0.182
e_#>	#>	0.182
<#_e	<#_u	0.182
<#_e	<#	0.182
e	a	0.179
s	ɬ	0.176
ɾ	a_r	0.172
w	-	0.167
l	r	0.162
ˈy	-	0.158
s	sː	0.147
k	ɡː	0.14
ɾ	-	0.138
a	ˈa	0.133
n	nː	0.13
ˈu	ˈu	0.125
w	β_i	0.125
w	w	0.125
w	u	0.125
j	ˈe	0.125
j	j	0.125
d	-	0.125
ˈi	-	0.107
e	u	0.107
ˈy	ˈu_r	0.105
t	t_r	0.098
ˈɛ	-	0.095
ŋ	nː	0.091
s	ʦː	0.088
s	u	0.088
s	j	0.088
n	ɲː	0.087
w	β_u	0.083
w	ˈo	0.083
w	ˈa_ɬ	0.083
ɔ	-	0.078
ˈi	ˈi_n	0.071
k	ɡ_u	0.07
k	kː	0.07
ɾ	dː	0.069
l	lː	0.054
l	-	0.054
