Swabian	Swabian	probability
ˈʌ	ˈɛː_ɐ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔə̯	ˈaʊ̯	1.0
ˈeə̯	n	1.0
ˈe	ˈɪ	1.0
ˈa_n	n	1.0
ʦ	t	1.0
ʣ	t_ə	1.0
ʋ_ˈo	v	1.0
ʃ_d	s_t	1.0
ɪ	ɪ	1.0
ɡ_a	ŋ	1.0
ŋ	ŋ	1.0
t	d̥	1.0
s_a	t_n	1.0
s_#>	s_#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f_a	b_m	1.0
f	f	1.0
eə̯	ɒː	1.0
e	ə	1.0
d_ʌ	ɐ	1.0
d_a	n	1.0
d_#>	#>	1.0
b̥͡f	p	1.0
b_a	v_n	1.0
b_#>	f_#>	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
ʁ	r	0.92
a	n	0.917
ˈɔe̯	ˈɛɪ̯	0.909
ʕ	ɐ	0.889
ʌ	ɐ	0.889
b	b	0.864
ˈao̯	ˈuː	0.769
ˈuə̯	ˈaʊ̯	0.75
ç	k	0.75
ʋ	v	0.739
ˈɔː	ˈɒː	0.714
ˈiə̯	ˈɛɪ̯	0.714
ˈəi̯	ˈiː	0.692
ˈo	ˈʊ	0.667
ˈiː	-	0.667
ˈa	ˈa	0.667
f_#>	p_#>	0.667
ˈi	ˈɪ	0.643
ʃ	ʃ	0.619
ˈɔ	ˈɔ	0.6
x	x	0.556
ˈoː	ˈeo̯	0.538
s	z	0.514
d	d	0.508
ˈeː	ˈɛɪ̯	0.5
ˈeː	-	0.5
ˈu	ˈɔ	0.429
ˈae̯	-	0.429
ˈɛ	ˈɛ	0.4
ˈɔ	ˈoː	0.4
ʃ	s	0.381
ɡ	ɣ	0.379
d	d̥	0.373
ˈiː	ˈɛɪ̯	0.333
ˈaː	-	0.333
f_#>	p_ə_#>	0.333
ˈɔː	-	0.286
ˈu	ˈʏ	0.286
ˈu	ˈʊ	0.286
ˈiə̯	ˈɔʏ̯	0.286
ˈae̯	ˈʏ	0.286
ˈae̯	ˈɛɪ̯	0.286
s	t	0.286
ˈuə̯	ˈɔʏ̯	0.25
ç	ç	0.25
ˈao̯	ˈeo̯	0.231
ˈaː	ˈɛː	0.222
ˈaː	ˈaː	0.222
ˈaː	ˈa	0.222
x	k_ə	0.222
x	k	0.222
ˈi	ˈɛ	0.214
ˈɛ	ˈeː	0.2
ˈa	ˈɒː	0.185
ʋ	w	0.174
ˈo	ˈɔ	0.167
ˈo	-	0.167
ˈəi̯	ˈɪ	0.154
ˈəi̯	ˈyː	0.154
ˈoː	ˈɒː	0.154
ˈoː	ˈoː	0.154
ˈoː	-	0.154
ˈi	ˈoː	0.143
ɡ	ç	0.138
ɡ	k	0.138
ɡ	j	0.138
ˈɛ	ˈɛː	0.133
ˈɛ	ˈa	0.133
ˈɛ	-	0.133
d	t	0.119
s	z̥	0.114
ˈa	ˈɔ	0.111
ʕ	-	0.111
ʌ	-	0.111
ɡ	ɡ	0.103
ˈɔe̯	ˈaɪ̯	0.091
b	v	0.091
ʋ	v_ˈɪ	0.087
s	t_ə	0.086
a	ə	0.083
ʁ	-	0.08
ɡ	k_ə	0.069
