Westphalian	West Flemish	probability
ˈʏ	ˈœ	1.0
ˈɪə̯	ˈeː	1.0
ˈɛː	-	1.0
ˈɔ_l	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː	1.0
ˈœː	-	1.0
ˈøː	ˈuə̯	1.0
ˈyːœ̯	ˈoː	1.0
ˈuːə̯	ˈɔ_ɾ	1.0
ˈuː	ˈyː	1.0
ˈoː	ˈuə̯	1.0
ˈiɛ̯	-	1.0
ɪ_ç	ç	1.0
ɣ	ɦ	1.0
ə	ə	1.0
ç	ɦ̥	1.0
z̥	z̥	1.0
v̥	ˈyː_v̥	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j	j	1.0
f	v	1.0
d	d	1.0
b	b	1.0
aɪ̯	iə̯	1.0
r	ɾ	0.913
n	n	0.907
ˈaɪ̯	ˈiə̯	0.878
ˈa	ˈɑ	0.872
ˈɔː	ˈɒː	0.864
d̥	d̥	0.852
ʋ	ʋ	0.841
ˈaʊ̯	ˈoː	0.8
ˈiː	ˈi	0.785
ɐ	ɾ	0.756
ɡ	ɦ	0.746
l	l	0.74
s	z	0.723
ˈɪ	ˈɪ	0.717
ˈeː	ˈɛː	0.678
x	ɦ	0.664
z	z	0.631
v	ʋ	0.626
ˈyː	ˈiə̯	0.6
ˈuə̯	-	0.593
ˈɪɛ̯	ˈeː	0.592
ˈaː	ˈɒː	0.577
ˈɛ	ˈæ	0.544
ʃ	s	0.497
ˈʊ	ˈu	0.454
ŋ	ŋ	0.434
ˈaː	-	0.423
ˈɪɛ̯	ˈæ	0.408
ˈuə̯	ˈøː	0.407
ʃ	ʃ_h	0.401
ˈyː	-	0.4
z	z̥	0.369
ŋ	ŋ_k	0.345
x	h	0.336
ˈeː	ˈeː	0.322
s	s	0.277
v	v	0.274
l	w	0.26
ɡ	ɦ_ə	0.254
ˈɛ	-	0.25
ŋ	-	0.221
ˈiː	-	0.215
ˈɛ	ˈɛ	0.206
ˈʊ	ˈœ	0.205
ˈʊ	ˈyː	0.205
ˈaʊ̯	-	0.2
ʋ	v̥	0.159
d̥	-	0.148
ˈɪ	ˈɛ	0.147
ˈʊ	ˈɔ	0.137
ˈɔː	-	0.136
ˈɪ	-	0.135
ˈa	-	0.128
ɐ	ɾ_ə	0.123
ˈaɪ̯	-	0.122
ɐ	ə_ɾ	0.121
ʃ	z	0.102
v	v̥	0.1
r	ɾ_ˈu	0.087
